MomentDataType,Name
MOMENT_DATA_BELIEF,LOC_MOMENT_DATA_BELIEF
MOMENT_DATA_BUILDING,LOC_MOMENT_DATA_BUILDING
MOMENT_DATA_CITY_STATE_PLAYER,LOC_MOMENT_DATA_CITY_STATE_PLAYER
MOMENT_DATA_CIVIC,LOC_MOMENT_DATA_CIVIC
MOMENT_DATA_CONTINENT,LOC_MOMENT_DATA_CONTINENT
MOMENT_DATA_DISTRICT,LOC_MOMENT_DATA_DISTRICT
MOMENT_DATA_EMERGENCY,LOC_MOMENT_DATA_EMERGENCY
MOMENT_DATA_FEATURE,LOC_MOMENT_DATA_FEATURE
MOMENT_DATA_GOVERNMENT,LOC_MOMENT_DATA_GOVERNMENT
MOMENT_DATA_GOVERNOR,LOC_MOMENT_DATA_GOVERNOR
MOMENT_DATA_GREAT_PERSON_INDIVIDUAL,LOC_MOMENT_DATA_GREAT_PERSON_INDIVIDUAL
MOMENT_DATA_GREAT_WORK,LOC_MOMENT_DATA_GREAT_WORK
MOMENT_DATA_IMPROVEMENT,LOC_MOMENT_DATA_IMPROVEMENT
MOMENT_DATA_OLD_RELIGION,LOC_MOMENT_DATA_OLD_RELIGION
MOMENT_DATA_PLAYER_ERA,LOC_MOMENT_DATA_PLAYER_ERA
MOMENT_DATA_PROJECT,LOC_MOMENT_DATA_PROJECT
MOMENT_DATA_RELIGION,LOC_MOMENT_DATA_RELIGION
MOMENT_DATA_RESOURCE,LOC_MOMENT_DATA_RESOURCE
MOMENT_DATA_TARGET_PLAYER,LOC_MOMENT_DATA_TARGET_PLAYER
MOMENT_DATA_TARGET_PLAYER_ERA,LOC_MOMENT_DATA_TARGET_PLAYER_ERA
MOMENT_DATA_TECHNOLOGY,LOC_MOMENT_DATA_TECHNOLOGY
MOMENT_DATA_UNIT,LOC_MOMENT_DATA_UNIT
MOMENT_DATA_WAR,LOC_MOMENT_DATA_WAR
