MomentIllustrationType,MomentDataType,GameDataType,Texture
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_AZTEC_EAGLE_WARRIOR,Moment_UniqueUnit_Aztec.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_TLACHTLI,Moment_Infrastructure_Aztec.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_INDONESIAN_JONG,Moment_UniqueUnit_Indonesia.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_KHMER_DOMREY,Moment_UniqueUnit_Khmer.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_KAMPUNG,Moment_Infrastructure_Indonesia.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_PRASAT,Moment_Infrastructure_Khmer.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_HA_LONG_BAY,Moment_Naturalwonder_HaLongBay.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_EYJAFJALLAJOKULL,Moment_NaturalWonder_Eyjafjallajokull.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_GIANTS_CAUSEWAY,Moment_Naturalwonder_GiantsCauseway.dds
MOMENT_ILLUSTRATION_NATURAL_WONDER,MOMENT_DATA_FEATURE,FEATURE_LYSEFJORDEN,Moment_Naturalwonder_Lyseford.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_POLISH_HUSSAR,Moment_UniqueUnit_Poland.dds
MOMENT_ILLUSTRATION_UNIQUE_BUILDING,MOMENT_DATA_BUILDING,BUILDING_SUKIENNICE,Moment_Infrastructure_Poland.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_NUBIAN_PITATI,Moment_UniqueUnit_Nubia.dds
MOMENT_ILLUSTRATION_UNIQUE_IMPROVEMENT,MOMENT_DATA_IMPROVEMENT,IMPROVEMENT_PYRAMID,Moment_Infrastructure_Nubia.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_MACEDONIAN_HETAIROI,Moment_UniqueUnit_Macedon_Hetairoi.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_MACEDONIAN_HYPASPIST,Moment_UniqueUnit_Macedon_Hypaspist.dds
MOMENT_ILLUSTRATION_UNIQUE_UNIT,MOMENT_DATA_UNIT,UNIT_PERSIAN_IMMORTAL,Moment_UniqueUnit_Persia.dds
