MomentType,Name,Description,InstanceDescription,InterestLevel,EraScore,RepeatTurnCooldown,CommemorationType,MinimumGameEra,MaximumGameEra,BackgroundTexture,IconTexture,MomentIllustrationType,ObsoleteEra
MOMENT_ARTIFACT_EXTRACTED,LOC_MOMENT_ARTIFACT_EXTRACTED,LOC_MOMENT_ARTIFACT_EXTRACTED_DESCRIPTION,LOC_MOMENT_ARTIFACT_EXTRACTED_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Culture,,
MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST,LOC_MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST,LOC_MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST_DESCRIPTION,LOC_MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,Moment_ShipwreckExcavated.dds,,,
MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST_IN_WORLD,LOC_MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST_IN_WORLD,LOC_MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_ARTIFACT_EXTRACTED_SHIPWRECK_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_ShipwreckExcavated.dds,,,
MOMENT_BARBARIAN_CAMP_DESTROYED,LOC_MOMENT_BARBARIAN_CAMP_DESTROYED,LOC_MOMENT_BARBARIAN_CAMP_DESTROYED_DESCRIPTION,LOC_MOMENT_BARBARIAN_CAMP_DESTROYED_INSTANCE_DESCRIPTION,1,2.0,,,ERA_ANCIENT,ERA_MEDIEVAL,,MomentSmall_Combat,,
MOMENT_BARBARIAN_CAMP_DESTROYED_NEAR_YOUR_CITY,LOC_MOMENT_BARBARIAN_CAMP_DESTROYED_NEAR_YOUR_CITY,LOC_MOMENT_BARBARIAN_CAMP_DESTROYED_NEAR_YOUR_CITY_DESCRIPTION,LOC_MOMENT_BARBARIAN_CAMP_DESTROYED_NEAR_YOUR_CITY_INSTANCE_DESCRIPTION,3,3.0,,,ERA_ANCIENT,ERA_MEDIEVAL,Moment_ClearBarbMedieval6Tiles.dds,,,
MOMENT_BATTLE_FOUGHT,LOC_MOMENT_BATTLE_FOUGHT,LOC_MOMENT_BATTLE_FOUGHT_DESCRIPTION,,0,,,,,,,,,
MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED,LOC_MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED,LOC_MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED_DESCRIPTION,LOC_MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_MaxReligionBeliefs.dds,,,
MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED_FIRST_IN_WORLD,LOC_MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED_FIRST_IN_WORLD,LOC_MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_BELIEF_ADDED_MAX_BELIEFS_REACHED_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,4.0,,,,,Moment_MaxReligionBeliefs.dds,,,
MOMENT_BUILDING_CONSTRUCTED_FIRST_UNIQUE,LOC_MOMENT_BUILDING_CONSTRUCTED_FIRST_UNIQUE,LOC_MOMENT_BUILDING_CONSTRUCTED_FIRST_UNIQUE_DESCRIPTION,LOC_MOMENT_BUILDING_CONSTRUCTED_FIRST_UNIQUE_INSTANCE_DESCRIPTION,3,4.0,,,,,,,MOMENT_ILLUSTRATION_UNIQUE_BUILDING,
MOMENT_BUILDING_CONSTRUCTED_FULL_AERODROME_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_AERODROME_FIRST,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_AERODROME_FIRST_DESCRIPTION,LOC_MOMENT_BUILDING_CONSTRUCTED_FULL_AERODROME_FIRST_INSTANCE_DESCRIPTION,3,3.0,,,,,Moment_DistrictBuiltAerodrome.dds,,,
