NamedDesertType,CivilizationType
NAMED_DESERT_TENGGER_SAND_SEA,CIVILIZATION_INDONESIA
NAMED_DESERT_BLEDOWSKA_DESERT,CIVILIZATION_POLAND
NAMED_DESERT_BAYUDA_DESERT,CIVILIZATION_NUBIA
NAMED_DESERT_NUBIAN,CIVILIZATION_NUBIA
NAMED_DESERT_QOZ_ABU_DULU,CIVILIZATION_NUBIA
NAMED_DESERT_KAVIR,CIVILIZATION_PERSIA
NAMED_DESERT_LUT,CIVILIZATION_PERSIA
NAMED_DESERT_GIBSON,CIVILIZATION_AUSTRALIA
NAMED_DESERT_GREAT_SANDY,CIVILIZATION_AUSTRALIA
NAMED_DESERT_GREAT_VICTORIA,CIVILIZATION_AUSTRALIA
NAMED_DESERT_SIMPSON,CIVILIZATION_AUSTRALIA
NAMED_DESERT_TANAMI,CIVILIZATION_AUSTRALIA
NAMED_DESERT_ATACAMA,CIVILIZATION_MAPUCHE
NAMED_DESERT_GOBI,CIVILIZATION_MONGOLIA
NAMED_DESERT_PATAGONIAN,CIVILIZATION_MAPUCHE
NAMED_DESERT_ACCONA_DESERT,CIVILIZATION_ROME
NAMED_DESERT_AL_DAHNA_DESERT,CIVILIZATION_ARABIA
NAMED_DESERT_AL_NAFUD,CIVILIZATION_ARABIA
NAMED_DESERT_ARABIAN,CIVILIZATION_ARABIA
NAMED_DESERT_CHIHUAHUAN,CIVILIZATION_AMERICA
NAMED_DESERT_COLORADO_PLATEAU,CIVILIZATION_AMERICA
NAMED_DESERT_GOBI,CIVILIZATION_CHINA
NAMED_DESERT_GREAT_BASIN,CIVILIZATION_AMERICA
NAMED_DESERT_GREAT_SAND_SEA,CIVILIZATION_EGYPT
NAMED_DESERT_KARAKUM,CIVILIZATION_SCYTHIA
NAMED_DESERT_KYZYLKUM,CIVILIZATION_SCYTHIA
NAMED_DESERT_LEMNOS_DESERT,CIVILIZATION_GREECE
NAMED_DESERT_LIBYAN,CIVILIZATION_EGYPT
NAMED_DESERT_MOJAVE,CIVILIZATION_AMERICA
NAMED_DESERT_QATTARA_DEPRESSION,CIVILIZATION_EGYPT
NAMED_DESERT_RUB_AL_KHALI,CIVILIZATION_ARABIA
NAMED_DESERT_SINAI,CIVILIZATION_EGYPT
NAMED_DESERT_SONORAN,CIVILIZATION_AMERICA
NAMED_DESERT_TABERNAS,CIVILIZATION_SPAIN
NAMED_DESERT_TAKLAMAKAN,CIVILIZATION_CHINA
NAMED_DESERT_THAR,CIVILIZATION_INDIA
NAMED_DESERT_ATACAMA,CIVILIZATION_INCA
NAMED_DESERT_EL_DJOUF,CIVILIZATION_MALI
NAMED_DESERT_HAMAD,CIVILIZATION_PHOENICIA
NAMED_DESERT_HAMAD,CIVILIZATION_OTTOMAN
NAMED_DESERT_KARAPINAR_DESERT,CIVILIZATION_OTTOMAN
NAMED_DESERT_MANIOTOTO,CIVILIZATION_MAORI
NAMED_DESERT_RANGIPO,CIVILIZATION_MAORI
NAMED_DESERT_SAHARA,CIVILIZATION_MALI
NAMED_DESERT_SECHURA,CIVILIZATION_INCA
NAMED_DESERT_TANEZROUFT_BASIN,CIVILIZATION_MALI
NAMED_DESERT_LA_GUAJIRA_DESERT,CIVILIZATION_GRAN_COLOMBIA
NAMED_DESERT_TATACOA_DESERT,CIVILIZATION_GRAN_COLOMBIA
NAMED_DESERT_MEDANOS_DE_CORO,CIVILIZATION_GRAN_COLOMBIA
NAMED_DESERT_KARAPINAR_DESERT,CIVILIZATION_BYZANTIUM
NAMED_DESERT_SAND_DUNES_OF_MUI_NE,CIVILIZATION_VIETNAM
NAMED_DESERT_DANAKIL,CIVILIZATION_ETHIOPIA
NAMED_DESERT_OGADEN,CIVILIZATION_ETHIOPIA
NAMED_DESERT_HAMAD,CIVILIZATION_BABYLON_STK
NAMED_DESERT_BARREIRO_DA_FANECA,CIVILIZATION_PORTUGAL
