NamedDesertType,Name
NAMED_DESERT_ACCONA_DESERT,LOC_NAMED_DESERT_ACCONA_DESERT_NAME
NAMED_DESERT_AL_DAHNA_DESERT,LOC_NAMED_DESERT_AL_DAHNA_DESERT_NAME
NAMED_DESERT_AL_NAFUD,LOC_NAMED_DESERT_AL_NAFUD_NAME
NAMED_DESERT_ARABIAN,LOC_NAMED_DESERT_ARABIAN_NAME
NAMED_DESERT_ATACAMA,LOC_NAMED_DESERT_ATACAMA_NAME
NAMED_DESERT_BAYUDA_DESERT,LOC_NAMED_DESERT_BAYUDA_DESERT_NAME
NAMED_DESERT_BLEDOWSKA_DESERT,LOC_NAMED_DESERT_BLEDOWSKA_DESERT_NAME
NAMED_DESERT_CHIHUAHUAN,LOC_NAMED_DESERT_CHIHUAHUAN_NAME
NAMED_DESERT_COLORADO_PLATEAU,LOC_NAMED_DESERT_COLORADO_PLATEAU_NAME
NAMED_DESERT_DANAKIL,LOC_NAMED_DESERT_DANAKIL_NAME
NAMED_DESERT_DASHT_E_MARGO,LOC_NAMED_DESERT_DASHT_E_MARGO_NAME
NAMED_DESERT_EL_DJOUF,LOC_NAMED_DESERT_EL_DJOUF_NAME
NAMED_DESERT_GIBSON,LOC_NAMED_DESERT_GIBSON_NAME
NAMED_DESERT_GOBI,LOC_NAMED_DESERT_GOBI_NAME
NAMED_DESERT_GREAT_BASIN,LOC_NAMED_DESERT_GREAT_BASIN_NAME
NAMED_DESERT_GREAT_SAND_SEA,LOC_NAMED_DESERT_GREAT_SAND_SEA_NAME
NAMED_DESERT_GREAT_SANDY,LOC_NAMED_DESERT_GREAT_SANDY_NAME
NAMED_DESERT_GREAT_VICTORIA,LOC_NAMED_DESERT_GREAT_VICTORIA_NAME
NAMED_DESERT_HAMAD,LOC_NAMED_DESERT_HAMAD_NAME
NAMED_DESERT_KALAHARI,LOC_NAMED_DESERT_KALAHARI_NAME
NAMED_DESERT_KARAKUM,LOC_NAMED_DESERT_KARAKUM_NAME
NAMED_DESERT_KARAPINAR_DESERT,LOC_NAMED_DESERT_KARAPINAR_DESERT_NAME
NAMED_DESERT_KAVIR,LOC_NAMED_DESERT_KAVIR_NAME
NAMED_DESERT_KYZYLKUM,LOC_NAMED_DESERT_KYZYLKUM_NAME
NAMED_DESERT_LEMNOS_DESERT,LOC_NAMED_DESERT_LEMNOS_DESERT_NAME
NAMED_DESERT_LIBYAN,LOC_NAMED_DESERT_LIBYAN_NAME
NAMED_DESERT_LUT,LOC_NAMED_DESERT_LUT_NAME
NAMED_DESERT_MANIOTOTO,LOC_NAMED_DESERT_MANIOTOTO_NAME
NAMED_DESERT_MOJAVE,LOC_NAMED_DESERT_MOJAVE_NAME
NAMED_DESERT_NAMIB,LOC_NAMED_DESERT_NAMIB_NAME
NAMED_DESERT_NUBIAN,LOC_NAMED_DESERT_NUBIAN_NAME
NAMED_DESERT_OGADEN,LOC_NAMED_DESERT_OGADEN_NAME
NAMED_DESERT_PATAGONIAN,LOC_NAMED_DESERT_PATAGONIAN_NAME
NAMED_DESERT_QATTARA_DEPRESSION,LOC_NAMED_DESERT_QATTARA_DEPRESSION_NAME
NAMED_DESERT_QOZ_ABU_DULU,LOC_NAMED_DESERT_QOZ_ABU_DULU_NAME
NAMED_DESERT_RANGIPO,LOC_NAMED_DESERT_RANGIPO_NAME
NAMED_DESERT_REGISTAN,LOC_NAMED_DESERT_REGISTAN_NAME
NAMED_DESERT_RUB_AL_KHALI,LOC_NAMED_DESERT_RUB_AL_KHALI_NAME
NAMED_DESERT_SAHARA,LOC_NAMED_DESERT_SAHARA_NAME
NAMED_DESERT_SECHURA,LOC_NAMED_DESERT_SECHURA_NAME
NAMED_DESERT_SIMPSON,LOC_NAMED_DESERT_SIMPSON_NAME
NAMED_DESERT_SINAI,LOC_NAMED_DESERT_SINAI_NAME
NAMED_DESERT_SONORAN,LOC_NAMED_DESERT_SONORAN_NAME
NAMED_DESERT_TABERNAS,LOC_NAMED_DESERT_TABERNAS_NAME
NAMED_DESERT_TAKLAMAKAN,LOC_NAMED_DESERT_TAKLAMAKAN_NAME
NAMED_DESERT_TANAMI,LOC_NAMED_DESERT_TANAMI_NAME
NAMED_DESERT_TANEZROUFT_BASIN,LOC_NAMED_DESERT_TANEZROUFT_BASIN_NAME
NAMED_DESERT_TENGGER_SAND_SEA,LOC_NAMED_DESERT_TENGGER_SAND_SEA_NAME
NAMED_DESERT_THAL,LOC_NAMED_DESERT_THAL_NAME
NAMED_DESERT_THAR,LOC_NAMED_DESERT_THAR_NAME
NAMED_DESERT_LA_GUAJIRA_DESERT,LOC_NAMED_DESERT_LA_GUAJIRA_DESERT_NAME
NAMED_DESERT_TATACOA_DESERT,LOC_NAMED_DESERT_TATACOA_DESERT_NAME
NAMED_DESERT_MEDANOS_DE_CORO,LOC_NAMED_DESERT_MEDANOS_DE_CORO_NAME
NAMED_DESERT_SAND_DUNES_OF_MUI_NE,LOC_NAMED_DESERT_SAND_DUNES_OF_MUI_NE_NAME
NAMED_DESERT_BARREIRO_DA_FANECA,LOC_NAMED_DESERT_BARREIRO_DA_FANECA_NAME
