NamedLakeType,CivilizationType
NAMED_LAKE_LAKE_CHALCO,CIVILIZATION_AZTEC
NAMED_LAKE_LAKE_TEXCOCO,CIVILIZATION_AZTEC
NAMED_LAKE_LAKE_XALTOCAN,CIVILIZATION_AZTEC
NAMED_LAKE_LAKE_XOCHIMILCO,CIVILIZATION_AZTEC
NAMED_LAKE_LAKE_ZUMPANGO,CIVILIZATION_AZTEC
NAMED_LAKE_BOEUNG_KAK,CIVILIZATION_KHMER
NAMED_LAKE_LAKE_POSO,CIVILIZATION_INDONESIA
NAMED_LAKE_LAKE_MATANO,CIVILIZATION_INDONESIA
NAMED_LAKE_LAKE_SENTARUM,CIVILIZATION_INDONESIA
NAMED_LAKE_LAKE_TOBA,CIVILIZATION_INDONESIA
NAMED_LAKE_LAKE_TOWUTI,CIVILIZATION_INDONESIA
NAMED_LAKE_LAKE_YEAK_LAOM,CIVILIZATION_KHMER
NAMED_LAKE_TONLE_BATI_LAKE,CIVILIZATION_KHMER
NAMED_LAKE_TONLE_SAP,CIVILIZATION_KHMER
NAMED_LAKE_BUWELNO_LAKE,CIVILIZATION_POLAND
NAMED_LAKE_DABIE_LAKE,CIVILIZATION_POLAND
NAMED_LAKE_DOBSKIE_LAKE,CIVILIZATION_POLAND
NAMED_LAKE_LAKE_GOPLO,CIVILIZATION_POLAND
NAMED_LAKE_LAKE_MAMRY,CIVILIZATION_POLAND
NAMED_LAKE_LAKE_NIEGOCIN,CIVILIZATION_POLAND
NAMED_LAKE_LAKE_WIGRY,CIVILIZATION_POLAND
NAMED_LAKE_LUKNAJNO_LAKE,CIVILIZATION_POLAND
NAMED_LAKE_SNIARDWY,CIVILIZATION_POLAND
NAMED_LAKE_WOJNOWO_LAKE,CIVILIZATION_POLAND
NAMED_LAKE_WEST_NUBIAN_LAKE,CIVILIZATION_NUBIA
NAMED_LAKE_BAKHTEGAN_LAKE,CIVILIZATION_PERSIA
NAMED_LAKE_DOIRAN_LAKE,CIVILIZATION_MACEDON
NAMED_LAKE_HAMUN_LAKE,CIVILIZATION_PERSIA
NAMED_LAKE_LAKE_KORONEIA,CIVILIZATION_MACEDON
NAMED_LAKE_LAKE_PRESPA,CIVILIZATION_MACEDON
NAMED_LAKE_LAKE_URMIA,CIVILIZATION_PERSIA
NAMED_LAKE_LAKE_VEGORITIDA,CIVILIZATION_MACEDON
NAMED_LAKE_LAKE_VISTONIDA,CIVILIZATION_MACEDON
NAMED_LAKE_LAKE_VOLVI,CIVILIZATION_MACEDON
NAMED_LAKE_MAHARLOO_LAKE,CIVILIZATION_PERSIA
NAMED_LAKE_NAMAK_LAKE,CIVILIZATION_PERSIA
NAMED_LAKE_LAKE_AMADEUS,CIVILIZATION_AUSTRALIA
NAMED_LAKE_LAKE_DISAPPOINTMENT,CIVILIZATION_AUSTRALIA
NAMED_LAKE_LAKE_EYRE,CIVILIZATION_AUSTRALIA
NAMED_LAKE_LAKE_FROME,CIVILIZATION_AUSTRALIA
NAMED_LAKE_LAKE_MACKAY,CIVILIZATION_AUSTRALIA
NAMED_LAKE_LAKE_TORRENS,CIVILIZATION_AUSTRALIA
NAMED_LAKE_LAKE_CARNEGIE,CIVILIZATION_AUSTRALIA
NAMED_LAKE_AMANZAMNYAMA,CIVILIZATION_ZULU
NAMED_LAKE_BAENGNOKDAM,CIVILIZATION_KOREA
NAMED_LAKE_BUDI_LAKE,CIVILIZATION_MAPUCHE
NAMED_LAKE_CABURGUA_LAKE,CIVILIZATION_MAPUCHE
NAMED_LAKE_GALLETU_LAKE,CIVILIZATION_MAPUCHE
NAMED_LAKE_HEAVEN_LAKE,CIVILIZATION_KOREA
NAMED_LAKE_HULUN_LAKE,CIVILIZATION_MONGOLIA
NAMED_LAKE_KARTSAKHI_LAKE,CIVILIZATION_GEORGIA
NAMED_LAKE_KHAR_US_LAKE,CIVILIZATION_MONGOLIA
NAMED_LAKE_KHOVSGOL_LAKE,CIVILIZATION_MONGOLIA
