NamedLakeType,Name
NAMED_LAKE_AGUA_VERMELHA,LOC_NAMED_LAKE_AGUA_VERMELHA_NAME
NAMED_LAKE_ALTYEVATNET,LOC_NAMED_LAKE_ALTYEVATNET_NAME
NAMED_LAKE_AMANZAMNYAMA,LOC_NAMED_LAKE_AMANZAMNYAMA_NAME
NAMED_LAKE_ARAL_SEA,LOC_NAMED_LAKE_ARAL_SEA_NAME
NAMED_LAKE_BAENGNOKDAM,LOC_NAMED_LAKE_BAENGNOKDAM_NAME
NAMED_LAKE_BAKHTEGAN_LAKE,LOC_NAMED_LAKE_BAKHTEGAN_LAKE_NAME
NAMED_LAKE_BASSENTHWAITE_LAKE,LOC_NAMED_LAKE_BASSENTHWAITE_LAKE_NAME
NAMED_LAKE_BLASJO,LOC_NAMED_LAKE_BLASJO_NAME
NAMED_LAKE_BOEUNG_KAK,LOC_NAMED_LAKE_BOEUNG_KAK_NAME
NAMED_LAKE_BOURGET_LAKE,LOC_NAMED_LAKE_BOURGET_LAKE_NAME
NAMED_LAKE_BUDI_LAKE,LOC_NAMED_LAKE_BUDI_LAKE_NAME
NAMED_LAKE_BUWELNO_LAKE,LOC_NAMED_LAKE_BUWELNO_LAKE_NAME
NAMED_LAKE_CABURGUA_LAKE,LOC_NAMED_LAKE_CABURGUA_LAKE_NAME
NAMED_LAKE_CHAO_LAKE,LOC_NAMED_LAKE_CHAO_LAKE_NAME
NAMED_LAKE_CHINCHAYQUCHA,LOC_NAMED_LAKE_CHINCHAYQUCHA_NAME
NAMED_LAKE_CONISON_LAKE,LOC_NAMED_LAKE_CONISON_LAKE_NAME
NAMED_LAKE_DABIE_LAKE,LOC_NAMED_LAKE_DABIE_LAKE_NAME
NAMED_LAKE_DAL_LAKE,LOC_NAMED_LAKE_DAL_LAKE_NAME
NAMED_LAKE_DERWENTWATER_LAKE,LOC_NAMED_LAKE_DERWENTWATER_LAKE_NAME
NAMED_LAKE_DIPOR_BIL,LOC_NAMED_LAKE_DIPOR_BIL_NAME
NAMED_LAKE_DOBSKIE_LAKE,LOC_NAMED_LAKE_DOBSKIE_LAKE_NAME
NAMED_LAKE_DOIRAN_LAKE,LOC_NAMED_LAKE_DOIRAN_LAKE_NAME
NAMED_LAKE_DONGTING_LAKE,LOC_NAMED_LAKE_DONGTING_LAKE_NAME
NAMED_LAKE_EL_BRICIAL,LOC_NAMED_LAKE_EL_BRICIAL_NAME
NAMED_LAKE_FELDGES_LAKE,LOC_NAMED_LAKE_FELDGES_LAKE_NAME
NAMED_LAKE_FEMUNDEN,LOC_NAMED_LAKE_FEMUNDEN_NAME
NAMED_LAKE_FUCINE_LAKE,LOC_NAMED_LAKE_FUCINE_LAKE_NAME
NAMED_LAKE_GALLETU_LAKE,LOC_NAMED_LAKE_GALLETU_LAKE_NAME
NAMED_LAKE_GREAT_BEAR_LAKE,LOC_NAMED_LAKE_GREAT_BEAR_LAKE_NAME
NAMED_LAKE_GREAT_BITTER_LAKE,LOC_NAMED_LAKE_GREAT_BITTER_LAKE_NAME
NAMED_LAKE_GREAT_SALT_LAKE,LOC_NAMED_LAKE_GREAT_SALT_LAKE_NAME
NAMED_LAKE_GREAT_SLAVE_LAKE,LOC_NAMED_LAKE_GREAT_SLAVE_LAKE_NAME
NAMED_LAKE_GREENLEE_LOUGH,LOC_NAMED_LAKE_GREENLEE_LOUGH_NAME
NAMED_LAKE_GUARAPIRANGA,LOC_NAMED_LAKE_GUARAPIRANGA_NAME
NAMED_LAKE_HAMUN_LAKE,LOC_NAMED_LAKE_HAMUN_LAKE_NAME
NAMED_LAKE_HAWR_AS_SADIYAH,LOC_NAMED_LAKE_HAWR_AS_SADIYAH_NAME
NAMED_LAKE_HEAVEN_LAKE,LOC_NAMED_LAKE_HEAVEN_LAKE_NAME
NAMED_LAKE_HJALMAREN,LOC_NAMED_LAKE_HJALMAREN_NAME
NAMED_LAKE_HONGZE_LAKE,LOC_NAMED_LAKE_HONGZE_LAKE_NAME
NAMED_LAKE_HORNINDALSVATNET,LOC_NAMED_LAKE_HORNINDALSVATNET_NAME
NAMED_LAKE_HULUN_LAKE,LOC_NAMED_LAKE_HULUN_LAKE_NAME
NAMED_LAKE_ICHKEUL_LAKE,LOC_NAMED_LAKE_ICHKEUL_LAKE_NAME
NAMED_LAKE_ILIAMNA_LAKE,LOC_NAMED_LAKE_ILIAMNA_LAKE_NAME
NAMED_LAKE_ISSYK_KUL_LAKE,LOC_NAMED_LAKE_ISSYK_KUL_LAKE_NAME
NAMED_LAKE_KARTSAKHI_LAKE,LOC_NAMED_LAKE_KARTSAKHI_LAKE_NAME
NAMED_LAKE_KHAR_US_LAKE,LOC_NAMED_LAKE_KHAR_US_LAKE_NAME
NAMED_LAKE_KHOVSGOL_LAKE,LOC_NAMED_LAKE_KHOVSGOL_LAKE_NAME
NAMED_LAKE_KHYARGAS_LAKE,LOC_NAMED_LAKE_KHYARGAS_LAKE_NAME
NAMED_LAKE_KILUNDA_LAKE,LOC_NAMED_LAKE_KILUNDA_LAKE_NAME
