NamedMountainType,CivilizationType
NAMED_MOUNTAIN_SIERRA_CHICHINAUTZIN,CIVILIZATION_AZTEC
NAMED_MOUNTAIN_SIERRA_DE_LOS_TUXTLAS,CIVILIZATION_AZTEC
NAMED_MOUNTAIN_SIERRA_DE_TAMAULIPAS,CIVILIZATION_AZTEC
NAMED_MOUNTAIN_SIERRA_MADRES,CIVILIZATION_AZTEC
NAMED_MOUNTAIN_ZEMPOALTEPETL,CIVILIZATION_AZTEC
NAMED_MOUNTAIN_ANNAMITES,CIVILIZATION_KHMER
NAMED_MOUNTAIN_BARISAN,CIVILIZATION_INDONESIA
NAMED_MOUNTAIN_DAMREI_MOUNTAINS,CIVILIZATION_KHMER
NAMED_MOUNTAIN_DANGREK_MOUNTAINS,CIVILIZATION_KHMER
NAMED_MOUNTAIN_IYANG_ARGAPURA_MOUNTAINS,CIVILIZATION_INDONESIA
NAMED_MOUNTAIN_KRAVANH_MOUNTAINS,CIVILIZATION_KHMER
NAMED_MOUNTAIN_MERATUS_MOUNTAINS,CIVILIZATION_INDONESIA
NAMED_MOUNTAIN_TENGGER_MASSIF,CIVILIZATION_INDONESIA
NAMED_MOUNTAIN_BESKIDY_MOUNTAINS,CIVILIZATION_POLAND
NAMED_MOUNTAIN_BIESZCZADY_MOUNTAINS,CIVILIZATION_POLAND
NAMED_MOUNTAIN_CARPATHIANS,CIVILIZATION_POLAND
NAMED_MOUNTAIN_KARKONOSZE_MOUNTAINS,CIVILIZATION_POLAND
NAMED_MOUNTAIN_TATRA_MOUNTAINS,CIVILIZATION_POLAND
NAMED_MOUNTAIN_GEBEL_AL_AIN,CIVILIZATION_NUBIA
NAMED_MOUNTAIN_JEBEL_ABYAD_PLATEAU,CIVILIZATION_NUBIA
NAMED_MOUNTAIN_JEBEL_NAGASHUSH,CIVILIZATION_NUBIA
NAMED_MOUNTAIN_NUBA,CIVILIZATION_NUBIA
NAMED_MOUNTAIN_ALBORZ,CIVILIZATION_PERSIA
NAMED_MOUNTAIN_ALADAGH_MOUNTAINS,CIVILIZATION_PERSIA
NAMED_MOUNTAIN_KARKAS_MOUNTAINS,CIVILIZATION_PERSIA
NAMED_MOUNTAIN_KOPET_DAG_RANGE,CIVILIZATION_PERSIA
NAMED_MOUNTAIN_PINDUS,CIVILIZATION_MACEDON
NAMED_MOUNTAIN_RHODOPES,CIVILIZATION_MACEDON
NAMED_MOUNTAIN_VERMIO_MOUNTAINS,CIVILIZATION_MACEDON
NAMED_MOUNTAIN_VORAS_MOUNTAIN_RANGE,CIVILIZATION_MACEDON
NAMED_MOUNTAIN_TALYSH_MOUNTAINS,CIVILIZATION_PERSIA
NAMED_MOUNTAIN_ZAGROS,CIVILIZATION_PERSIA
NAMED_MOUNTAIN_BLUE_MOUNTAINS,CIVILIZATION_AUSTRALIA
NAMED_MOUNTAIN_GREAT_DIVIDING,CIVILIZATION_AUSTRALIA
NAMED_MOUNTAIN_HAMERSLEY_RANGE,CIVILIZATION_AUSTRALIA
NAMED_MOUNTAIN_MACDONNELL_RANGE,CIVILIZATION_AUSTRALIA
NAMED_MOUNTAIN_PELION_RANGE,CIVILIZATION_AUSTRALIA
NAMED_MOUNTAIN_SNOWY_MOUNTAINS,CIVILIZATION_AUSTRALIA
NAMED_MOUNTAIN_ALTAI,CIVILIZATION_MONGOLIA
NAMED_MOUNTAIN_ANDES,CIVILIZATION_MAPUCHE
NAMED_MOUNTAIN_ARROCHAR_ALPS,CIVILIZATION_SCOTLAND
NAMED_MOUNTAIN_BAEKDUDAEGAN,CIVILIZATION_KOREA
NAMED_MOUNTAIN_BALELES_MOUNTAINS,CIVILIZATION_ZULU
NAMED_MOUNTAIN_CAIRNGORMS,CIVILIZATION_SCOTLAND
NAMED_MOUNTAIN_CAUCASUS,CIVILIZATION_GEORGIA
NAMED_MOUNTAIN_CORDILLERA_DE_QUEULE,CIVILIZATION_MAPUCHE
NAMED_MOUNTAIN_CORDILLERA_DEL_MAHUIDANCHE,CIVILIZATION_MAPUCHE
NAMED_MOUNTAIN_CUILLIN,CIVILIZATION_SCOTLAND
NAMED_MOUNTAIN_DONGDAE_MOUNTAINS,CIVILIZATION_KOREA
NAMED_MOUNTAIN_DRAKENSBERG,CIVILIZATION_ZULU
NAMED_MOUNTAIN_GAGRA_RANGE,CIVILIZATION_GEORGIA
NAMED_MOUNTAIN_GRAMPIANS,CIVILIZATION_SCOTLAND
NAMED_MOUNTAIN_HONDSRUG,CIVILIZATION_NETHERLANDS
NAMED_MOUNTAIN_KANANASKIS_RANGE,CIVILIZATION_CREE
NAMED_MOUNTAIN_KHANGAI_MOUNTAINS,CIVILIZATION_MONGOLIA
NAMED_MOUNTAIN_KHENTII_MOUNTAINS,CIVILIZATION_MONGOLIA
NAMED_MOUNTAIN_LEBOMBO_MOUNTAINS,CIVILIZATION_ZULU
NAMED_MOUNTAIN_LIKHI_RANGE,CIVILIZATION_GEORGIA
NAMED_MOUNTAIN_LOWER_RHINE_HEIGHTS,CIVILIZATION_NETHERLANDS
NAMED_MOUNTAIN_MESKHETI_RANGE,CIVILIZATION_GEORGIA
NAMED_MOUNTAIN_MONADH_LIATH,CIVILIZATION_SCOTLAND
NAMED_MOUNTAIN_NAHUELBUTA_RANGE,CIVILIZATION_MAPUCHE
NAMED_MOUNTAIN_NIKANASSIN_RANGE,CIVILIZATION_CREE
NAMED_MOUNTAIN_ROCKIES,CIVILIZATION_CREE
NAMED_MOUNTAIN_SALLANDSE_HILL_RIDGE,CIVILIZATION_NETHERLANDS
NAMED_MOUNTAIN_SAYAN_MOUNTAINS,CIVILIZATION_MONGOLIA
NAMED_MOUNTAIN_SOBAEK_MOUNTAINS,CIVILIZATION_KOREA
NAMED_MOUNTAIN_TAEBAEK_MOUNTAINS,CIVILIZATION_KOREA
NAMED_MOUNTAIN_TRIALETI_RANGE,CIVILIZATION_GEORGIA
NAMED_MOUNTAIN_UTRECHT_HILL_RIDGE,CIVILIZATION_NETHERLANDS
NAMED_MOUNTAIN_VELUWE,CIVILIZATION_NETHERLANDS
NAMED_MOUNTAIN_VERMILION_RANGE,CIVILIZATION_CREE
NAMED_MOUNTAIN_YEONGNAM_ALPS,CIVILIZATION_KOREA
NAMED_MOUNTAIN_AKAISHI,CIVILIZATION_JAPAN
NAMED_MOUNTAIN_ALASKAN,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_ALAY_MOUNTAINS,CIVILIZATION_SCYTHIA
NAMED_MOUNTAIN_ALEUTIANS,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_ALPS,CIVILIZATION_FRANCE
NAMED_MOUNTAIN_ALPS,CIVILIZATION_GERMANY
NAMED_MOUNTAIN_ALPS,CIVILIZATION_ROME
NAMED_MOUNTAIN_APENNINES,CIVILIZATION_ROME
NAMED_MOUNTAIN_APPALACHIANS,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_ARAVALLI_RANGE,CIVILIZATION_INDIA
NAMED_MOUNTAIN_ASIR,CIVILIZATION_ARABIA
NAMED_MOUNTAIN_BAIKAL_MOUNTAINS,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_BLACK_FOREST_MOUNTAINS,CIVILIZATION_GERMANY
NAMED_MOUNTAIN_CANTABRICA,CIVILIZATION_SPAIN
NAMED_MOUNTAIN_CASCADES,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_CAUCASUS,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_CHERSKY,CIVILIZATION_RUSSIA
NAMED_MOUNTAIN_CHEVIOT_HILLS,CIVILIZATION_ENGLAND
NAMED_MOUNTAIN_CHIANTI_MOUNTAINS,CIVILIZATION_ROME
NAMED_MOUNTAIN_COAST,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_CORDILLERAS_BETICAS,CIVILIZATION_SPAIN
NAMED_MOUNTAIN_CRYSTAL_MOUNTAINS,CIVILIZATION_KONGO
NAMED_MOUNTAIN_CUMBRIAN_FELLS,CIVILIZATION_ENGLAND
NAMED_MOUNTAIN_DINARIDES,CIVILIZATION_ROME
NAMED_MOUNTAIN_DOLOMITES,CIVILIZATION_ROME
NAMED_MOUNTAIN_DOVREFJELL,CIVILIZATION_NORWAY
NAMED_MOUNTAIN_ESPINHACO_MOUNTAINS,CIVILIZATION_BRAZIL
NAMED_MOUNTAIN_GALICIAN_MASSIF,CIVILIZATION_SPAIN
NAMED_MOUNTAIN_GHATS,CIVILIZATION_INDIA
NAMED_MOUNTAIN_GISSAR_RANGE,CIVILIZATION_SCYTHIA
NAMED_MOUNTAIN_GWAZHAL,CIVILIZATION_AMERICA
NAMED_MOUNTAIN_HAMRIN_MOUNTAINS,CIVILIZATION_SUMERIA
NAMED_MOUNTAIN_HARDANGERVIDDA,CIVILIZATION_NORWAY
NAMED_MOUNTAIN_HARZ,CIVILIZATION_GERMANY
NAMED_MOUNTAIN_HENGDUAN,CIVILIZATION_CHINA
NAMED_MOUNTAIN_HIDA_MOUNTAINS,CIVILIZATION_JAPAN
NAMED_MOUNTAIN_HIJAZ_MOUNTAINS,CIVILIZATION_ARABIA
NAMED_MOUNTAIN_HIMALAYAS,CIVILIZATION_CHINA
