NamedMountainType,Name
NAMED_MOUNTAIN_AKAISHI,LOC_NAMED_MOUNTAIN_AKAISHI_NAME
NAMED_MOUNTAIN_ALADAGH_MOUNTAINS,LOC_NAMED_MOUNTAIN_ALADAGH_MOUNTAINS_NAME
NAMED_MOUNTAIN_ALADAGLAR_MOUNTAINS,LOC_NAMED_MOUNTAIN_ALADAGLAR_MOUNTAINS_NAME
NAMED_MOUNTAIN_ALASKAN,LOC_NAMED_MOUNTAIN_ALASKAN_NAME
NAMED_MOUNTAIN_ALAY_MOUNTAINS,LOC_NAMED_MOUNTAIN_ALAY_MOUNTAINS_NAME
NAMED_MOUNTAIN_ALBORZ,LOC_NAMED_MOUNTAIN_ALBORZ_NAME
NAMED_MOUNTAIN_ALEUTIANS,LOC_NAMED_MOUNTAIN_ALEUTIANS_NAME
NAMED_MOUNTAIN_ALPS,LOC_NAMED_MOUNTAIN_ALPS_NAME
NAMED_MOUNTAIN_ALTAI,LOC_NAMED_MOUNTAIN_ALTAI_NAME
NAMED_MOUNTAIN_ANDES,LOC_NAMED_MOUNTAIN_ANDES_NAME
NAMED_MOUNTAIN_ANNAMITES,LOC_NAMED_MOUNTAIN_ANNAMITES_NAME
NAMED_MOUNTAIN_ANTILIBANUS_MOUNTAINS,LOC_NAMED_MOUNTAIN_ANTILIBANUS_MOUNTAINS_NAME
NAMED_MOUNTAIN_APENNINES,LOC_NAMED_MOUNTAIN_APENNINES_NAME
NAMED_MOUNTAIN_APPALACHIANS,LOC_NAMED_MOUNTAIN_APPALACHIANS_NAME
NAMED_MOUNTAIN_ARAKAN,LOC_NAMED_MOUNTAIN_ARAKAN_NAME
NAMED_MOUNTAIN_ARAVALLI_RANGE,LOC_NAMED_MOUNTAIN_ARAVALLI_RANGE_NAME
NAMED_MOUNTAIN_ARROCHAR_ALPS,LOC_NAMED_MOUNTAIN_ARROCHAR_ALPS_NAME
NAMED_MOUNTAIN_ASIR,LOC_NAMED_MOUNTAIN_ASIR_NAME
NAMED_MOUNTAIN_ATLAS,LOC_NAMED_MOUNTAIN_ATLAS_NAME
NAMED_MOUNTAIN_BAEKDUDAEGAN,LOC_NAMED_MOUNTAIN_BAEKDUDAEGAN_NAME
NAMED_MOUNTAIN_BAIKAL_MOUNTAINS,LOC_NAMED_MOUNTAIN_BAIKAL_MOUNTAINS_NAME
NAMED_MOUNTAIN_BALKANS,LOC_NAMED_MOUNTAIN_BALKANS_NAME
NAMED_MOUNTAIN_BALELES_MOUNTAINS,LOC_NAMED_MOUNTAIN_BALELES_MOUNTAINS_NAME
NAMED_MOUNTAIN_BAMBOUK_MOUNTAINS,LOC_NAMED_MOUNTAIN_BAMBOUK_MOUNTAINS_NAME
NAMED_MOUNTAIN_BANDIAGARA_ESCARPMENT,LOC_NAMED_MOUNTAIN_BANDIAGARA_ESCARPMENT_NAME
NAMED_MOUNTAIN_BARGYLUS_MOUNTAINS,LOC_NAMED_MOUNTAIN_BARGYLUS_MOUNTAINS_NAME
NAMED_MOUNTAIN_BARISAN,LOC_NAMED_MOUNTAIN_BARISAN_NAME
NAMED_MOUNTAIN_BESKIDY_MOUNTAINS,LOC_NAMED_MOUNTAIN_BESKIDY_MOUNTAINS_NAME
NAMED_MOUNTAIN_BIESZCZADY_MOUNTAINS,LOC_NAMED_MOUNTAIN_BIESZCZADY_MOUNTAINS_NAME
NAMED_MOUNTAIN_BLACK_FOREST_MOUNTAINS,LOC_NAMED_MOUNTAIN_BLACK_FOREST_MOUNTAINS_NAME
NAMED_MOUNTAIN_BLUE_MOUNTAINS,LOC_NAMED_MOUNTAIN_BLUE_MOUNTAINS_NAME
NAMED_MOUNTAIN_BUKK_MOUNTAINS,LOC_NAMED_MOUNTAIN_BUKK_MOUNTAINS_NAME
NAMED_MOUNTAIN_CAIRNGORMS,LOC_NAMED_MOUNTAIN_CAIRNGORMS_NAME
NAMED_MOUNTAIN_CANTABRICA,LOC_NAMED_MOUNTAIN_CANTABRICA_NAME
NAMED_MOUNTAIN_CARPATHIANS,LOC_NAMED_MOUNTAIN_CARPATHIANS_NAME
NAMED_MOUNTAIN_CASCADES,LOC_NAMED_MOUNTAIN_CASCADES_NAME
NAMED_MOUNTAIN_CAUCASUS,LOC_NAMED_MOUNTAIN_CAUCASUS_NAME
NAMED_MOUNTAIN_CHERSKY,LOC_NAMED_MOUNTAIN_CHERSKY_NAME
NAMED_MOUNTAIN_CHEVIOT_HILLS,LOC_NAMED_MOUNTAIN_CHEVIOT_HILLS_NAME
NAMED_MOUNTAIN_CHIANTI_MOUNTAINS,LOC_NAMED_MOUNTAIN_CHIANTI_MOUNTAINS_NAME
NAMED_MOUNTAIN_COAST,LOC_NAMED_MOUNTAIN_COAST_NAME
NAMED_MOUNTAIN_CORDILLERA_DE_QUEULE,LOC_NAMED_MOUNTAIN_CORDILLERA_DE_QUEULE_NAME
NAMED_MOUNTAIN_CORDILLERA_DEL_CONDOR,LOC_NAMED_MOUNTAIN_CORDILLERA_DEL_CONDOR_NAME
NAMED_MOUNTAIN_CORDILLERA_DEL_MAHUIDANCHE,LOC_NAMED_MOUNTAIN_CORDILLERA_DEL_MAHUIDANCHE_NAME
NAMED_MOUNTAIN_CORDILLERAS_BETICAS,LOC_NAMED_MOUNTAIN_CORDILLERAS_BETICAS_NAME
NAMED_MOUNTAIN_CRYSTAL_MOUNTAINS,LOC_NAMED_MOUNTAIN_CRYSTAL_MOUNTAINS_NAME
NAMED_MOUNTAIN_CUILLIN,LOC_NAMED_MOUNTAIN_CUILLIN_NAME
NAMED_MOUNTAIN_CUMBRIAN_FELLS,LOC_NAMED_MOUNTAIN_CUMBRIAN_FELLS_NAME
NAMED_MOUNTAIN_DAMREI_MOUNTAINS,LOC_NAMED_MOUNTAIN_DAMREI_MOUNTAINS_NAME
NAMED_MOUNTAIN_DANGREK_MOUNTAINS,LOC_NAMED_MOUNTAIN_DANGREK_MOUNTAINS_NAME
NAMED_MOUNTAIN_DINARIDES,LOC_NAMED_MOUNTAIN_DINARIDES_NAME
NAMED_MOUNTAIN_DOLOMITES,LOC_NAMED_MOUNTAIN_DOLOMITES_NAME
NAMED_MOUNTAIN_DONGDAE_MOUNTAINS,LOC_NAMED_MOUNTAIN_DONGDAE_MOUNTAINS_NAME
NAMED_MOUNTAIN_DOVREFJELL,LOC_NAMED_MOUNTAIN_DOVREFJELL_NAME
NAMED_MOUNTAIN_DRAKENSBERG,LOC_NAMED_MOUNTAIN_DRAKENSBERG_NAME
NAMED_MOUNTAIN_ESPINHACO_MOUNTAINS,LOC_NAMED_MOUNTAIN_ESPINHACO_MOUNTAINS_NAME
NAMED_MOUNTAIN_GAGRA_RANGE,LOC_NAMED_MOUNTAIN_GAGRA_RANGE_NAME
NAMED_MOUNTAIN_GALICIAN_MASSIF,LOC_NAMED_MOUNTAIN_GALICIAN_MASSIF_NAME
NAMED_MOUNTAIN_GEBEL_AL_AIN,LOC_NAMED_MOUNTAIN_GEBEL_AL_AIN_NAME
NAMED_MOUNTAIN_GHATS,LOC_NAMED_MOUNTAIN_GHATS_NAME
NAMED_MOUNTAIN_GISSAR_RANGE,LOC_NAMED_MOUNTAIN_GISSAR_RANGE_NAME
NAMED_MOUNTAIN_GRAMPIANS,LOC_NAMED_MOUNTAIN_GRAMPIANS_NAME
NAMED_MOUNTAIN_GREAT_DIVIDING,LOC_NAMED_MOUNTAIN_GREAT_DIVIDING_NAME
NAMED_MOUNTAIN_GWAZHAL,LOC_NAMED_MOUNTAIN_GWAZHAL_NAME
NAMED_MOUNTAIN_HAMERSLEY_RANGE,LOC_NAMED_MOUNTAIN_HAMERSLEY_RANGE_NAME
NAMED_MOUNTAIN_HAMRIN_MOUNTAINS,LOC_NAMED_MOUNTAIN_HAMRIN_MOUNTAINS_NAME
NAMED_MOUNTAIN_HARDANGERVIDDA,LOC_NAMED_MOUNTAIN_HARDANGERVIDDA_NAME
NAMED_MOUNTAIN_HARZ,LOC_NAMED_MOUNTAIN_HARZ_NAME
NAMED_MOUNTAIN_HENGDUAN,LOC_NAMED_MOUNTAIN_HENGDUAN_NAME
NAMED_MOUNTAIN_HIDA_MOUNTAINS,LOC_NAMED_MOUNTAIN_HIDA_MOUNTAINS_NAME
NAMED_MOUNTAIN_HIJAZ_MOUNTAINS,LOC_NAMED_MOUNTAIN_HIJAZ_MOUNTAINS_NAME
NAMED_MOUNTAIN_HIMALAYAS,LOC_NAMED_MOUNTAIN_HIMALAYAS_NAME
NAMED_MOUNTAIN_HINDU_KUSH,LOC_NAMED_MOUNTAIN_HINDU_KUSH_NAME
NAMED_MOUNTAIN_HOGGAR,LOC_NAMED_MOUNTAIN_HOGGAR_NAME
NAMED_MOUNTAIN_HOMBORI_MOUNTAINS,LOC_NAMED_MOUNTAIN_HOMBORI_MOUNTAINS_NAME
