NamedRiverType,CivilizationType
NAMED_RIVER_ATOYAC_RIVER,CIVILIZATION_AZTEC
NAMED_RIVER_BALSAS,CIVILIZATION_AZTEC
NAMED_RIVER_COATZACOALCOS_RIVER,CIVILIZATION_AZTEC
NAMED_RIVER_MIXTECO_RIVER,CIVILIZATION_AZTEC
NAMED_RIVER_PAPALOAPAN_RIVER,CIVILIZATION_AZTEC
NAMED_RIVER_TEHUANTEPEC_RIVER,CIVILIZATION_AZTEC
NAMED_RIVER_TONALA_RIVER,CIVILIZATION_AZTEC
NAMED_RIVER_AYUNG_RIVER,CIVILIZATION_INDONESIA
NAMED_RIVER_BARITO_RIVER,CIVILIZATION_INDONESIA
NAMED_RIVER_BASSAC_RIVER,CIVILIZATION_KHMER
NAMED_RIVER_BATANGHARI_RIVER,CIVILIZATION_INDONESIA
NAMED_RIVER_BENGAWAN_SOLO_RIVER,CIVILIZATION_INDONESIA
NAMED_RIVER_KAPUAS,CIVILIZATION_INDONESIA
NAMED_RIVER_MAHAKAM_RIVER,CIVILIZATION_INDONESIA
NAMED_RIVER_MAMBERAMO_RIVER,CIVILIZATION_INDONESIA
NAMED_RIVER_MEKONG,CIVILIZATION_KHMER
NAMED_RIVER_MUSI_RIVER,CIVILIZATION_INDONESIA
NAMED_RIVER_SREPOK_RIVER,CIVILIZATION_KHMER
NAMED_RIVER_SE_KONG_RIVER,CIVILIZATION_KHMER
NAMED_RIVER_TONLE_SAN_RIVER,CIVILIZATION_KHMER
NAMED_RIVER_TONLE_SAP_RIVER,CIVILIZATION_KHMER
NAMED_RIVER_BUG,CIVILIZATION_POLAND
NAMED_RIVER_DUNAJEC_RIVER,CIVILIZATION_POLAND
NAMED_RIVER_NAREW_RIVER,CIVILIZATION_POLAND
NAMED_RIVER_NOTEC_RIVER,CIVILIZATION_POLAND
NAMED_RIVER_ODER,CIVILIZATION_POLAND
NAMED_RIVER_SAN_RIVER,CIVILIZATION_POLAND
NAMED_RIVER_VISTULA,CIVILIZATION_POLAND
NAMED_RIVER_WARTA_RIVER,CIVILIZATION_POLAND
NAMED_RIVER_WISLOKA_RIVER,CIVILIZATION_POLAND
NAMED_RIVER_ATBARAH_RIVER,CIVILIZATION_NUBIA
NAMED_RIVER_MAREB_RIVER,CIVILIZATION_NUBIA
NAMED_RIVER_NILE,CIVILIZATION_NUBIA
NAMED_RIVER_HALIACMON_RIVER,CIVILIZATION_MACEDON
NAMED_RIVER_JAJRUD_RIVER,CIVILIZATION_PERSIA
NAMED_RIVER_KARKHEH_RIVER,CIVILIZATION_PERSIA
NAMED_RIVER_KARUN,CIVILIZATION_PERSIA
NAMED_RIVER_SEFID_RIVER,CIVILIZATION_PERSIA
NAMED_RIVER_STRUMA_RIVER,CIVILIZATION_MACEDON
NAMED_RIVER_VARDAR,CIVILIZATION_MACEDON
NAMED_RIVER_ZAYANDE_RIVER,CIVILIZATION_PERSIA
NAMED_RIVER_BRISBANE_RIVER,CIVILIZATION_AUSTRALIA
NAMED_RIVER_COOPER_CREEK,CIVILIZATION_AUSTRALIA
NAMED_RIVER_DARLING,CIVILIZATION_AUSTRALIA
NAMED_RIVER_HUTT_RIVER,CIVILIZATION_AUSTRALIA
NAMED_RIVER_MURRAY,CIVILIZATION_AUSTRALIA
NAMED_RIVER_MURRUMBIDGEE,CIVILIZATION_AUSTRALIA
NAMED_RIVER_PAROO_RIVER,CIVILIZATION_AUSTRALIA
NAMED_RIVER_WARREGO_RIVER,CIVILIZATION_AUSTRALIA
NAMED_RIVER_AMISKWASIPI,CIVILIZATION_CREE
NAMED_RIVER_AMNOK_RIVER,CIVILIZATION_KOREA
NAMED_RIVER_ALAZANI_RIVER,CIVILIZATION_GEORGIA
NAMED_RIVER_BIO_BIO,CIVILIZATION_MAPUCHE
NAMED_RIVER_BUKHAN_RIVER,CIVILIZATION_KOREA
NAMED_RIVER_ENGURI_RIVER,CIVILIZATION_GEORGIA
NAMED_RIVER_FORTH,CIVILIZATION_SCOTLAND
NAMED_RIVER_GEUM_RIVER,CIVILIZATION_KOREA
NAMED_RIVER_HAN_RIVER,CIVILIZATION_KOREA
NAMED_RIVER_IJSSEL_RIVER,CIVILIZATION_NETHERLANDS
NAMED_RIVER_IMJIN_RIVER,CIVILIZATION_KOREA
NAMED_RIVER_ITATA_RIVER,CIVILIZATION_MAPUCHE
NAMED_RIVER_KATEPWEWI_SIPI,CIVILIZATION_CREE
NAMED_RIVER_KERULEN_RIVER,CIVILIZATION_MONGOLIA
NAMED_RIVER_KISISKACIWANI_SIPIY,CIVILIZATION_CREE
NAMED_RIVER_KURA,CIVILIZATION_GEORGIA
NAMED_RIVER_LEK_RIVER,CIVILIZATION_NETHERLANDS
NAMED_RIVER_LIMPOPO,CIVILIZATION_ZULU
NAMED_RIVER_MAIPO_RIVER,CIVILIZATION_MAPUCHE
NAMED_RIVER_MANTO_SIPIY,CIVILIZATION_CREE
NAMED_RIVER_MAPOCHO_RIVER,CIVILIZATION_MAPUCHE
NAMED_RIVER_MAULE_RIVER,CIVILIZATION_MAPUCHE
NAMED_RIVER_MEUSE,CIVILIZATION_NETHERLANDS
NAMED_RIVER_MTKVARI_RIVER,CIVILIZATION_GEORGIA
NAMED_RIVER_NAKDONG,CIVILIZATION_KOREA
NAMED_RIVER_OCHEKWI_SIPI,CIVILIZATION_CREE
NAMED_RIVER_ORKHON,CIVILIZATION_MONGOLIA
NAMED_RIVER_POWINIGOW,CIVILIZATION_CREE
NAMED_RIVER_RHINE,CIVILIZATION_NETHERLANDS
NAMED_RIVER_RIONI_RIVER,CIVILIZATION_GEORGIA
NAMED_RIVER_RIVER_CLYDE,CIVILIZATION_SCOTLAND
NAMED_RIVER_RIVER_DEE,CIVILIZATION_SCOTLAND
NAMED_RIVER_RIVER_SPEY,CIVILIZATION_SCOTLAND
NAMED_RIVER_RIVER_TAY,CIVILIZATION_SCOTLAND
NAMED_RIVER_SCHELDT_RIVER,CIVILIZATION_NETHERLANDS
NAMED_RIVER_SEOMJIN_RIVER,CIVILIZATION_KOREA
NAMED_RIVER_TAPISKWAN_SIPI,CIVILIZATION_CREE
NAMED_RIVER_TOLTEN_RIVER,CIVILIZATION_MAPUCHE
NAMED_RIVER_TRUFUL_TRUFUL_RIVER,CIVILIZATION_MAPUCHE
NAMED_RIVER_TUGELA_RIVER,CIVILIZATION_ZULU
NAMED_RIVER_TUUL_RIVER,CIVILIZATION_MONGOLIA
NAMED_RIVER_UMFOLOZI_RIVER,CIVILIZATION_ZULU
NAMED_RIVER_UMZIMKULU_RIVER,CIVILIZATION_ZULU
NAMED_RIVER_UMZINYATHI_RIVER,CIVILIZATION_ZULU
NAMED_RIVER_WAAL_RIVER,CIVILIZATION_NETHERLANDS
NAMED_RIVER_WAZALAFKEN_RIVER,CIVILIZATION_MAPUCHE
NAMED_RIVER_WUSKWI_SIPI,CIVILIZATION_CREE
NAMED_RIVER_YENISEI,CIVILIZATION_MONGOLIA
NAMED_RIVER_ZAVKHAN_RIVER,CIVILIZATION_MONGOLIA
NAMED_RIVER_ABUKUMA_RIVER,CIVILIZATION_JAPAN
NAMED_RIVER_ACHELOUS_RIVER,CIVILIZATION_GREECE
NAMED_RIVER_AMAZON,CIVILIZATION_BRAZIL
NAMED_RIVER_AMUR,CIVILIZATION_CHINA
NAMED_RIVER_AMUR,CIVILIZATION_RUSSIA
NAMED_RIVER_ARKANSAS,CIVILIZATION_AMERICA
NAMED_RIVER_ARNO_RIVER,CIVILIZATION_ROME
NAMED_RIVER_BAHR_YUSSEF,CIVILIZATION_EGYPT
NAMED_RIVER_BARADA_RIVER,CIVILIZATION_ARABIA
NAMED_RIVER_BRAHMAPUTRA,CIVILIZATION_INDIA
NAMED_RIVER_COLORADO,CIVILIZATION_AMERICA
NAMED_RIVER_COLUMBIA,CIVILIZATION_AMERICA
