NamedRiverType,Name
NAMED_RIVER_ABUKUMA_RIVER,LOC_NAMED_RIVER_ABUKUMA_RIVER_NAME
NAMED_RIVER_ACHELOUS_RIVER,LOC_NAMED_RIVER_ACHELOUS_RIVER_NAME
NAMED_RIVER_AGNO,LOC_NAMED_RIVER_AGNO_NAME
NAMED_RIVER_ALAZANI_RIVER,LOC_NAMED_RIVER_ALAZANI_RIVER_NAME
NAMED_RIVER_AMAZON,LOC_NAMED_RIVER_AMAZON_NAME
NAMED_RIVER_AMISKWASIPI,LOC_NAMED_RIVER_AMISKWASIPI_NAME
NAMED_RIVER_AMNOK_RIVER,LOC_NAMED_RIVER_AMNOK_RIVER_NAME
NAMED_RIVER_AMU_DARYA,LOC_NAMED_RIVER_AMU_DARYA_NAME
NAMED_RIVER_AMUR,LOC_NAMED_RIVER_AMUR_NAME
NAMED_RIVER_APURIMAQ_MAYU,LOC_NAMED_RIVER_APURIMAQ_MAYU_NAME
NAMED_RIVER_ARAS_RIVER,LOC_NAMED_RIVER_ARAS_RIVER_NAME
NAMED_RIVER_ARKANSAS,LOC_NAMED_RIVER_ARKANSAS_NAME
NAMED_RIVER_ARNO_RIVER,LOC_NAMED_RIVER_ARNO_RIVER_NAME
NAMED_RIVER_ATBARAH_RIVER,LOC_NAMED_RIVER_ATBARAH_RIVER_NAME
NAMED_RIVER_ATHABASCA_RIVER,LOC_NAMED_RIVER_ATHABASCA_RIVER_NAME
NAMED_RIVER_ATOYAC_RIVER,LOC_NAMED_RIVER_ATOYAC_RIVER_NAME
NAMED_RIVER_AWRIQ_MAYU,LOC_NAMED_RIVER_AWRIQ_MAYU_NAME
NAMED_RIVER_AYUNG_RIVER,LOC_NAMED_RIVER_AYUNG_RIVER_NAME
NAMED_RIVER_BAHR_YUSSEF,LOC_NAMED_RIVER_BAHR_YUSSEF_NAME
NAMED_RIVER_BALSAS,LOC_NAMED_RIVER_BALSAS_NAME
NAMED_RIVER_BANI_RIVER,LOC_NAMED_RIVER_BANI_RIVER_NAME
NAMED_RIVER_BARADA_RIVER,LOC_NAMED_RIVER_BARADA_RIVER_NAME
NAMED_RIVER_BARITO_RIVER,LOC_NAMED_RIVER_BARITO_RIVER_NAME
NAMED_RIVER_BASSAC_RIVER,LOC_NAMED_RIVER_BASSAC_RIVER_NAME
NAMED_RIVER_BATANGHARI_RIVER,LOC_NAMED_RIVER_BATANGHARI_RIVER_NAME
NAMED_RIVER_BEIRUT_RIVER,LOC_NAMED_RIVER_BEIRUT_RIVER_NAME
NAMED_RIVER_BENGAWAN_SOLO_RIVER,LOC_NAMED_RIVER_BENGAWAN_SOLO_RIVER_NAME
NAMED_RIVER_BIO_BIO,LOC_NAMED_RIVER_BIO_BIO_NAME
NAMED_RIVER_BRAHMAPUTRA,LOC_NAMED_RIVER_BRAHMAPUTRA_NAME
NAMED_RIVER_BRISBANE_RIVER,LOC_NAMED_RIVER_BRISBANE_RIVER_NAME
NAMED_RIVER_BUG,LOC_NAMED_RIVER_BUG_NAME
NAMED_RIVER_BUKHAN_RIVER,LOC_NAMED_RIVER_BUKHAN_RIVER_NAME
NAMED_RIVER_CHINCHIPE_RIVER,LOC_NAMED_RIVER_CHINCHIPE_RIVER_NAME
NAMED_RIVER_COATZACOALCOS_RIVER,LOC_NAMED_RIVER_COATZACOALCOS_RIVER_NAME
NAMED_RIVER_COLORADO,LOC_NAMED_RIVER_COLORADO_NAME
NAMED_RIVER_COLUMBIA,LOC_NAMED_RIVER_COLUMBIA_NAME
NAMED_RIVER_CONGO,LOC_NAMED_RIVER_CONGO_NAME
NAMED_RIVER_COOPER_CREEK,LOC_NAMED_RIVER_COOPER_CREEK_NAME
NAMED_RIVER_DAL,LOC_NAMED_RIVER_DAL_NAME
NAMED_RIVER_DAMIETTA_RIVER,LOC_NAMED_RIVER_DAMIETTA_RIVER_NAME
NAMED_RIVER_DANUBE,LOC_NAMED_RIVER_DANUBE_NAME
NAMED_RIVER_DARLING,LOC_NAMED_RIVER_DARLING_NAME
NAMED_RIVER_DAUGAVA,LOC_NAMED_RIVER_DAUGAVA_NAME
NAMED_RIVER_DELAWARE,LOC_NAMED_RIVER_DELAWARE_NAME
NAMED_RIVER_DIYALA_RIVER,LOC_NAMED_RIVER_DIYALA_RIVER_NAME
NAMED_RIVER_DNIEPER,LOC_NAMED_RIVER_DNIEPER_NAME
NAMED_RIVER_DNIESTER,LOC_NAMED_RIVER_DNIESTER_NAME
NAMED_RIVER_DON,LOC_NAMED_RIVER_DON_NAME
NAMED_RIVER_DOURO_RIVER,LOC_NAMED_RIVER_DOURO_RIVER_NAME
NAMED_RIVER_DUNAJEC_RIVER,LOC_NAMED_RIVER_DUNAJEC_RIVER_NAME
NAMED_RIVER_EBRO,LOC_NAMED_RIVER_EBRO_NAME
NAMED_RIVER_ELBE,LOC_NAMED_RIVER_ELBE_NAME
NAMED_RIVER_ENGURI_RIVER,LOC_NAMED_RIVER_ENGURI_RIVER_NAME
NAMED_RIVER_EUPHRATES,LOC_NAMED_RIVER_EUPHRATES_NAME
NAMED_RIVER_EUROTAS,LOC_NAMED_RIVER_EUROTAS_NAME
NAMED_RIVER_FORTH,LOC_NAMED_RIVER_FORTH_NAME
NAMED_RIVER_FRASER_RIVER,LOC_NAMED_RIVER_FRASER_RIVER_NAME
NAMED_RIVER_GAMBIA_RIVER,LOC_NAMED_RIVER_GAMBIA_RIVER_NAME
NAMED_RIVER_GANGES,LOC_NAMED_RIVER_GANGES_NAME
NAMED_RIVER_GEUM_RIVER,LOC_NAMED_RIVER_GEUM_RIVER_NAME
NAMED_RIVER_GLOMMA,LOC_NAMED_RIVER_GLOMMA_NAME
NAMED_RIVER_GODAVARI,LOC_NAMED_RIVER_GODAVARI_NAME
NAMED_RIVER_GREAT_ZAB_RIVER,LOC_NAMED_RIVER_GREAT_ZAB_RIVER_NAME
NAMED_RIVER_GUADALQUIVIR_RIVER,LOC_NAMED_RIVER_GUADALQUIVIR_RIVER_NAME
NAMED_RIVER_GUADIANA_RIVER,LOC_NAMED_RIVER_GUADIANA_RIVER_NAME
NAMED_RIVER_GUDBRANDSDALSLAGEN,LOC_NAMED_RIVER_GUDBRANDSDALSLAGEN_NAME
NAMED_RIVER_HAI,LOC_NAMED_RIVER_HAI_NAME
NAMED_RIVER_HALIACMON_RIVER,LOC_NAMED_RIVER_HALIACMON_RIVER_NAME
NAMED_RIVER_HAN_RIVER,LOC_NAMED_RIVER_HAN_RIVER_NAME
NAMED_RIVER_HUTT_RIVER,LOC_NAMED_RIVER_HUTT_RIVER_NAME
NAMED_RIVER_IJSSEL_RIVER,LOC_NAMED_RIVER_IJSSEL_RIVER_NAME
NAMED_RIVER_IMJIN_RIVER,LOC_NAMED_RIVER_IMJIN_RIVER_NAME
NAMED_RIVER_INDAL_RIVER,LOC_NAMED_RIVER_INDAL_RIVER_NAME
NAMED_RIVER_INDUS,LOC_NAMED_RIVER_INDUS_NAME
NAMED_RIVER_INKISI_RIVER,LOC_NAMED_RIVER_INKISI_RIVER_NAME
NAMED_RIVER_IRRAWADDY,LOC_NAMED_RIVER_IRRAWADDY_NAME
NAMED_RIVER_ISHIKARI_RIVER,LOC_NAMED_RIVER_ISHIKARI_RIVER_NAME
NAMED_RIVER_ITATA_RIVER,LOC_NAMED_RIVER_ITATA_RIVER_NAME
NAMED_RIVER_JAJRUD_RIVER,LOC_NAMED_RIVER_JAJRUD_RIVER_NAME
NAMED_RIVER_JORDAN,LOC_NAMED_RIVER_JORDAN_NAME
NAMED_RIVER_JUCAR_RIVER,LOC_NAMED_RIVER_JUCAR_RIVER_NAME
