NamedSeaType,CivilizationType
NAMED_SEA_BAY_OF_CAMPECHE,CIVILIZATION_AZTEC
NAMED_SEA_GULF_OF_MEXICO,CIVILIZATION_AZTEC
NAMED_SEA_GULF_OF_TEHUANTEPEC,CIVILIZATION_AZTEC
NAMED_SEA_ANDAMAN_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_ANDAMAN_SEA,CIVILIZATION_KHMER
NAMED_SEA_ARAFURA_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_BANDA_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_BAY_OF_KOMPONG_SOM,CIVILIZATION_KHMER
NAMED_SEA_CELEBES_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_CERAM_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_FLORES_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_GULF_OF_THAILAND,CIVILIZATION_KHMER
NAMED_SEA_JAWA_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_MOLUCCA_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_PHILIPPINE_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_SOUTH_CHINA_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_TIMOR_SEA,CIVILIZATION_INDONESIA
NAMED_SEA_BALTIC_SEA,CIVILIZATION_POLAND
NAMED_SEA_BAY_OF_POMERANIA,CIVILIZATION_POLAND
NAMED_SEA_GDANSK_BAY,CIVILIZATION_POLAND
NAMED_SEA_FOUL_BAY,CIVILIZATION_NUBIA
NAMED_SEA_RED_SEA,CIVILIZATION_NUBIA
NAMED_SEA_AEGEAN_SEA,CIVILIZATION_MACEDON
NAMED_SEA_BLACK_SEA,CIVILIZATION_PERSIA
NAMED_SEA_CASPIAN_SEA,CIVILIZATION_PERSIA
NAMED_SEA_GULF_OF_OMAN,CIVILIZATION_PERSIA
NAMED_SEA_GULF_OF_TORONEOS,CIVILIZATION_MACEDON
NAMED_SEA_MEDITERRANEAN_SEA,CIVILIZATION_MACEDON
NAMED_SEA_PERSIAN_GULF,CIVILIZATION_PERSIA
NAMED_SEA_SINGITIC_GULF,CIVILIZATION_MACEDON
NAMED_SEA_STRYMONIAN_GULF,CIVILIZATION_MACEDON
NAMED_SEA_THERMAIC_GULF,CIVILIZATION_MACEDON
NAMED_SEA_THRACIAN_SEA,CIVILIZATION_MACEDON
NAMED_SEA_ARAFURA_SEA,CIVILIZATION_AUSTRALIA
NAMED_SEA_BOTANY_BAY,CIVILIZATION_AUSTRALIA
NAMED_SEA_CORAL_SEA,CIVILIZATION_AUSTRALIA
NAMED_SEA_GREAT_AUSTRALIAN_BIGHT,CIVILIZATION_AUSTRALIA
NAMED_SEA_GULF_OF_CARPENTARIA,CIVILIZATION_AUSTRALIA
NAMED_SEA_JERVIS_BAY,CIVILIZATION_AUSTRALIA
NAMED_SEA_JOSEPH_BONAPARTE_GULF,CIVILIZATION_AUSTRALIA
NAMED_SEA_TASMAN_SEA,CIVILIZATION_AUSTRALIA
NAMED_SEA_TIMOR_SEA,CIVILIZATION_AUSTRALIA
NAMED_SEA_ALAUQUEN,CIVILIZATION_MAPUCHE
NAMED_SEA_BAY_OF_ARAUCO,CIVILIZATION_MAPUCHE
NAMED_SEA_BAY_OF_CONCEPCION,CIVILIZATION_MAPUCHE
NAMED_SEA_BLACK_SEA,CIVILIZATION_GEORGIA
NAMED_SEA_BO_HAI,CIVILIZATION_KOREA
NAMED_SEA_BUSAN_BAY,CIVILIZATION_KOREA
NAMED_SEA_CASPIAN_SEA,CIVILIZATION_MONGOLIA
NAMED_SEA_CAULIN_BAY,CIVILIZATION_MAPUCHE
NAMED_SEA_DOLLART,CIVILIZATION_NETHERLANDS
NAMED_SEA_EAST_CHINA_SEA,CIVILIZATION_MONGOLIA
NAMED_SEA_FIRTH_OF_CLYDE,CIVILIZATION_SCOTLAND
NAMED_SEA_FIRTH_OF_FORTH,CIVILIZATION_SCOTLAND
NAMED_SEA_GERMAN_BIGHT,CIVILIZATION_NETHERLANDS
NAMED_SEA_GWANGPO_BAY,CIVILIZATION_KOREA
NAMED_SEA_HUDSON_BAY,CIVILIZATION_CREE
NAMED_SEA_IRISH_SEA,CIVILIZATION_SCOTLAND
NAMED_SEA_KOREA_BAY,CIVILIZATION_KOREA
NAMED_SEA_KOSI_BAY,CIVILIZATION_ZULU
NAMED_SEA_MORAY_FIRTH,CIVILIZATION_SCOTLAND
NAMED_SEA_NORTH_SEA,CIVILIZATION_SCOTLAND
NAMED_SEA_NORTH_SEA,CIVILIZATION_NETHERLANDS
NAMED_SEA_PITSUNDA_BAY,CIVILIZATION_GEORGIA
NAMED_SEA_PUNIHUIL,CIVILIZATION_MAPUCHE
NAMED_SEA_SEA_OF_JAPAN,CIVILIZATION_KOREA
NAMED_SEA_SEA_OF_THE_HEBRIDES,CIVILIZATION_SCOTLAND
NAMED_SEA_SODWANA_BAY,CIVILIZATION_ZULU
NAMED_SEA_SOLWAY_FIRTH,CIVILIZATION_SCOTLAND
NAMED_SEA_SUKHUMI_BAY,CIVILIZATION_GEORGIA
NAMED_SEA_THE_MINCH,CIVILIZATION_SCOTLAND
NAMED_SEA_UMZINTO_BAY,CIVILIZATION_ZULU
NAMED_SEA_WADDEN_SEA,CIVILIZATION_NETHERLANDS
NAMED_SEA_WINIPEKW,CIVILIZATION_CREE
NAMED_SEA_YELLOW_SEA,CIVILIZATION_MONGOLIA
NAMED_SEA_YELLOW_SEA,CIVILIZATION_KOREA
NAMED_SEA_ZUIDERZEE,CIVILIZATION_NETHERLANDS
NAMED_SEA_ABU_QIR_BAY,CIVILIZATION_EGYPT
NAMED_SEA_ADRIATIC_SEA,CIVILIZATION_ROME
NAMED_SEA_AEGEAN_SEA,CIVILIZATION_GREECE
NAMED_SEA_AGO_BAY,CIVILIZATION_JAPAN
NAMED_SEA_ALBORAN_SEA,CIVILIZATION_SPAIN
NAMED_SEA_ALL_SAINTS_BAY,CIVILIZATION_BRAZIL
NAMED_SEA_ANDAMAN_SEA,CIVILIZATION_INDIA
NAMED_SEA_ARABIAN_SEA,CIVILIZATION_INDIA
NAMED_SEA_ARABIAN_SEA,CIVILIZATION_ARABIA
NAMED_SEA_BAIA_DE_SAO_JOSE,CIVILIZATION_BRAZIL
NAMED_SEA_BAIA_DE_SAO_MARCOS,CIVILIZATION_BRAZIL
NAMED_SEA_BAIE_DE_LA_SEINE,CIVILIZATION_FRANCE
NAMED_SEA_BAIE_DE_SOMME,CIVILIZATION_FRANCE
NAMED_SEA_BALTIC_SEA,CIVILIZATION_NORWAY
