NamedSeaType,Name
NAMED_SEA_ABU_QIR_BAY,LOC_NAMED_SEA_ABU_QIR_BAY_NAME
NAMED_SEA_ADRIATIC_SEA,LOC_NAMED_SEA_ADRIATIC_SEA_NAME
NAMED_SEA_AEGEAN_SEA,LOC_NAMED_SEA_AEGEAN_SEA_NAME
NAMED_SEA_AGO_BAY,LOC_NAMED_SEA_AGO_BAY_NAME
NAMED_SEA_ALAUQUEN,LOC_NAMED_SEA_ALAUQUEN_NAME
NAMED_SEA_ALBORAN_SEA,LOC_NAMED_SEA_ALBORAN_SEA_NAME
NAMED_SEA_ALL_SAINTS_BAY,LOC_NAMED_SEA_ALL_SAINTS_BAY_NAME
NAMED_SEA_ANDAMAN_SEA,LOC_NAMED_SEA_ANDAMAN_SEA_NAME
NAMED_SEA_ARABIAN_SEA,LOC_NAMED_SEA_ARABIAN_SEA_NAME
NAMED_SEA_ARAFURA_SEA,LOC_NAMED_SEA_ARAFURA_SEA_NAME
NAMED_SEA_BAFFIN_BAY,LOC_NAMED_SEA_BAFFIN_BAY_NAME
NAMED_SEA_BAIA_DE_SAO_JOSE,LOC_NAMED_SEA_BAIA_DE_SAO_JOSE_NAME
NAMED_SEA_BAIA_DE_SAO_MARCOS,LOC_NAMED_SEA_BAIA_DE_SAO_MARCOS_NAME
NAMED_SEA_BAIE_DE_LA_SEINE,LOC_NAMED_SEA_BAIE_DE_LA_SEINE_NAME
NAMED_SEA_BAIE_DE_SOMME,LOC_NAMED_SEA_BAIE_DE_SOMME_NAME
NAMED_SEA_BALTIC_SEA,LOC_NAMED_SEA_BALTIC_SEA_NAME
NAMED_SEA_BANDA_SEA,LOC_NAMED_SEA_BANDA_SEA_NAME
NAMED_SEA_BAY_OF_ARAUCO,LOC_NAMED_SEA_BAY_OF_ARAUCO_NAME
NAMED_SEA_BAY_OF_ARGUIN,LOC_NAMED_SEA_BAY_OF_ARGUIN_NAME
NAMED_SEA_BAY_OF_BEIRUT,LOC_NAMED_SEA_BAY_OF_BEIRUT_NAME
NAMED_SEA_BAY_OF_BENGAL,LOC_NAMED_SEA_BAY_OF_BENGAL_NAME
NAMED_SEA_BAY_OF_BISCAY,LOC_NAMED_SEA_BAY_OF_BISCAY_NAME
NAMED_SEA_BAY_OF_CAMPECHE,LOC_NAMED_SEA_BAY_OF_CAMPECHE_NAME
NAMED_SEA_BAY_OF_CONCEPCION,LOC_NAMED_SEA_BAY_OF_CONCEPCION_NAME
NAMED_SEA_BAY_OF_FUNDY,LOC_NAMED_SEA_BAY_OF_FUNDY_NAME
