NamedVolcanoType,CivilizationType
NAMED_VOLCANO_CITLALTEPETL,CIVILIZATION_AZTEC
NAMED_VOLCANO_COLIMA,CIVILIZATION_AZTEC
NAMED_VOLCANO_POPOCATEPETL,CIVILIZATION_AZTEC
NAMED_VOLCANO_AGUNG,CIVILIZATION_INDONESIA
NAMED_VOLCANO_GALUNGGUNG,CIVILIZATION_INDONESIA
NAMED_VOLCANO_KELUD,CIVILIZATION_INDONESIA
NAMED_VOLCANO_KRAKATOA,CIVILIZATION_INDONESIA
NAMED_VOLCANO_MERAPI,CIVILIZATION_INDONESIA
NAMED_VOLCANO_TAMBORA,CIVILIZATION_INDONESIA
NAMED_VOLCANO_YAK_LOUM,CIVILIZATION_KHMER
NAMED_VOLCANO_SEMERU,CIVILIZATION_INDONESIA
NAMED_VOLCANO_PHANOM_RUNG_VOLCANO,CIVILIZATION_KHMER
NAMED_VOLCANO_OSTRZYCA,CIVILIZATION_POLAND
NAMED_VOLCANO_BAYUDA,CIVILIZATION_NUBIA
NAMED_VOLCANO_DAMAVAND,CIVILIZATION_PERSIA
NAMED_VOLCANO_MOUNT_SABALAN,CIVILIZATION_PERSIA
NAMED_VOLCANO_SAHAND,CIVILIZATION_PERSIA
NAMED_VOLCANO_MAWSON_PEAK,CIVILIZATION_AUSTRALIA
NAMED_VOLCANO_MOUNT_TIBROGARGAN,CIVILIZATION_AUSTRALIA
NAMED_VOLCANO_MOUNT_HYPIPAMEE,CIVILIZATION_AUSTRALIA
NAMED_VOLCANO_UNDARA_VOLCANO,CIVILIZATION_AUSTRALIA
NAMED_VOLCANO_BALLS_PYRAMID,CIVILIZATION_AUSTRALIA
NAMED_VOLCANO_BUDJ_BIM,CIVILIZATION_AUSTRALIA
NAMED_VOLCANO_MOUNT_NAPIER,CIVILIZATION_AUSTRALIA
NAMED_VOLCANO_ARTHURS_SEAT,CIVILIZATION_SCOTLAND
NAMED_VOLCANO_HALLASAN,CIVILIZATION_KOREA
NAMED_VOLCANO_KAZBEK,CIVILIZATION_GEORGIA
NAMED_VOLCANO_KHORGO,CIVILIZATION_MONGOLIA
NAMED_VOLCANO_LAUTARO_VOLCANO,CIVILIZATION_MAPUCHE
NAMED_VOLCANO_LLAIMA_VOLCANO,CIVILIZATION_MAPUCHE
NAMED_VOLCANO_LONQUIMAY_VOLCANO,CIVILIZATION_MAPUCHE
NAMED_VOLCANO_OJOS_DEL_SALADO,CIVILIZATION_MAPUCHE
NAMED_VOLCANO_PAEKTU,CIVILIZATION_KOREA
NAMED_VOLCANO_PILLANZEGUN,CIVILIZATION_MAPUCHE
NAMED_VOLCANO_RUCAPILLAN,CIVILIZATION_MAPUCHE
NAMED_VOLCANO_SCENERY,CIVILIZATION_NETHERLANDS
NAMED_VOLCANO_SOLLIPULLI,CIVILIZATION_MAPUCHE
NAMED_VOLCANO_ZUIDWAL_VOLCANO,CIVILIZATION_NETHERLANDS
NAMED_VOLCANO_ASAMA,CIVILIZATION_JAPAN
NAMED_VOLCANO_AVACHINSKY,CIVILIZATION_RUSSIA
NAMED_VOLCANO_BARREN,CIVILIZATION_INDIA
NAMED_VOLCANO_BEERENBERG,CIVILIZATION_NORWAY
NAMED_VOLCANO_BEZYMIANNY,CIVILIZATION_RUSSIA
NAMED_VOLCANO_CATOCA_VOLCANO,CIVILIZATION_KONGO
NAMED_VOLCANO_ELBRUS,CIVILIZATION_RUSSIA
NAMED_VOLCANO_ETNA,CIVILIZATION_ROME
NAMED_VOLCANO_FUJI,CIVILIZATION_JAPAN
NAMED_VOLCANO_HAKON_MOSBY_VOLCANO,CIVILIZATION_NORWAY
NAMED_VOLCANO_HALEAKALA,CIVILIZATION_AMERICA
NAMED_VOLCANO_HARRAT_KHAYBAR,CIVILIZATION_ARABIA
NAMED_VOLCANO_KILAUEA,CIVILIZATION_AMERICA
NAMED_VOLCANO_KORYAKSKY,CIVILIZATION_RUSSIA
NAMED_VOLCANO_LAACHER_SEE,CIVILIZATION_GERMANY
NAMED_VOLCANO_LARDERELLO_VOLCANO,CIVILIZATION_ROME
NAMED_VOLCANO_MAUNA_LOA,CIVILIZATION_AMERICA
NAMED_VOLCANO_METHANA_VOLCANO,CIVILIZATION_GREECE
NAMED_VOLCANO_NISYROS,CIVILIZATION_GREECE
NAMED_VOLCANO_NOVARUPTA,CIVILIZATION_AMERICA
NAMED_VOLCANO_PAEKTU,CIVILIZATION_CHINA
NAMED_VOLCANO_PELEE,CIVILIZATION_FRANCE
NAMED_VOLCANO_PHLEGRAEAN_FIELDS,CIVILIZATION_ROME
NAMED_VOLCANO_PICO_DO_CABUGI,CIVILIZATION_BRAZIL
NAMED_VOLCANO_PUY_DE_DOME,CIVILIZATION_FRANCE
NAMED_VOLCANO_RAINIER,CIVILIZATION_AMERICA
NAMED_VOLCANO_SAINT_HELENS,CIVILIZATION_AMERICA
NAMED_VOLCANO_SAKURAJIMA,CIVILIZATION_JAPAN
NAMED_VOLCANO_SHIVELUCH,CIVILIZATION_RUSSIA
NAMED_VOLCANO_SOUFRIERE,CIVILIZATION_ENGLAND
NAMED_VOLCANO_STROMBOLI,CIVILIZATION_ROME
NAMED_VOLCANO_TEIDE,CIVILIZATION_SPAIN
NAMED_VOLCANO_THERA,CIVILIZATION_GREECE
NAMED_VOLCANO_UNZEN,CIVILIZATION_JAPAN
NAMED_VOLCANO_VULSINI,CIVILIZATION_ROME
NAMED_VOLCANO_YELLOWSTONE,CIVILIZATION_AMERICA
NAMED_VOLCANO_AGRI_DAGI,CIVILIZATION_OTTOMAN
NAMED_VOLCANO_ALLARPS_BJAR_VOLCANO,CIVILIZATION_SWEDEN
NAMED_VOLCANO_CHHACHANI,CIVILIZATION_INCA
NAMED_VOLCANO_FRUALID_VOLCANO,CIVILIZATION_SWEDEN
NAMED_VOLCANO_GALLABJER_VOLCANO,CIVILIZATION_SWEDEN
NAMED_VOLCANO_HAMPATU,CIVILIZATION_INCA
NAMED_VOLCANO_HUAYNAPUTINA,CIVILIZATION_INCA
NAMED_VOLCANO_LILLO_VOLCANO,CIVILIZATION_SWEDEN
NAMED_VOLCANO_MOUNT_ERCIYES,CIVILIZATION_OTTOMAN
NAMED_VOLCANO_MOUNT_HASAN,CIVILIZATION_OTTOMAN
NAMED_VOLCANO_MOUNT_TARANAKI,CIVILIZATION_MAORI
NAMED_VOLCANO_MOUNT_TONGARIRO,CIVILIZATION_MAORI
NAMED_VOLCANO_NEMRUT,CIVILIZATION_OTTOMAN
NAMED_VOLCANO_NGAURUHOE,CIVILIZATION_MAORI
NAMED_VOLCANO_PIHANGA,CIVILIZATION_MAORI
NAMED_VOLCANO_QURUPUNA,CIVILIZATION_INCA
NAMED_VOLCANO_RALLATE_VOLCANO,CIVILIZATION_SWEDEN
NAMED_VOLCANO_RANGITOTO,CIVILIZATION_MAORI
NAMED_VOLCANO_RUAPEHU,CIVILIZATION_MAORI
NAMED_VOLCANO_SAWANQAYA,CIVILIZATION_INCA
NAMED_VOLCANO_TARAWERA,CIVILIZATION_MAORI
NAMED_VOLCANO_TAUPO,CIVILIZATION_MAORI
NAMED_VOLCANO_TSEAX_CONE,CIVILIZATION_CANADA
NAMED_VOLCANO_UWINAS,CIVILIZATION_INCA
NAMED_VOLCANO_WHAKAARI,CIVILIZATION_MAORI
NAMED_VOLCANO_CHIMBORAZO,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_VOLCAN_PURACE,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_NEVADO_DEL_TOLIMA,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_VOLCAN_COTOPAXI,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_GUAGUA_PICHINCHA,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_NEVADO_DEL_RUIZ,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_GALERAS,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_TUNGURAHUA,CIVILIZATION_GRAN_COLOMBIA
NAMED_VOLCANO_HUNAHPU,CIVILIZATION_MAYA
NAMED_VOLCANO_VOLCAN_ATITLAN,CIVILIZATION_MAYA
NAMED_VOLCANO_VOLCAN_TOLIMAN,CIVILIZATION_MAYA
NAMED_VOLCANO_PACAYA,CIVILIZATION_MAYA
NAMED_VOLCANO_CHI_GAG,CIVILIZATION_MAYA
NAMED_VOLCANO_SANTA_MARIA,CIVILIZATION_MAYA
NAMED_VOLCANO_AGRI_DAGI,CIVILIZATION_BYZANTIUM
NAMED_VOLCANO_MOUNT_ERCIYES,CIVILIZATION_BYZANTIUM
NAMED_VOLCANO_MOUNT_HASAN,CIVILIZATION_BYZANTIUM
NAMED_VOLCANO_NEMRUT,CIVILIZATION_BYZANTIUM
NAMED_VOLCANO_TOROENG_PRONG,CIVILIZATION_VIETNAM
