NamedVolcanoType,Name
NAMED_VOLCANO_AGRI_DAGI,LOC_NAMED_VOLCANO_AGRI_DAGI_NAME
NAMED_VOLCANO_AGUNG,LOC_NAMED_VOLCANO_AGUNG_NAME
NAMED_VOLCANO_ALLARPS_BJAR_VOLCANO,LOC_NAMED_VOLCANO_ALLARPS_BJAR_VOLCANO_NAME
NAMED_VOLCANO_AMBRYM,LOC_NAMED_VOLCANO_AMBRYM_NAME
NAMED_VOLCANO_ARARAT,LOC_NAMED_VOLCANO_ARARAT_NAME
NAMED_VOLCANO_ARTHURS_SEAT,LOC_NAMED_VOLCANO_ARTHURS_SEAT_NAME
NAMED_VOLCANO_ASAMA,LOC_NAMED_VOLCANO_ASAMA_NAME
NAMED_VOLCANO_ASKJA,LOC_NAMED_VOLCANO_ASKJA_NAME
NAMED_VOLCANO_AVACHINSKY,LOC_NAMED_VOLCANO_AVACHINSKY_NAME
NAMED_VOLCANO_BALLS_PYRAMID,LOC_NAMED_VOLCANO_BALLS_PYRAMID_NAME
NAMED_VOLCANO_BARREN,LOC_NAMED_VOLCANO_BARREN_NAME
NAMED_VOLCANO_BAYUDA,LOC_NAMED_VOLCANO_BAYUDA_NAME
NAMED_VOLCANO_BEERENBERG,LOC_NAMED_VOLCANO_BEERENBERG_NAME
NAMED_VOLCANO_BEZYMIANNY,LOC_NAMED_VOLCANO_BEZYMIANNY_NAME
NAMED_VOLCANO_BUDJ_BIM,LOC_NAMED_VOLCANO_BUDJ_BIM_NAME
NAMED_VOLCANO_CATOCA_VOLCANO,LOC_NAMED_VOLCANO_CATOCA_VOLCANO_NAME
NAMED_VOLCANO_CHHACHANI,LOC_NAMED_VOLCANO_CHHACHANI_NAME
NAMED_VOLCANO_CITLALTEPETL,LOC_NAMED_VOLCANO_CITLALTEPETL_NAME
NAMED_VOLCANO_CHI_GAG,LOC_NAMED_VOLCANO_CHI_GAG_NAME
NAMED_VOLCANO_COLIMA,LOC_NAMED_VOLCANO_COLIMA_NAME
NAMED_VOLCANO_COSIGUINA,LOC_NAMED_VOLCANO_COSIGUINA_NAME
NAMED_VOLCANO_DAMAVAND,LOC_NAMED_VOLCANO_DAMAVAND_NAME
NAMED_VOLCANO_ELBRUS,LOC_NAMED_VOLCANO_ELBRUS_NAME
NAMED_VOLCANO_EREBUS,LOC_NAMED_VOLCANO_EREBUS_NAME
NAMED_VOLCANO_ERTA_ALE,LOC_NAMED_VOLCANO_ERTA_ALE_NAME
NAMED_VOLCANO_ETNA,LOC_NAMED_VOLCANO_ETNA_NAME
NAMED_VOLCANO_FRUALID_VOLCANO,LOC_NAMED_VOLCANO_FRUALID_VOLCANO_NAME
NAMED_VOLCANO_FUJI,LOC_NAMED_VOLCANO_FUJI_NAME
NAMED_VOLCANO_GALERAS,LOC_NAMED_VOLCANO_GALERAS_NAME
NAMED_VOLCANO_GALLABJER_VOLCANO,LOC_NAMED_VOLCANO_GALLABJER_VOLCANO_NAME
NAMED_VOLCANO_GALUNGGUNG,LOC_NAMED_VOLCANO_GALUNGGUNG_NAME
NAMED_VOLCANO_GRIMSVOTN,LOC_NAMED_VOLCANO_GRIMSVOTN_NAME
NAMED_VOLCANO_HAKON_MOSBY_VOLCANO,LOC_NAMED_VOLCANO_HAKON_MOSBY_VOLCANO_NAME
NAMED_VOLCANO_HALEAKALA,LOC_NAMED_VOLCANO_HALEAKALA_NAME
NAMED_VOLCANO_HALLASAN,LOC_NAMED_VOLCANO_HALLASAN_NAME
NAMED_VOLCANO_HAMPATU,LOC_NAMED_VOLCANO_HAMPATU_NAME
NAMED_VOLCANO_HARRAT_KHAYBAR,LOC_NAMED_VOLCANO_HARRAT_KHAYBAR_NAME
NAMED_VOLCANO_HUAYNAPUTINA,LOC_NAMED_VOLCANO_HUAYNAPUTINA_NAME
NAMED_VOLCANO_HUDSON,LOC_NAMED_VOLCANO_HUDSON_NAME
NAMED_VOLCANO_ILOPANGO,LOC_NAMED_VOLCANO_ILOPANGO_NAME
NAMED_VOLCANO_KAZBEK,LOC_NAMED_VOLCANO_KAZBEK_NAME
NAMED_VOLCANO_KELUD,LOC_NAMED_VOLCANO_KELUD_NAME
NAMED_VOLCANO_KHORGO,LOC_NAMED_VOLCANO_KHORGO_NAME
NAMED_VOLCANO_KILAUEA,LOC_NAMED_VOLCANO_KILAUEA_NAME
NAMED_VOLCANO_KORYAKSKY,LOC_NAMED_VOLCANO_KORYAKSKY_NAME
NAMED_VOLCANO_KRAKATOA,LOC_NAMED_VOLCANO_KRAKATOA_NAME
NAMED_VOLCANO_LAACHER_SEE,LOC_NAMED_VOLCANO_LAACHER_SEE_NAME
NAMED_VOLCANO_LARDERELLO_VOLCANO,LOC_NAMED_VOLCANO_LARDERELLO_VOLCANO_NAME
NAMED_VOLCANO_LAUTARO_VOLCANO,LOC_NAMED_VOLCANO_LAUTARO_VOLCANO_NAME
NAMED_VOLCANO_LILLO_VOLCANO,LOC_NAMED_VOLCANO_LILLO_VOLCANO_NAME
NAMED_VOLCANO_LLAIMA_VOLCANO,LOC_NAMED_VOLCANO_LLAIMA_VOLCANO_NAME
NAMED_VOLCANO_LONQUIMAY_VOLCANO,LOC_NAMED_VOLCANO_LONQUIMAY_VOLCANO_NAME
NAMED_VOLCANO_MAUNA_LOA,LOC_NAMED_VOLCANO_MAUNA_LOA_NAME
NAMED_VOLCANO_MAWSON_PEAK,LOC_NAMED_VOLCANO_MAWSON_PEAK_NAME
NAMED_VOLCANO_MAYON,LOC_NAMED_VOLCANO_MAYON_NAME
NAMED_VOLCANO_MERAPI,LOC_NAMED_VOLCANO_MERAPI_NAME
NAMED_VOLCANO_METHANA_VOLCANO,LOC_NAMED_VOLCANO_METHANA_VOLCANO_NAME
NAMED_VOLCANO_MOUNT_ERCIYES,LOC_NAMED_VOLCANO_MOUNT_ERCIYES_NAME
NAMED_VOLCANO_MOUNT_HASAN,LOC_NAMED_VOLCANO_MOUNT_HASAN_NAME
NAMED_VOLCANO_MOUNT_HYPIPAMEE,LOC_NAMED_VOLCANO_MOUNT_HYPIPAMEE_NAME
NAMED_VOLCANO_MOUNT_NAPIER,LOC_NAMED_VOLCANO_MOUNT_NAPIER_NAME
NAMED_VOLCANO_MOUNT_SABALAN,LOC_NAMED_VOLCANO_MOUNT_SABALAN_NAME
NAMED_VOLCANO_MOUNT_TARANAKI,LOC_NAMED_VOLCANO_MOUNT_TARANAKI_NAME
NAMED_VOLCANO_MOUNT_TIBROGARGAN,LOC_NAMED_VOLCANO_MOUNT_TIBROGARGAN_NAME
NAMED_VOLCANO_MOUNT_TONGARIRO,LOC_NAMED_VOLCANO_MOUNT_TONGARIRO_NAME
NAMED_VOLCANO_NABRO,LOC_NAMED_VOLCANO_NABRO_NAME
NAMED_VOLCANO_NEMRUT,LOC_NAMED_VOLCANO_NEMRUT_NAME
NAMED_VOLCANO_NEVADO_DEL_RUIZ,LOC_NAMED_VOLCANO_NEVADO_DEL_RUIZ_NAME
NAMED_VOLCANO_NGAURUHOE,LOC_NAMED_VOLCANO_NGAURUHOE_NAME
NAMED_VOLCANO_NISYROS,LOC_NAMED_VOLCANO_NISYROS_NAME
NAMED_VOLCANO_NOVARUPTA,LOC_NAMED_VOLCANO_NOVARUPTA_NAME
NAMED_VOLCANO_NYIRAGONGO,LOC_NAMED_VOLCANO_NYIRAGONGO_NAME
