DataName,DefnId,DataType,NodeType,Required,RequiredGroup,Output,Modified,UserData,Automatic,Tagged,EnumList,UniqueId
Max Failures,0,int,Concurrent,0,0,0,0,1,0,0,,1
Exit on Success,1,bool,Concurrent,0,0,0,0,1,0,0,,2
Looping,0,bool,Sequence,0,0,0,0,1,0,0,,3
Desired Units,0,UnitTypesList,Add Goal Tech,0,1,0,0,0,0,0,,4
Desired Buildings,1,BuildingTypesList,Add Goal Tech,0,1,0,0,0,0,0,,5
Desired Improvements,2,ImprovementList,Add Goal Tech,0,1,0,0,0,0,0,,6
Goal Plot to work,3,Map Point,Add Goal Tech,0,1,0,0,0,0,0,,7
Desired Techs,4,TechTypeList,Add Goal Tech,0,1,0,0,0,0,0,,8
Add Techs For All,5,bool,Add Goal Tech,0,0,0,0,1,0,0,,9
Desired Civics,6,CivicsList,Add Goal Tech,0,1,0,0,0,0,0,,10
Contract ID,7,ID List,Add Goal Tech,0,0,1,0,0,0,0,,11
Tech Value,8,int,Add Goal Tech,0,0,0,0,0,0,0,,12
Desired Units,0,UnitTypesList,Build Unit,0,1,0,0,0,0,0,,13
Desired Buildings,1,BuildingTypesList,Build Unit,0,1,0,0,0,0,0,,14
Required City(-1 for any city),2,int,Build Unit,0,0,0,0,1,0,1,,15
Release Unit When Built,3,bool,Build Unit,0,0,0,0,1,0,0,,16
Contract ID,4,int,Build Unit,0,0,1,0,0,0,0,,17
Build Priority,5,int,Build Unit,0,0,0,0,1,0,0,,18
Desired Districts,6,DistrictList,Build Unit,0,1,0,0,0,0,0,,19
Desired Location,7,Map Point,Build Unit,0,0,0,0,0,0,0,,20
Unit Value,8,int,Build Unit,0,0,0,0,0,0,0,,21
Desired Units,0,UnitTypesList,Find Available Unit,0,1,0,0,0,0,0,,22
Desired Location,1,Map Point,Find Available Unit,0,0,0,0,0,0,0,,23
Found Unit,2,ID List,Find Available Unit,0,0,1,0,0,0,0,,24
Upgradeable Units,3,bool,Find Available Unit,0,1,0,0,1,0,0,,25
Unit Type,4,string,Find Available Unit,0,1,0,0,1,0,0,,26
Data Payload,0,int,Notify Owner,0,0,0,0,0,0,0,,27
Tribe,0,int,Barbarian Spawn Change,0,0,0,0,0,0,0,,28
Spawn Rate,1,int,Barbarian Spawn Change,0,0,0,0,1,0,0,,29
Raiding Party,2,bool,Barbarian Spawn Change,0,0,0,0,1,0,0,,30
Behavior Tree,0,string,Run Behavior Tree,0,0,0,0,1,0,0,,31
Behavior Tree Parent Tag,1,string,Run Behavior Tree,0,0,0,0,0,1,0,,32
Move To (enum),0,int,Operation Move,0,0,0,0,1,0,0,,33
Range to goal,1,int,Operation Move,0,0,0,0,1,0,0,,34
Validate new units,2,bool,Operation Move,0,0,0,0,1,0,0,,35
Unit distance,3,int,Operation Move,0,0,0,0,1,0,0,,36
Leader Tag,4,string,Operation Move,0,0,0,0,1,0,0,,37
AlwaysRunning,5,bool,Operation Move,0,0,0,0,1,0,0,,38
Can Explore,6,bool,Operation Move,0,0,0,0,1,0,0,,39
Trigger Units,0,UnitTypesList,Decode Trigger,0,1,1,0,0,0,0,,40
Trigger Buildings,1,BuildingTypesList,Decode Trigger,0,1,1,0,0,0,0,,41
Trigger Improvements,2,ImprovementList,Decode Trigger,0,1,1,0,0,0,0,,42
Trigger District,3,DistrictList,Decode Trigger,0,1,1,0,0,0,0,,43
Trigger City,4,int,Decode Trigger,0,1,1,0,0,0,0,,44
Trigger Location,5,Map Point,Decode Trigger,0,1,1,0,0,0,0,,45
Trigger Tech,6,TechTypeList,Decode Trigger,0,1,1,0,0,0,0,,46
Trigger Civic,7,CivicsList,Decode Trigger,0,1,1,0,0,0,0,,47
Trigger Value,8,int,Decode Trigger,0,0,1,0,0,0,0,,48
Building List,0,BuildingTypesList,Choose City,0,0,0,0,0,0,0,,49
City ID,1,int,Choose City,0,0,1,0,0,0,0,,50
Needed District,2,DistrictList,Choose City,0,0,1,0,0,0,0,,51
District Location,3,Map Point,Choose City,0,0,1,0,0,0,0,,52
Building Location,4,Map Point,Choose City,0,0,1,0,0,0,0,,53
Worker List,0,ID List,Build Improvement,0,0,0,0,0,0,0,,54
Goal Plot,1,Map Point,Build Improvement,0,0,0,0,0,0,0,,55
Improvements,2,ImprovementList,Build Improvement,0,0,0,0,0,0,0,,56
Release when done,3,bool,Build Improvement,0,0,0,0,1,0,0,,57
Builder Plot,4,Map Point,Build Improvement,0,0,0,0,0,0,0,,58
Unit ID List,0,ID List,Move Unit,0,0,0,0,0,0,0,,59
Location,1,Map Point,Move Unit,0,0,0,0,0,0,0,,60
Release when done,2,bool,Move Unit,0,0,0,0,1,0,0,,61
Allow Danger,3,bool,Move Unit,0,0,0,0,1,0,0,,62
To Range,4,int,Move Unit,0,0,0,0,1,0,0,,63
Required City,0,int,Purchase Plot,0,0,0,0,0,0,0,,64
Plot,1,Map Point,Purchase Plot,0,0,0,0,0,0,0,,65
Contract,2,int,Purchase Plot,0,0,1,0,0,0,0,,66
Already in progress,0,bool,Recruit Units,0,0,0,0,1,0,0,,67
Contract ID,1,int,Recruit Units,0,0,0,0,0,0,0,,68
Recruit Range,2,int,Recruit Units,0,0,0,0,1,0,0,,69
Allow creation,3,bool,Recruit Units,0,0,0,0,1,0,0,,70
Recruit Value,4,int,Recruit Units,0,0,0,0,0,0,0,,71
Time Limit,5,int,Recruit Units,0,0,0,0,1,0,0,,72
Allow Stealing,6,bool,Recruit Units,0,0,0,0,1,0,0,,73
Allow Levying,7,bool,Recruit Units,0,0,0,0,1,0,0,,74
Attack Nearby Units,0,bool,Operation Attack Units,0,0,0,0,1,0,0,,75
Attack Along March,1,bool,Operation Attack Units,0,0,0,0,1,0,0,,76
Allow Unequal Attacks,2,bool,Operation Attack Units,0,0,0,0,1,0,0,,77
Always Running,3,bool,Operation Attack Units,0,0,0,0,1,0,0,,78
Attack Near Target,4,bool,Operation Attack Units,0,0,0,0,1,0,0,,79
Input Improvements,0,ImprovementList,Choose Improvement,0,0,0,0,0,0,0,,80
Builder List,1,UnitTypesList,Choose Improvement,0,0,1,0,0,0,0,,81
Location,2,Map Point,Choose Improvement,0,0,1,0,0,0,0,,82
Output Improvement,3,ImprovementList,Choose Improvement,0,0,1,0,0,0,0,,83
Tribe Number,0,int,Barbarian Raid Check,0,0,0,0,0,0,0,,84
Score,1,int,Barbarian Raid Check,0,0,0,0,1,0,0,,85
Signal At Start,2,bool,Barbarian Raid Check,0,0,0,0,1,0,0,,86
Low Difficulty,0,string,In Difficulty Range,0,1,0,0,1,0,0,,87
High Difficulty,1,string,In Difficulty Range,0,1,0,0,1,0,0,,88
Apply to opponent,2,bool,In Difficulty Range,0,0,0,0,1,0,0,,89
Fail if Outside,3,bool,In Difficulty Range,0,0,0,0,1,0,0,,90
Settler Unit,0,ID List,Settle,0,0,0,0,0,0,0,,91
Plot To Check,0,Map Point,Check Plot,0,0,0,0,0,0,0,,92
Building Districts,1,DistrictList,Check Plot,0,1,0,0,0,0,0,,93
Building Wonders,2,BuildingTypesList,Check Plot,0,1,0,0,0,0,0,,94
Building Improvements,3,ImprovementList,Check Plot,0,1,0,0,0,0,0,,95
Resource Harvesting,4,bool,Check Plot,0,0,1,0,0,0,0,,96
Builder List,5,UnitTypesList,Check Plot,0,0,1,0,0,0,0,,97
Plot To Move,6,Map Point,Check Plot,0,0,1,0,0,0,0,,98
Builder List,0,ID List,Clear Plot,0,0,0,0,0,0,0,,99
