NotificationType,Message,Summary,SeverityType,ExpiresEndOfTurn,ExpiresEndOfNextTurn,SubType,AutoNotify,GroupType,Icon,AutoActivate,VisibleInUI,ShowIconSinglePlayer
NOTIFICATION_CHOOSE_ARTIFACT_PLAYER,LOC_NOTIFICATION_CHOOSE_ARTIFACT_PLAYER_MESSAGE,LOC_NOTIFICATION_CHOOSE_ARTIFACT_PLAYER_SUMMARY,HIGH,0,0,,0,,,0,1,1
NOTIFICATION_CHOOSE_BELIEF,LOC_NOTIFICATION_CHOOSE_BELIEF_MESSAGE,LOC_NOTIFICATION_CHOOSE_BELIEF_SUMMARY,HIGH,0,0,,0,,,0,1,1
NOTIFICATION_CHOOSE_CITY_PRODUCTION,LOC_NOTIFICATION_CHOOSE_CITY_PRODUCTION_MESSAGE,LOC_NOTIFICATION_CHOOSE_CITY_PRODUCTION_SUMMARY,HIGH,0,0,,0,,,0,1,1
NOTIFICATION_CHOOSE_PANTHEON,LOC_NOTIFICATION_CHOOSE_PANTHEON_MESSAGE,LOC_NOTIFICATION_CHOOSE_PANTHEON_SUMMARY,HIGH,0,0,,0,,,0,1,1
NOTIFICATION_CHOOSE_RELIGION,LOC_NOTIFICATION_CHOOSE_RELIGION_MESSAGE,LOC_NOTIFICATION_CHOOSE_RELIGION_SUMMARY,HIGH,0,0,,0,,,0,1,1
NOTIFICATION_CHOOSE_TECH,LOC_NOTIFICATION_CHOOSE_TECH_MESSAGE,LOC_NOTIFICATION_CHOOSE_TECH_SUMMARY,HIGH,0,0,,1,,,0,1,1
NOTIFICATION_CLAIM_GREAT_PERSON,LOC_NOTIFICATION_CLAIM_GREAT_PERSON_MESSAGE,LOC_NOTIFICATION_CLAIM_GREAT_PERSON_SUMMARY,HIGH,0,0,,0,,,0,1,1
NOTIFICATION_COMMAND_UNITS,LOC_NOTIFICATION_COMMAND_UNITS_MESSAGE,LOC_NOTIFICATION_COMMAND_UNITS_SUMMARY,LOW,0,0,,1,,,0,1,1
NOTIFICATION_CITY_RANGE_ATTACK,LOC_NOTIFICATION_CITY_RANGE_ATTACK_MESSAGE,LOC_NOTIFICATION_CITY_RANGE_ATTACK_SUMMARY,LOW,0,0,,1,,,0,1,1
NOTIFICATION_CONSIDER_GOVERNMENT_CHANGE,LOC_NOTIFICATION_CONSIDER_GOVERNMENT_CHANGE_MESSAGE,LOC_NOTIFICATION_CONSIDER_GOVERNMENT_CHANGE_SUMMARY,MID,0,0,,1,,,0,1,1
NOTIFICATION_CONSIDER_RAZE_CITY,LOC_NOTIFICATION_CONSIDER_RAZE_CITY_MESSAGE,LOC_NOTIFICATION_CONSIDER_RAZE_CITY_SUMMARY,VERY_HIGH,0,0,,0,,,0,1,1
NOTIFICATION_DECLARE_WAR,,,HIGH,1,0,,0,,,0,1,1
NOTIFICATION_FILL_CIVIC_SLOT,LOC_NOTIFICATION_FILL_CIVIC_SLOT_MESSAGE,LOC_NOTIFICATION_FILL_CIVIC_SLOT_SUMMARY,MID,0,0,,1,,,0,1,1
NOTIFICATION_CHOOSE_CIVIC,LOC_NOTIFICATION_CHOOSE_CIVIC_MESSAGE,LOC_NOTIFICATION_CHOOSE_CIVIC_SUMMARY,HIGH,0,0,,1,,,0,1,1
NOTIFICATION_GIVE_INFLUENCE_TOKEN,LOC_NOTIFICATION_GIVE_INFLUENCE_TOKEN_MESSAGE,LOC_NOTIFICATION_GIVE_INFLUENCE_TOKEN_SUMMARY,MID,0,0,,0,,,0,1,1
NOTIFICATION_MAKE_PEACE,,,HIGH,1,0,,0,,,0,1,1
NOTIFICATION_PLAYER_CONNECTING,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYER_CONNECTED,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYER_DISCONNECT,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYER_DESYNCED,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYER_RESYNC_COMPLETE,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYER_MOD_STATUS,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_HOST_MIGRATION,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_HOST_CHANGED,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYBYCLOUD_YOURTURN,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYBYCLOUD_UNSEENCOMPLETE,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYER_KICKED,,,MID,0,1,,0,NETWORK,,0,1,1
NOTIFICATION_PLAYER_MET,,,MID,1,0,,0,,,0,1,1
