PolicyType,ObsoletePolicy,RequiresAvailableGreatPersonClass
POLICY_DISCIPLINE,POLICY_NATIVE_CONQUEST,
POLICY_SURVEY,POLICY_NATIVE_CONQUEST,
POLICY_GOD_KING,POLICY_SCRIPTURE,
POLICY_URBAN_PLANNING,POLICY_RATIONALISM,
POLICY_ILKUM,POLICY_SERFDOM,
POLICY_AGOGE,POLICY_FEUDAL_CONTRACT,
POLICY_CARAVANSARIES,POLICY_TRIANGULAR_TRADE,
POLICY_MARITIME_INDUSTRIES,POLICY_PRESS_GANGS,
POLICY_MARITIME_INDUSTRIES,POLICY_INTERNATIONAL_WATERS,
POLICY_MANEUVER,POLICY_CHIVALRY,
POLICY_MANEUVER,POLICY_LIGHTNING_WARFARE,
POLICY_STRATEGOS,POLICY_MILITARY_ORGANIZATION,GREAT_PERSON_CLASS_GENERAL
POLICY_CORVEE,POLICY_GOTHIC_ARCHITECTURE,
POLICY_CORVEE,POLICY_SKYSCRAPERS,
POLICY_CONSCRIPTION,POLICY_LEVEE_EN_MASSE,
POLICY_LAND_SURVEYORS,POLICY_EXPROPRIATION,
POLICY_COLONIZATION,POLICY_EXPROPRIATION,
POLICY_INSPIRATION,POLICY_NOBEL_PRIZE,GREAT_PERSON_CLASS_SCIENTIST
POLICY_REVELATION,POLICY_INVENTION,GREAT_PERSON_CLASS_PROPHET
POLICY_INSULAE,POLICY_MEDINA_QUARTER,
POLICY_LITERARY_TRADITION,,GREAT_PERSON_CLASS_WRITER
POLICY_CHARISMATIC_LEADER,POLICY_GUNBOAT_DIPLOMACY,
POLICY_RAID,POLICY_TOTAL_WAR,
POLICY_BASTIONS,POLICY_PUBLIC_WORKS,
POLICY_LIMES,POLICY_LIGHTNING_WARFARE,
POLICY_NATURAL_PHILOSOPHY,POLICY_FIVE_YEAR_PLAN,
POLICY_NAVAL_INFRASTRUCTURE,POLICY_ECONOMIC_UNION,
POLICY_NAVIGATION,,GREAT_PERSON_CLASS_ADMIRAL
POLICY_FEUDAL_CONTRACT,POLICY_GRANDE_ARMEE,
POLICY_SERFDOM,POLICY_PUBLIC_WORKS,
POLICY_RETAINERS,POLICY_PROPAGANDA,
POLICY_TRADE_CONFEDERATION,POLICY_MARKET_ECONOMY,
POLICY_AESTHETICS,POLICY_SPORTS_MEDIA,
POLICY_MEDINA_QUARTER,POLICY_NEW_DEAL,
POLICY_CRAFTSMEN,POLICY_FIVE_YEAR_PLAN,
POLICY_TOWN_CHARTERS,POLICY_ECONOMIC_UNION,
POLICY_TRAVELING_MERCHANTS,POLICY_LAISSEZ_FAIRE,GREAT_PERSON_CLASS_MERCHANT
POLICY_GOTHIC_ARCHITECTURE,POLICY_SKYSCRAPERS,
POLICY_CHIVALRY,POLICY_LIGHTNING_WARFARE,
POLICY_INVENTION,,GREAT_PERSON_CLASS_ENGINEER
POLICY_FRESCOES,,GREAT_PERSON_CLASS_ARTIST
POLICY_TRIANGULAR_TRADE,POLICY_ECOMMERCE,
POLICY_GRANDE_ARMEE,POLICY_MILITARY_FIRST,
POLICY_PRESS_GANGS,POLICY_INTERNATIONAL_WATERS,
POLICY_SYMPHONIES,,GREAT_PERSON_CLASS_MUSICIAN
POLICY_MILITARY_ORGANIZATION,,GREAT_PERSON_CLASS_GENERAL
POLICY_MILITARY_RESEARCH,POLICY_INTEGRATED_SPACE_CELL,
POLICY_LAISSEZ_FAIRE,,GREAT_PERSON_CLASS_MERCHANT
POLICY_PRAETORIUM,POLICY_COMMUNICATIONS_OFFICE,
POLICY_RETINUES,POLICY_FORCE_MODERNIZATION,
POLICY_PROFESSIONAL_ARMY,POLICY_FORCE_MODERNIZATION,
