TeamName,AiType,MinNumber,MaxNumber,MinPercentage,MaxPercentage,ReconsiderWhilePreparing,AiTypeDependence
Simple Early Attack Force,UNITAI_COMBAT,1.0,10.0,0.0,1.0,0,
Simple Early Attack Force,UNITTYPE_MELEE,1.0,,0.0,1.0,0,
Simple Early Attack Force,UNITTYPE_RANGED,0.0,3.0,0.0,1.0,0,
Simple Early Attack Force,UNITTYPE_CIVILIAN_LEADER,,1.0,0.0,1.0,0,
Simple Early Attack Force,UNITTYPE_CIVILIAN,,0.0,0.0,1.0,0,
Simple Early Attack Force,UNITTYPE_NAVAL,,0.0,0.0,1.0,0,
Simple Early Attack Force,UNITTYPE_AIR,,0.0,0.0,1.0,0,
Simple City Attack Force,UNITTYPE_MELEE,2.0,,0.0,1.0,0,
Simple City Attack Force,UNITTYPE_RANGED,0.0,3.0,0.0,1.0,0,
Simple City Attack Force,UNITAI_COMBAT,5.0,16.0,0.0,1.0,0,
Simple City Attack Force,UNITTYPE_SIEGE,,3.0,0.0,1.0,0,
Simple City Attack Force,UNITTYPE_CIVILIAN_LEADER,,1.0,0.0,1.0,0,
Simple City Attack Force,UNITTYPE_CIVILIAN,,0.0,0.0,1.0,0,
Simple City Attack Force,UNITTYPE_NAVAL,,0.0,0.0,1.0,0,
Simple City Attack Force,UNITTYPE_AIR,,0.0,0.0,1.0,0,
City Naval Attack Force,UNITTYPE_NAVAL,,,1.0,1.0,0,
City Naval Attack Force,UNITTYPE_MELEE,0.0,,0.0,1.0,0,
City Naval Attack Force,UNITTYPE_RANGED,0.0,,0.0,1.0,0,
City Naval Attack Force,UNITTYPE_CIVILIAN_LEADER,,1.0,0.0,1.0,0,
City Attack Force,UNITTYPE_MELEE,2.0,,0.0,1.0,0,
City Attack Force,UNITTYPE_RANGED,1.0,,0.0,1.0,0,
City Attack Force,UNITAI_COMBAT,5.0,16.0,0.0,1.0,0,
City Attack Force,UNITTYPE_SIEGE,0.0,3.0,0.0,1.0,0,
City Attack Force,UNITTYPE_AIR_SIEGE,0.0,1.0,0.0,1.0,0,
City Attack Force,UNITTYPE_SIEGE_SUPPORT,0.0,2.0,0.0,1.0,0,UNITTYPE_SIEGE
City Attack Force,UNITTYPE_SIEGE_ALL,1.0,,0.0,1.0,0,
City Attack Force,UNITTYPE_CIVILIAN_LEADER,,1.0,0.0,1.0,0,
City Attack Force,UNITTYPE_CIVILIAN,,0.0,0.0,1.0,0,
City Attack Force,UNITTYPE_AIR,,0.0,0.0,1.0,0,
City Attack Force,UNITTYPE_NAVAL,,0.0,0.0,1.0,0,
Barbarian Builder Capture,UNITTYPE_CIVILIAN,1.0,1.0,0.0,1.0,0,
Barbarian Builder Capture,UNITAI_COMBAT,1.0,,0.0,1.0,0,
Barbarian Builder Capture,UNITTYPE_NAVAL,,0.0,0.0,1.0,0,
Civilian Builder Capture,UNITTYPE_CIVILIAN,1.0,1.0,0.0,1.0,0,
Civilian Builder Capture,UNITAI_COMBAT,0.0,,0.0,1.0,0,
Civilian Builder Capture,UNITTYPE_NAVAL,,0.0,0.0,1.0,0,
Settle City Team,UNITAI_SETTLE,1.0,1.0,0.0,1.0,0,
Settle City Team,UNITAI_COMBAT,1.0,,0.0,1.0,0,
Settle City Team,UNITTYPE_NAVAL,,0.0,0.0,1.0,0,
Settle City Team,UNITTYPE_AIR,,0.0,0.0,1.0,0,
City Defense,UNITTYPE_CIVILIAN,,0.0,0.0,1.0,0,
City Defense,UNITTYPE_CIVILIAN_LEADER,,1.0,0.0,1.0,0,
City Defense,UNITTYPE_NAVAL,,0.0,0.0,1.0,0,
City Defense,UNITAI_COMBAT,0.0,,0.0,1.0,0,
City Defense,UNITAI_EXPLORE,0.0,,0.0,1.0,0,
City Defense,UNITTYPE_AIR,,0.0,0.0,1.0,0,
City Defense,UNITTYPE_AIR_SIEGE,,0.0,0.0,1.0,0,
City Naval Defense,UNITTYPE_NAVAL,,,1.0,1.0,0,
City Naval Defense,UNITTYPE_MELEE,0.0,,0.0,1.0,0,
City Naval Defense,UNITTYPE_RANGED,0.0,,0.0,1.0,0,
City Naval Defense,UNITTYPE_CIVILIAN_LEADER,,1.0,0.0,1.0,0,
Barbarian Raid,UNITAI_COMBAT,1.0,,0.0,1.0,0,
Nuclear Attack,UNITTYPE_NUCLEAR,1.0,,0.0,1.0,0,
Nuclear Attack,UNITTYPE_NUCLEAR_ESCORT,0.0,,0.0,1.0,0,
Aid Ally Attack Force,UNITTYPE_MELEE,0.0,,0.0,1.0,0,
Aid Ally Attack Force,UNITTYPE_RANGED,0.0,,0.0,1.0,0,
Aid Ally Attack Force,UNITTYPE_CIVILIAN,,0.0,0.0,1.0,0,
Aid Ally Attack Force,UNITTYPE_SIEGE,,2.0,0.0,1.0,0,
Aid Ally Attack Force,UNITTYPE_AIR,,0.0,0.0,1.0,0,
Naval Superiority Force,UNITTYPE_NAVAL,,,1.0,1.0,0,
Naval Superiority Force,UNITTYPE_MELEE,1.0,,0.0,1.0,0,
Naval Superiority Force,UNITTYPE_RANGED,0.0,,0.0,1.0,0,
Naval Superiority Force,UNITTYPE_CIVILIAN_LEADER,,1.0,0.0,1.0,0,
Free Cities Assault Force,UNITAI_COMBAT,2.0,6.0,0.0,1.0,0,
