ConditionType,Value,PoorValue,PoorTooltipString,GoodValue,GoodTooltipString
Nearest Enemy City,0,0,LOC_PLACEHOLDER_BAD,0,LOC_PLACEHOLDER_GOOD
Nearest Friendly City,1,-50,LOC_SETTLEMENT_RECOMMENDATION_POOR_NEAREST_CITY,-20,LOC_SETTLEMENT_RECOMMENDATION_GOOD_NEAREST_CITY
New Resources,2,0,LOC_SETTLEMENT_RECOMMENDATION_POOR_NEW_RESOURCES,4,LOC_SETTLEMENT_RECOMMENDATION_GOOD_NEW_RESOURCES
Inner Ring Yield,3,18,LOC_SETTLEMENT_RECOMMENDATION_POOR_INNER_YIELD,26,LOC_SETTLEMENT_RECOMMENDATION_GOOD_INNER_YIELD
Total Yield,4,30,LOC_SETTLEMENT_RECOMMENDATION_POOR_TOTAL_YIELD,50,LOC_SETTLEMENT_RECOMMENDATION_GOOD_TOTAL_YIELD
Coastal,5,-1,LOC_SETTLEMENT_RECOMMENDATION_POOR_COAST,12,LOC_SETTLEMENT_RECOMMENDATION_GOOD_COAST
Fresh Water,6,0,LOC_SETTLEMENT_RECOMMENDATION_POOR_FRESH_WATER,20,LOC_SETTLEMENT_RECOMMENDATION_GOOD_FRESH_WATER
Specific Resource,7,-1,LOC_SETTLEMENT_RECOMMENDATION_POOR_RESOURCES,6,LOC_SETTLEMENT_RECOMMENDATION_GOOD_RESOURCES
Specific Feature,8,-5,LOC_SETTLEMENT_RECOMMENDATION_POOR_FEATURES,5,LOC_SETTLEMENT_RECOMMENDATION_GOOD_FEATURES
Resource Class,9,2,LOC_SETTLEMENT_RECOMMENDATION_POOR_STRATEGIC_RESOURCES,6,LOC_SETTLEMENT_RECOMMENDATION_GOOD_STRATEGIC_RESOURCES
Foreign Continent,10,-2,LOC_SETTLEMENT_RECOMMENDATION_POOR_FOREIGN_CONTINENT,50,LOC_SETTLEMENT_RECOMMENDATION_GOOD_FOREIGN_CONTINENT
Cultural Pressure,11,0,,0,
