PolicyType,Description,PrereqCivic,PrereqTech,Name,GovernmentSlotType,RequiresGovernmentUnlock,ExplicitUnlock
POLICY_DISCIPLINE,LOC_POLICY_DISCIPLINE_DESCRIPTION,CIVIC_CODE_OF_LAWS,,LOC_POLICY_DISCIPLINE_NAME,SLOT_MILITARY,,0
POLICY_SURVEY,LOC_POLICY_SURVEY_DESCRIPTION,CIVIC_CODE_OF_LAWS,,LOC_POLICY_SURVEY_NAME,SLOT_MILITARY,,0
POLICY_GOD_KING,LOC_POLICY_GOD_KING_DESCRIPTION,CIVIC_CODE_OF_LAWS,,LOC_POLICY_GOD_KING_NAME,SLOT_ECONOMIC,,0
POLICY_URBAN_PLANNING,LOC_POLICY_URBAN_PLANNING_DESCRIPTION,CIVIC_CODE_OF_LAWS,,LOC_POLICY_URBAN_PLANNING_NAME,SLOT_ECONOMIC,,0
POLICY_ILKUM,LOC_POLICY_ILKUM_DESCRIPTION,CIVIC_CRAFTSMANSHIP,,LOC_POLICY_ILKUM_NAME,SLOT_ECONOMIC,,0
POLICY_AGOGE,LOC_POLICY_AGOGE_DESCRIPTION,CIVIC_CRAFTSMANSHIP,,LOC_POLICY_AGOGE_NAME,SLOT_MILITARY,,0
POLICY_CARAVANSARIES,LOC_POLICY_CARAVANSARIES_DESCRIPTION,CIVIC_FOREIGN_TRADE,,LOC_POLICY_CARAVANSARIES_NAME,SLOT_ECONOMIC,,0
POLICY_MARITIME_INDUSTRIES,LOC_POLICY_MARITIME_INDUSTRIES_DESCRIPTION,CIVIC_FOREIGN_TRADE,,LOC_POLICY_MARITIME_INDUSTRIES_NAME,SLOT_MILITARY,,0
POLICY_MANEUVER,LOC_POLICY_MANEUVER_DESCRIPTION,CIVIC_MILITARY_TRADITION,,LOC_POLICY_MANEUVER_NAME,SLOT_MILITARY,,0
POLICY_STRATEGOS,LOC_POLICY_STRATEGOS_DESCRIPTION,CIVIC_MILITARY_TRADITION,,LOC_POLICY_STRATEGOS_NAME,SLOT_GREAT_PERSON,,0
POLICY_CORVEE,LOC_POLICY_CORVEE_DESCRIPTION,CIVIC_STATE_WORKFORCE,,LOC_POLICY_CORVEE_NAME,SLOT_ECONOMIC,,0
POLICY_CONSCRIPTION,LOC_POLICY_CONSCRIPTION_DESCRIPTION,CIVIC_STATE_WORKFORCE,,LOC_POLICY_CONSCRIPTION_NAME,SLOT_MILITARY,,0
POLICY_LAND_SURVEYORS,LOC_POLICY_LAND_SURVEYORS_DESCRIPTION,CIVIC_EARLY_EMPIRE,,LOC_POLICY_LAND_SURVEYORS_NAME,SLOT_ECONOMIC,,0
POLICY_COLONIZATION,LOC_POLICY_COLONIZATION_DESCRIPTION,CIVIC_EARLY_EMPIRE,,LOC_POLICY_COLONIZATION_NAME,SLOT_ECONOMIC,,0
POLICY_INSPIRATION,LOC_POLICY_INSPIRATION_DESCRIPTION,CIVIC_MYSTICISM,,LOC_POLICY_INSPIRATION_NAME,SLOT_GREAT_PERSON,,0
POLICY_REVELATION,LOC_POLICY_REVELATION_DESCRIPTION,CIVIC_MYSTICISM,,LOC_POLICY_REVELATION_NAME,SLOT_GREAT_PERSON,,0
POLICY_INSULAE,LOC_POLICY_INSULAE_DESCRIPTION,CIVIC_GAMES_RECREATION,,LOC_POLICY_INSULAE_NAME,SLOT_ECONOMIC,,0
POLICY_CHARISMATIC_LEADER,LOC_POLICY_CHARISMATIC_LEADER_DESCRIPTION,CIVIC_POLITICAL_PHILOSOPHY,,LOC_POLICY_CHARISMATIC_LEADER_NAME,SLOT_DIPLOMATIC,,0
POLICY_DIPLOMATIC_LEAGUE,LOC_POLICY_DIPLOMATIC_LEAGUE_DESCRIPTION,CIVIC_POLITICAL_PHILOSOPHY,,LOC_POLICY_DIPLOMATIC_LEAGUE_NAME,SLOT_DIPLOMATIC,,0
POLICY_LITERARY_TRADITION,LOC_POLICY_LITERARY_TRADITION_DESCRIPTION,CIVIC_DRAMA_POETRY,,LOC_POLICY_LITERARY_TRADITION_NAME,SLOT_GREAT_PERSON,,0
POLICY_RAID,LOC_POLICY_RAID_EXPANSION1_ALT_DESCRIPTION,CIVIC_MILITARY_TRAINING,,LOC_POLICY_RAID_NAME,SLOT_MILITARY,,0
POLICY_VETERANCY,LOC_POLICY_VETERANCY_DESCRIPTION_XP2,CIVIC_MILITARY_TRAINING,,LOC_POLICY_VETERANCY_NAME,SLOT_MILITARY,,0
POLICY_BASTIONS,LOC_POLICY_BASTIONS_DESCRIPTION,CIVIC_DEFENSIVE_TACTICS,,LOC_POLICY_BASTIONS_NAME,SLOT_MILITARY,,0
POLICY_LIMES,LOC_POLICY_LIMES_DESCRIPTION,CIVIC_DEFENSIVE_TACTICS,,LOC_POLICY_LIMES_NAME,SLOT_MILITARY,,0
POLICY_NATURAL_PHILOSOPHY,LOC_POLICY_NATURAL_PHILOSOPHY_DESCRIPTION,CIVIC_RECORDED_HISTORY,,LOC_POLICY_NATURAL_PHILOSOPHY_NAME,SLOT_ECONOMIC,,0
POLICY_SCRIPTURE,LOC_POLICY_SCRIPTURE_DESCRIPTION,CIVIC_THEOLOGY,,LOC_POLICY_SCRIPTURE_NAME,SLOT_ECONOMIC,,0
