PolicyType,MinimumGameEra,MaximumGameEra,RequiresDarkAge,RequiresGoldenAge
POLICY_MONASTICISM,ERA_CLASSICAL,ERA_MEDIEVAL,1,0
POLICY_TWILIGHT_VALOR,ERA_CLASSICAL,ERA_RENAISSANCE,1,0
POLICY_INQUISITION,ERA_CLASSICAL,ERA_RENAISSANCE,1,0
POLICY_ISOLATIONISM,ERA_CLASSICAL,ERA_INDUSTRIAL,1,0
POLICY_LETTERS_OF_MARQUE,ERA_RENAISSANCE,ERA_MODERN,1,0
POLICY_ROBBER_BARONS,ERA_INDUSTRIAL,ERA_ATOMIC,1,0
POLICY_ELITE_FORCES,ERA_INDUSTRIAL,ERA_FUTURE,1,0
POLICY_COLLECTIVISM,ERA_MODERN,ERA_ATOMIC,1,0
POLICY_ROGUE_STATE,ERA_ATOMIC,ERA_FUTURE,1,0
POLICY_FLOWER_POWER,ERA_ATOMIC,ERA_FUTURE,1,0
POLICY_CYBER_WARFARE,ERA_INFORMATION,ERA_FUTURE,1,0
POLICY_AUTOMATED_WORKFORCE,ERA_INFORMATION,ERA_FUTURE,1,0
POLICY_DISINFORMATION_CAMPAIGN,ERA_INFORMATION,ERA_FUTURE,1,0
