PolicyType,ModifierId
POLICY_AESTHETICS,AESTHETICS_DISTRICTCULTURE
POLICY_AGOGE,AGOGE_ANCIENT_MELEE_PRODUCTION
POLICY_AGOGE,AGOGE_CLASSICAL_MELEE_PRODUCTION
POLICY_AGOGE,AGOGE_ANCIENT_ANTI_CAVALRY_PRODUCTION
POLICY_AGOGE,AGOGE_CLASSICAL_ANTI_CAVALRY_PRODUCTION
POLICY_AGOGE,AGOGE_ANCIENT_RANGED_PRODUCTION
POLICY_AGOGE,AGOGE_CLASSICAL_RANGED_PRODUCTION
POLICY_BASTIONS,BASTIONS_OUTERDEFENSE
POLICY_BASTIONS,BASTIONS_RANGEDSTRIKE
POLICY_CARAVANSARIES,CARAVANSARIES_TRADEROUTEGOLD
POLICY_CHARISMATIC_LEADER,CHARISMATICLEADER_INFLUENCEPOINTS
POLICY_CHIVALRY,CHIVALRY_MEDIEVAL_HEAVY_CAVALRY_PRODUCTION
POLICY_CHIVALRY,CHIVALRY_RENAISSANCE_HEAVY_CAVALRY_PRODUCTION
POLICY_CHIVALRY,CHIVALRY_INDUSTRIAL_HEAVY_CAVALRY_PRODUCTION
POLICY_CHIVALRY,CHIVALRY_MEDIEVAL_LIGHT_CAVALRY_PRODUCTION
POLICY_CHIVALRY,CHIVALRY_RENAISSANCE_LIGHT_CAVALRY_PRODUCTION
POLICY_CHIVALRY,CHIVALRY_INDUSTRIAL_LIGHT_CAVALRY_PRODUCTION
POLICY_CHIVALRY,MANEUVER_ANCIENT_HEAVY_CAVALRY_PRODUCTION
POLICY_CHIVALRY,MANEUVER_CLASSICAL_HEAVY_CAVALRY_PRODUCTION
POLICY_CHIVALRY,MANEUVER_ANCIENT_LIGHT_CAVALRY_PRODUCTION
POLICY_CHIVALRY,MANEUVER_CLASSICAL_LIGHT_CAVALRY_PRODUCTION
POLICY_COLLECTIVE_ACTIVISM,COLLECTIVEACTIVISM_CULTUREPERTRIBUTARY
POLICY_COLLECTIVIZATION,COLLECTIVIZATION_INTERNAL_TRADE_FOOD
POLICY_COLONIAL_OFFICES,COLONIALOFFICES_FOREIGNGROWTH
POLICY_COLONIAL_TAXES,COLONIALTAXES_FOREIGNGOLD
POLICY_COLONIZATION,COLONIZATION_SETTLERPRODUCTION
POLICY_CONSCRIPTION,CONSCRIPTION_UNITMAINTENANCEDISCOUNT
POLICY_CONTAINMENT,CONTAINMENT_DUPLICATETOKENWHENRIVALGOVERNMENT
POLICY_CORVEE,CORVEE_ANCIENTCLASSICALWONDER
