MinimumLatitude,MaximumLatitude,DirectionType,Weight
60,90,DIRECTION_NORTHWEST,1
60,90,DIRECTION_WEST,2
60,90,DIRECTION_SOUTHWEST,2
30,60,DIRECTION_NORTHEAST,2
30,60,DIRECTION_EAST,2
30,60,DIRECTION_SOUTHEAST,1
5,30,DIRECTION_NORTHWEST,2
5,30,DIRECTION_WEST,2
5,30,DIRECTION_SOUTHWEST,1
0,5,DIRECTION_NORTHWEST,1
0,5,DIRECTION_WEST,1
-5,0,DIRECTION_WEST,1
-5,0,DIRECTION_SOUTHWEST,1
-30,-5,DIRECTION_NORTHWEST,1
-30,-5,DIRECTION_WEST,2
-30,-5,DIRECTION_SOUTHWEST,2
-60,-30,DIRECTION_NORTHEAST,1
-60,-30,DIRECTION_EAST,2
-60,-30,DIRECTION_SOUTHEAST,2
-90,-60,DIRECTION_NORTHWEST,2
-90,-60,DIRECTION_WEST,2
-90,-60,DIRECTION_SOUTHWEST,1
