ProjectType,ModifierId
PROJECT_LAUNCH_EARTH_SATELLITE,PROJECT_COMPLETION_EXPLORE_ENTIRE_MAP
PROJECT_LAUNCH_MOON_LANDING,PROJECT_COMPLETION_GRANT_CULTURE_BASED_ON_SCIENCE_RATE
PROJECT_BUILD_NUCLEAR_DEVICE,PROJECT_COMPLETION_MODIFIER_CREATE_NUCLEAR_DEVICE
PROJECT_BUILD_THERMONUCLEAR_DEVICE,PROJECT_COMPLETION_MODIFIER_CREATE_THERMONUCLEAR_DEVICE
PROJECT_BREAD_AND_CIRCUSES,PROJECT_COMPLETION_LOYALTY
PROJECT_WATER_BREAD_AND_CIRCUSES,PROJECT_COMPLETION_LOYALTY
PROJECT_CARBON_RECAPTURE,PROJECT_COMPLETION_FAVOR_SEQUESTRATION
PROJECT_CARBON_RECAPTURE,PROJECT_COMPLETION_CARBON_SEQUESTRATION
PROJECT_LAUNCH_EXOPLANET_EXPEDITION,PROJECT_COMPLETION_EXOPLANET_SCIENCE_VP
PROJECT_ORBITAL_LASER,PROJECT_COMPLETION_ORBITAL_LASER_SCIENCE_VP
PROJECT_TERRESTRIAL_LASER,PROJECT_COMPLETION_TERRESTRIAL_LASER_SCIENCE_VP
PROJECT_TERRESTRIAL_LASER,PROJECT_COMPLETION_TERRESTRIAL_LASER_REQUIRED_POWER
PROJECT_RECOMMISSION_REACTOR,PROJECT_COMPLETION_RECOMMISSION_REACTOR
PROJECT_SEND_AID,PROJECT_COMPLETION_SEND_AID_TO_AID_REQUESTS
PROJECT_SEND_AID,PROJECT_COMPLETION_SEND_AID_TO_MILITARY_AID_REQUESTS
PROJECT_COURT_FESTIVAL,PROJECT_COMPLETION_GRANT_CULTURE_BASED_ON_EXCESS_LUXURIES
PROJECT_COURT_FESTIVAL,PROJECT_COMPLETION_GRANT_TOURISM_BASED_ON_EXCESS_LUXURIES
PROJECT_OCCULT_RESEARCH,PROJECT_COMPLETION_MODIFIER_LEY_LINE_SCIENCE
PROJECT_DARK_SUMMONING,SPREAD_CHAOS_ADDITIONAL_LOYALTY_DAMAGE
PROJECT_CREATE_HERO_ANANSI,MODIFIER_CREATE_HERO_ANANSI
PROJECT_CREATE_HERO_ARTHUR,MODIFIER_CREATE_HERO_ARTHUR
PROJECT_CREATE_HERO_BEOWULF,MODIFIER_CREATE_HERO_BEOWULF
PROJECT_CREATE_HERO_HERCULES,MODIFIER_CREATE_HERO_HERCULES
PROJECT_CREATE_HERO_HIMIKO,MODIFIER_CREATE_HERO_HIMIKO
PROJECT_CREATE_HERO_HIPPOLYTA,MODIFIER_CREATE_HERO_HIPPOLYTA
PROJECT_CREATE_HERO_HUNAHPU,MODIFIER_CREATE_HERO_HUNAHPU
PROJECT_CREATE_HERO_OYA,MODIFIER_CREATE_HERO_OYA
PROJECT_CREATE_HERO_MAUI,MODIFIER_CREATE_HERO_MAUI
PROJECT_CREATE_HERO_MULAN,MODIFIER_CREATE_HERO_MULAN
PROJECT_CREATE_HERO_SINBAD,MODIFIER_CREATE_HERO_SINBAD
PROJECT_CREATE_HERO_WUKONG,MODIFIER_CREATE_HERO_WUKONG
PROJECT_DISCOVER_NEXT_HERO,MODIFIER_DISCOVER_RANDOM_HERO
