ProjectType,GreatPersonClassType,Points,PointProgressionModel,PointProgressionParam1
PROJECT_CARNIVAL,GREAT_PERSON_CLASS_ENGINEER,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_CARNIVAL,GREAT_PERSON_CLASS_MERCHANT,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_CARNIVAL,GREAT_PERSON_CLASS_WRITER,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_CARNIVAL,GREAT_PERSON_CLASS_ARTIST,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_CARNIVAL,GREAT_PERSON_CLASS_MUSICIAN,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_ENCAMPMENT,GREAT_PERSON_CLASS_GENERAL,10,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_HARBOR,GREAT_PERSON_CLASS_ADMIRAL,10,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE,GREAT_PERSON_CLASS_ENGINEER,10,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB,GREAT_PERSON_CLASS_MERCHANT,10,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_HOLY_SITE,GREAT_PERSON_CLASS_PROPHET,10,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_CAMPUS,GREAT_PERSON_CLASS_SCIENTIST,10,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_THEATER,GREAT_PERSON_CLASS_WRITER,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_THEATER,GREAT_PERSON_CLASS_ARTIST,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_ENHANCE_DISTRICT_THEATER,GREAT_PERSON_CLASS_MUSICIAN,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_WATER_CARNIVAL,GREAT_PERSON_CLASS_ENGINEER,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_WATER_CARNIVAL,GREAT_PERSON_CLASS_MERCHANT,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_WATER_CARNIVAL,GREAT_PERSON_CLASS_WRITER,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_WATER_CARNIVAL,GREAT_PERSON_CLASS_ARTIST,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_WATER_CARNIVAL,GREAT_PERSON_CLASS_MUSICIAN,5,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_OCCULT_RESEARCH,GREAT_PERSON_CLASS_ENGINEER,30,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_OCCULT_RESEARCH,GREAT_PERSON_CLASS_MERCHANT,30,COST_PROGRESSION_GAME_PROGRESS,800
PROJECT_OCCULT_RESEARCH,GREAT_PERSON_CLASS_SCIENTIST,30,COST_PROGRESSION_GAME_PROGRESS,800
