ProjectType,YieldType,PercentOfProductionRate
PROJECT_ENHANCE_DISTRICT_ENCAMPMENT,YIELD_GOLD,15
PROJECT_ENHANCE_DISTRICT_HARBOR,YIELD_GOLD,15
PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB,YIELD_GOLD,30
PROJECT_ENHANCE_DISTRICT_HOLY_SITE,YIELD_FAITH,15
PROJECT_ENHANCE_DISTRICT_CAMPUS,YIELD_SCIENCE,15
PROJECT_ENHANCE_DISTRICT_THEATER,YIELD_CULTURE,15
PROJECT_LIJIA_FAITH,YIELD_FAITH,50
PROJECT_LIJIA_FOOD,YIELD_FOOD,50
PROJECT_LIJIA_GOLD,YIELD_GOLD,100
PROJECT_OCCULT_RESEARCH,YIELD_GOLD,15
PROJECT_DARK_SUMMONING,YIELD_FAITH,30
