ProjectType,Name,ShortName,Description,PopupText,Cost,CostProgressionModel,CostProgressionParam1,PrereqTech,PrereqCivic,PrereqDistrict,RequiredBuilding,VisualBuildingType,SpaceRace,OuterDefenseRepair,MaxPlayerInstances,AmenitiesWhileActive,PrereqResource,AdvisorType,WMD,UnlocksFromEffect
PROJECT_REPAIR_OUTER_DEFENSES,LOC_PROJECT_REPAIR_OUTER_DEFENSES_NAME,LOC_PROJECT_REPAIR_OUTER_DEFENSES_SHORT_NAME,LOC_PROJECT_REPAIR_OUTER_DEFENSES_DESCRIPTION,,0,NO_PROGRESSION_MODEL,0,,,,,,0,1,,,,ADVISOR_GENERIC,0,0
PROJECT_LAUNCH_EARTH_SATELLITE,LOC_PROJECT_LAUNCH_EARTH_SATELLITE_NAME,LOC_PROJECT_LAUNCH_EARTH_SATELLITE_SHORT_NAME,LOC_PROJECT_LAUNCH_EARTH_SATELLITE_DESCRIPTION,LOC_PROJECT_LAUNCH_EARTH_SATELLITE_POPUP,900,NO_PROGRESSION_MODEL,0,TECH_ROCKETRY,,DISTRICT_SPACEPORT,,BUILDING_SMALL_ROCKET,1,0,1.0,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_LAUNCH_MOON_LANDING,LOC_PROJECT_LAUNCH_MOON_LANDING_NAME,LOC_PROJECT_LAUNCH_MOON_LANDING_SHORT_NAME,LOC_PROJECT_LAUNCH_MOON_LANDING_DESCRIPTION,LOC_PROJECT_LAUNCH_MOON_LANDING_POPUP,1500,NO_PROGRESSION_MODEL,0,TECH_SATELLITES,,DISTRICT_SPACEPORT,,BUILDING_MEDIUM_ROCKET,1,0,1.0,,,ADVISOR_TECHNOLOGY,0,0
PROJECT_MANHATTAN_PROJECT,LOC_PROJECT_MANHATTAN_PROJECT_NAME,LOC_PROJECT_MANHATTAN_PROJECT_SHORT_NAME,LOC_PROJECT_MANHATTAN_PROJECT_DESCRIPTION,,1000,NO_PROGRESSION_MODEL,0,TECH_NUCLEAR_FISSION,,,,,0,0,1.0,,,ADVISOR_CONQUEST,1,0
PROJECT_OPERATION_IVY,LOC_PROJECT_OPERATION_IVY_NAME,LOC_PROJECT_OPERATION_IVY_SHORT_NAME,LOC_PROJECT_OPERATION_IVY_DESCRIPTION,,1000,NO_PROGRESSION_MODEL,0,TECH_NUCLEAR_FUSION,,,,,0,0,1.0,,,ADVISOR_CONQUEST,1,0
PROJECT_BUILD_NUCLEAR_DEVICE,LOC_PROJECT_BUILD_NUCLEAR_DEVICE_NAME,LOC_PROJECT_BUILD_NUCLEAR_DEVICE_SHORT_NAME,LOC_PROJECT_BUILD_NUCLEAR_DEVICE_DESCRIPTION,,800,NO_PROGRESSION_MODEL,0,TECH_NUCLEAR_FISSION,,,,,0,0,,,RESOURCE_URANIUM,ADVISOR_CONQUEST,1,0
PROJECT_BUILD_THERMONUCLEAR_DEVICE,LOC_PROJECT_BUILD_THERMONUCLEAR_DEVICE_NAME,LOC_PROJECT_BUILD_THERMONUCLEAR_DEVICE_SHORT_NAME,LOC_PROJECT_BUILD_THERMONUCLEAR_DEVICE_DESCRIPTION,,1000,NO_PROGRESSION_MODEL,0,TECH_NUCLEAR_FUSION,,,,,0,0,,,RESOURCE_URANIUM,ADVISOR_CONQUEST,1,0
PROJECT_CARNIVAL,LOC_PROJECT_CARNIVAL_NAME,LOC_PROJECT_CARNIVAL_SHORT_NAME,LOC_PROJECT_CARNIVAL_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_STREET_CARNIVAL,,,0,0,,1.0,,ADVISOR_GENERIC,0,0
PROJECT_ENHANCE_DISTRICT_ENCAMPMENT,LOC_PROJECT_ENHANCE_DISTRICT_ENCAMPMENT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_ENCAMPMENT_SHORT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_ENCAMPMENT_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_ENCAMPMENT,,,0,0,,,,ADVISOR_CONQUEST,0,0
PROJECT_ENHANCE_DISTRICT_HARBOR,LOC_PROJECT_ENHANCE_DISTRICT_HARBOR_NAME,LOC_PROJECT_ENHANCE_DISTRICT_HARBOR_SHORT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_HARBOR_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_HARBOR,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE,LOC_PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE_NAME,LOC_PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE_SHORT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE_EXPANSION2_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_INDUSTRIAL_ZONE,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB,LOC_PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB_NAME,LOC_PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB_SHORT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_COMMERCIAL_HUB_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_COMMERCIAL_HUB,,,0,0,,,,ADVISOR_GENERIC,0,0
PROJECT_ENHANCE_DISTRICT_HOLY_SITE,LOC_PROJECT_ENHANCE_DISTRICT_HOLY_SITE_NAME,LOC_PROJECT_ENHANCE_DISTRICT_HOLY_SITE_SHORT_NAME,LOC_PROJECT_ENHANCE_DISTRICT_HOLY_SITE_EXPANSION2_DESCRIPTION,,25,COST_PROGRESSION_GAME_PROGRESS,1500,,,DISTRICT_HOLY_SITE,,,0,0,,,,ADVISOR_RELIGIOUS,0,0
