ProjectType,RequiredPowerWhileActive,ReligiousPressureModifier,UnlocksFromEffect,RequiredBuilding,CreateBuilding,FullyPoweredWhileActive,MaxSimultaneousInstances
PROJECT_COTHON_CAPITAL_MOVE,0,0,0,,,,1.0
PROJECT_ENHANCE_DISTRICT_HOLY_SITE,0,100,0,,,,
PROJECT_ENHANCE_DISTRICT_INDUSTRIAL_ZONE,0,0,0,,,1.0,
PROJECT_SEND_AID,0,0,1,,,,
PROJECT_TRAIN_ATHLETES,0,0,1,,,,
PROJECT_TRAIN_ASTRONAUTS,0,0,1,,,,
PROJECT_RECOMMISSION_REACTOR,0,0,0,BUILDING_POWER_PLANT,,,
PROJECT_CONVERT_REACTOR_TO_COAL,0,0,0,,BUILDING_COAL_POWER_PLANT,,
PROJECT_CONVERT_REACTOR_TO_OIL,0,0,0,,BUILDING_FOSSIL_FUEL_POWER_PLANT,,
PROJECT_CONVERT_REACTOR_TO_URANIUM,0,0,0,,BUILDING_POWER_PLANT,,
PROJECT_DECOMMISSION_COAL_POWER_PLANT,0,0,1,,,,
PROJECT_DECOMMISSION_OIL_POWER_PLANT,0,0,1,,,,
PROJECT_DECOMMISSION_NUCLEAR_POWER_PLANT,0,0,1,,,,
PROJECT_OCCULT_RESEARCH,0,0,1,,,,
PROJECT_DARK_SUMMONING,0,0,1,,,,
