PseudoYieldType,DefaultValue
PSEUDOYIELD_CLEAR_BANDIT_CAMPS,0.5
PSEUDOYIELD_ENVIRONMENT,0.5
PSEUDOYIELD_GPP_GENERAL,0.5
PSEUDOYIELD_GPP_ADMIRAL,0.5
PSEUDOYIELD_GPP_ENGINEER,0.5
PSEUDOYIELD_GPP_MERCHANT,0.5
PSEUDOYIELD_GPP_PROPHET,0.5
PSEUDOYIELD_GPP_SCIENTIST,0.5
PSEUDOYIELD_GPP_WRITER,0.5
PSEUDOYIELD_GPP_ARTIST,0.5
PSEUDOYIELD_GPP_MUSICIAN,0.5
PSEUDOYIELD_IMPROVEMENT,3.0
PSEUDOYIELD_INFLUENCE,0.5
PSEUDOYIELD_UNIT_ARCHAEOLOGIST,4.0
PSEUDOYIELD_UNIT_COMBAT,1.0
PSEUDOYIELD_UNIT_NAVAL_COMBAT,1.0
PSEUDOYIELD_UNIT_AIR_COMBAT,3.0
PSEUDOYIELD_UNIT_EXPLORER,1.0
PSEUDOYIELD_UNIT_SETTLER,1.0
PSEUDOYIELD_UNIT_RELIGIOUS,1.0
PSEUDOYIELD_UNIT_TRADE,1.0
PSEUDOYIELD_UNIT_SPY,20.0
PSEUDOYIELD_DISTRICT,4.0
PSEUDOYIELD_WONDER,2.0
PSEUDOYIELD_GREATWORK_SCULPTURE,10.0
PSEUDOYIELD_GREATWORK_PORTRAIT,10.0
PSEUDOYIELD_GREATWORK_LANDSCAPE,10.0
PSEUDOYIELD_GREATWORK_RELIGIOUS,10.0
PSEUDOYIELD_GREATWORK_ARTIFACT,10.0
PSEUDOYIELD_GREATWORK_WRITING,10.0
PSEUDOYIELD_GREATWORK_MUSIC,10.0
PSEUDOYIELD_GREATWORK_RELIC,10.0
PSEUDOYIELD_DIPLOMATIC_BONUS,0.25
PSEUDOYIELD_NUCLEAR_WEAPON,25.0
PSEUDOYIELD_RESOURCE_LUXURY,1.5
PSEUDOYIELD_SPACE_RACE,100.0
PSEUDOYIELD_CIVIC,5.0
PSEUDOYIELD_TECHNOLOGY,5.0
PSEUDOYIELD_TOURISM,1.0
PSEUDOYIELD_HAPPINESS,1.0
PSEUDOYIELD_STANDING_ARMY_NUMBER,1.0
PSEUDOYIELD_STANDING_ARMY_VALUE,0.1
PSEUDOYIELD_CITY_BASE,450.0
PSEUDOYIELD_CITY_DEFENSES,200.0
PSEUDOYIELD_CITY_DEFENDING_UNITS,80.0
PSEUDOYIELD_CITY_ORIGINAL_CAPITAL,200.0
PSEUDOYIELD_CITY_POPULATION,50.0
PSEUDOYIELD_GOLDENAGE_POINT,1.0
PSEUDOYIELD_GOVERNOR,2.0
PSEUDOYIELD_DIPLOMATIC_FAVOR,0.7
PSEUDOYIELD_DIPLOMATIC_VICTORY_POINT,100.0
PSEUDOYIELD_DIPLOMATIC_GRIEVANCE,-0.5
PSEUDOYIELD_RELIGIOUS_CONVERT_EMPIRE,1.0
