AgendaType,GameLimit
AGENDA_AIRPOWER,-1
AGENDA_CITY_STATE_ALLY,-1
AGENDA_CITY_STATE_PROTECTOR,-1
AGENDA_CIVILIZED,-1
AGENDA_CULTURED,-1
AGENDA_DARWINIST,3
AGENDA_DEVOUT,-1
AGENDA_ENVIRONMENTALIST,-1
AGENDA_EXPLOITATIVE,-1
AGENDA_EXPLORER,-1
AGENDA_FUN_LOVING,-1
AGENDA_GREAT_PERSON_ADVOCATE,-1
AGENDA_IDEOLOGUE,-1
AGENDA_INDUSTRIALIST,-1
AGENDA_MONEY_GRUBBER,-1
AGENDA_NUKE_LOVER,2
AGENDA_PARANOID,-1
AGENDA_POPULOUS,-1
AGENDA_STANDING_ARMY,-1
AGENDA_TECHNOPHILE,-1
AGENDA_WONDER_ADVOCATE,-1
AGENDA_GOSSIP,-1
AGENDA_SYCOPHANT,-1
AGENDA_SYMPATHIZER,-1
AGENDA_DEMAGOGUE,-1
AGENDA_DESTINATION_CIV,-1
AGENDA_EXPANSIONIST,-1
AGENDA_FLAT_EARTHER,-1
AGENDA_GREAT_WHITE_FLEET,-1
AGENDA_INTOLERANT,-1
AGENDA_LIBERTARIAN,-1
AGENDA_PILLAGER,-1
AGENDA_TURTLER,-1
AGENDA_ZEALOT,-1
