AgendaType,AgendaTag,RequiresReligion
AGENDA_AIRPOWER,AGENDA_LATE_ERA_ONLY,0
AGENDA_CITY_STATE_ALLY,AGENDA_ANY_ERA,0
AGENDA_CITY_STATE_PROTECTOR,AGENDA_EARLY_ERA_ONLY,0
AGENDA_CIVILIZED,AGENDA_EARLY_ERA_ONLY,0
AGENDA_CULTURED,AGENDA_LATE_ERA_ONLY,0
AGENDA_DARWINIST,AGENDA_LATE_ERA_ONLY,0
AGENDA_DEVOUT,AGENDA_EARLY_ERA_ONLY,0
AGENDA_ENVIRONMENTALIST,AGENDA_LATE_ERA_ONLY,0
AGENDA_EXPLOITATIVE,AGENDA_ANY_ERA,0
AGENDA_EXPLORER,AGENDA_EARLY_ERA_ONLY,0
AGENDA_FUN_LOVING,AGENDA_ANY_ERA,0
AGENDA_GREAT_PERSON_ADVOCATE,AGENDA_ANY_ERA,0
AGENDA_IDEOLOGUE,AGENDA_LATE_ERA_ONLY,0
AGENDA_INDUSTRIALIST,AGENDA_ANY_ERA,0
AGENDA_MONEY_GRUBBER,AGENDA_ANY_ERA,0
AGENDA_NUKE_LOVER,AGENDA_LATE_ERA_ONLY,0
AGENDA_PARANOID,AGENDA_ANY_ERA,0
AGENDA_POPULOUS,AGENDA_ANY_ERA,0
AGENDA_STANDING_ARMY,AGENDA_ANY_ERA,0
AGENDA_TECHNOPHILE,AGENDA_LATE_ERA_ONLY,0
AGENDA_WONDER_ADVOCATE,AGENDA_ANY_ERA,0
AGENDA_GOSSIP,AGENDA_ANY_ERA,0
AGENDA_SYCOPHANT,AGENDA_ANY_ERA,0
AGENDA_SYMPATHIZER,AGENDA_ANY_ERA,0
AGENDA_DEMAGOGUE,AGENDA_LATE_ERA_ONLY,0
AGENDA_DESTINATION_CIV,AGENDA_LATE_ERA_ONLY,0
AGENDA_EXPANSIONIST,AGENDA_ANY_ERA,0
AGENDA_FLAT_EARTHER,AGENDA_LATE_ERA_ONLY,0
AGENDA_GREAT_WHITE_FLEET,AGENDA_ANY_ERA,0
AGENDA_INTOLERANT,AGENDA_LATE_ERA_ONLY,1
AGENDA_LIBERTARIAN,AGENDA_LATE_ERA_ONLY,0
AGENDA_PILLAGER,AGENDA_EARLY_ERA_ONLY,0
AGENDA_TURTLER,AGENDA_LATE_ERA_ONLY,0
AGENDA_ZEALOT,AGENDA_LATE_ERA_ONLY,1
