RandomEventType,DamageType,Percentage,MinHP,MaxHP,CoastalLowlandPercentage,FalloutDuration,ExtraRangePercentage,MinTurn,MaxTurn
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,IMPROVEMENT_DESTROYED,75,0,0,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,IMPROVEMENT_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,DISTRICT_PILLAGED,75,0,0,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,BUILDING_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,POPULATION_LOSS,30,0,0,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,UNIT_KILLED_CIVILIAN,30,0,0,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,UNIT_DAMAGE_LAND,100,40,60,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,CITY_GARRISON,100,40,60,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,CITY_WALLS,100,40,60,,0,0,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,IMPROVEMENT_DESTROYED,80,0,0,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,IMPROVEMENT_PILLAGED,100,0,0,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,DISTRICT_PILLAGED,80,0,0,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,BUILDING_PILLAGED,100,0,0,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,POPULATION_LOSS,40,0,0,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,UNIT_KILLED_CIVILIAN,40,0,0,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,UNIT_DAMAGE_LAND,100,60,80,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,CITY_GARRISON,100,60,80,,0,40,,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,CITY_WALLS,100,60,80,,0,40,,
RANDOM_EVENT_FLOOD_MODERATE,IMPROVEMENT_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MODERATE,BUILDING_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,IMPROVEMENT_DESTROYED,50,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,IMPROVEMENT_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,DISTRICT_PILLAGED,50,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,BUILDING_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,POPULATION_LOSS,15,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,UNIT_KILLED_CIVILIAN,15,0,0,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,UNIT_DAMAGE_LAND,100,30,50,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,CITY_GARRISON,100,30,50,,0,0,,
RANDOM_EVENT_FLOOD_MAJOR,CITY_WALLS,100,30,50,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,IMPROVEMENT_DESTROYED,80,0,0,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,IMPROVEMENT_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,DISTRICT_PILLAGED,80,0,0,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,BUILDING_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,POPULATION_LOSS,25,0,0,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,UNIT_KILLED_CIVILIAN,25,0,0,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,UNIT_DAMAGE_LAND,100,50,70,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,CITY_GARRISON,100,50,70,,0,0,,
RANDOM_EVENT_FLOOD_1000_YEAR,CITY_WALLS,100,50,70,,0,0,,
RANDOM_EVENT_KILIMANJARO_GENTLE,IMPROVEMENT_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_KILIMANJARO_GENTLE,BUILDING_PILLAGED,100,0,0,,0,0,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,IMPROVEMENT_DESTROYED,80,0,0,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,IMPROVEMENT_PILLAGED,100,0,0,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,DISTRICT_PILLAGED,80,0,0,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,BUILDING_PILLAGED,100,0,0,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,POPULATION_LOSS,20,0,0,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,UNIT_KILLED_CIVILIAN,20,0,0,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,UNIT_DAMAGE_LAND,100,40,60,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,CITY_GARRISON,100,40,60,,0,50,,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,CITY_WALLS,100,40,60,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,IMPROVEMENT_DESTROYED,80,0,0,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,IMPROVEMENT_PILLAGED,100,0,0,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,DISTRICT_PILLAGED,80,0,0,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,BUILDING_PILLAGED,100,0,0,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,POPULATION_LOSS,100,0,0,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,UNIT_KILLED_CIVILIAN,100,0,0,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,UNIT_DAMAGE_LAND,100,70,90,,0,50,,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,CITY_GARRISON,100,70,90,,0,50,,
