RandomEventType,RealismSettingType,OccurrencesPerGame
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,REALISM_SETTING_LIGHT,3.0
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,REALISM_SETTING_LIGHT,2.0
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,REALISM_SETTING_MODERATE,4.0
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,REALISM_SETTING_MODERATE,2.5
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,REALISM_SETTING_HEAVY,6.0
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,REALISM_SETTING_HEAVY,4.0
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,REALISM_SETTING_HYPERREAL,6.0
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,REALISM_SETTING_HYPERREAL,4.0
RANDOM_EVENT_FLOOD_MODERATE,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_FLOOD_MAJOR,REALISM_SETTING_MINIMAL,0.6
RANDOM_EVENT_FLOOD_1000_YEAR,REALISM_SETTING_MINIMAL,0.0
RANDOM_EVENT_KILIMANJARO_GENTLE,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,REALISM_SETTING_MINIMAL,3.0
RANDOM_EVENT_VOLCANO_GENTLE,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_VOLCANO_CATASTROPHIC,REALISM_SETTING_MINIMAL,1.0
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,REALISM_SETTING_MINIMAL,0.5
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_DUST_STORM_GRADIENT,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_TORNADO_FAMILY,REALISM_SETTING_MINIMAL,4.0
RANDOM_EVENT_HURRICANE_CAT_4,REALISM_SETTING_MINIMAL,4.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC,REALISM_SETTING_MINIMAL,2.0
RANDOM_EVENT_DROUGHT_MAJOR,REALISM_SETTING_MINIMAL,6.0
