RandomEventType,ImprovementType
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_OUTBACK_STATION
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_OUTBACK_STATION
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_MEKEWAP
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_MEKEWAP
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_CAMP
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_FARM
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_PASTURE
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_PLANTATION
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_MOUND
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_TERRACE_FARM
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_CAMP
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_FARM
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_PASTURE
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_PLANTATION
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_MOUND
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_TERRACE_FARM
RANDOM_EVENT_DROUGHT_MAJOR,IMPROVEMENT_HACIENDA
RANDOM_EVENT_DROUGHT_EXTREME,IMPROVEMENT_HACIENDA
