RandomEventType,TerrainType
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,TERRAIN_SNOW
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,TERRAIN_SNOW_HILLS
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,TERRAIN_TUNDRA
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,TERRAIN_TUNDRA_HILLS
RANDOM_EVENT_BLIZZARD_CRIPPLING,TERRAIN_SNOW
RANDOM_EVENT_BLIZZARD_CRIPPLING,TERRAIN_SNOW_HILLS
RANDOM_EVENT_BLIZZARD_CRIPPLING,TERRAIN_TUNDRA
RANDOM_EVENT_BLIZZARD_CRIPPLING,TERRAIN_TUNDRA_HILLS
RANDOM_EVENT_DUST_STORM_GRADIENT,TERRAIN_DESERT
RANDOM_EVENT_DUST_STORM_GRADIENT,TERRAIN_DESERT_HILLS
RANDOM_EVENT_DUST_STORM_HABOOB,TERRAIN_DESERT
RANDOM_EVENT_DUST_STORM_HABOOB,TERRAIN_DESERT_HILLS
RANDOM_EVENT_TORNADO_FAMILY,TERRAIN_PLAINS
RANDOM_EVENT_TORNADO_FAMILY,TERRAIN_PLAINS_HILLS
RANDOM_EVENT_TORNADO_FAMILY,TERRAIN_GRASS
RANDOM_EVENT_TORNADO_FAMILY,TERRAIN_GRASS_HILLS
RANDOM_EVENT_TORNADO_OUTBREAK,TERRAIN_PLAINS
RANDOM_EVENT_TORNADO_OUTBREAK,TERRAIN_PLAINS_HILLS
RANDOM_EVENT_TORNADO_OUTBREAK,TERRAIN_GRASS
RANDOM_EVENT_TORNADO_OUTBREAK,TERRAIN_GRASS_HILLS
RANDOM_EVENT_HURRICANE_CAT_4,TERRAIN_OCEAN
RANDOM_EVENT_HURRICANE_CAT_5,TERRAIN_OCEAN
RANDOM_EVENT_DROUGHT_MAJOR,TERRAIN_PLAINS
RANDOM_EVENT_DROUGHT_MAJOR,TERRAIN_PLAINS_HILLS
RANDOM_EVENT_DROUGHT_MAJOR,TERRAIN_GRASS
RANDOM_EVENT_DROUGHT_MAJOR,TERRAIN_GRASS_HILLS
RANDOM_EVENT_DROUGHT_EXTREME,TERRAIN_PLAINS
RANDOM_EVENT_DROUGHT_EXTREME,TERRAIN_PLAINS_HILLS
RANDOM_EVENT_DROUGHT_EXTREME,TERRAIN_GRASS
RANDOM_EVENT_DROUGHT_EXTREME,TERRAIN_GRASS_HILLS
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_PLAINS
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_PLAINS_HILLS
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_GRASS
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_GRASS_HILLS
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_SNOW
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_SNOW_HILLS
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_DESERT
RANDOM_EVENT_METEOR_SHOWER,TERRAIN_DESERT_HILLS
