RandomEventType,YieldType,FeatureType,Percentage,ReplaceFeature,Amount,Turn
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,50,1,1,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,25,1,1,
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,YIELD_SCIENCE,FEATURE_VOLCANIC_SOIL,10,1,1,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,75,1,1,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,35,1,1,
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,YIELD_SCIENCE,FEATURE_VOLCANIC_SOIL,15,1,1,
RANDOM_EVENT_FLOOD_MODERATE,YIELD_FOOD,FEATURE_FLOODPLAINS,25,0,1,
RANDOM_EVENT_FLOOD_MODERATE,YIELD_FOOD,FEATURE_FLOODPLAINS_GRASSLAND,15,0,1,
RANDOM_EVENT_FLOOD_MODERATE,YIELD_FOOD,FEATURE_FLOODPLAINS_PLAINS,30,0,1,
RANDOM_EVENT_FLOOD_MAJOR,YIELD_FOOD,FEATURE_FLOODPLAINS,30,0,1,
RANDOM_EVENT_FLOOD_MAJOR,YIELD_PRODUCTION,FEATURE_FLOODPLAINS,15,0,1,
RANDOM_EVENT_FLOOD_MAJOR,YIELD_FOOD,FEATURE_FLOODPLAINS_GRASSLAND,25,0,1,
RANDOM_EVENT_FLOOD_MAJOR,YIELD_PRODUCTION,FEATURE_FLOODPLAINS_GRASSLAND,30,0,1,
RANDOM_EVENT_FLOOD_MAJOR,YIELD_FOOD,FEATURE_FLOODPLAINS_PLAINS,45,0,1,
RANDOM_EVENT_FLOOD_MAJOR,YIELD_PRODUCTION,FEATURE_FLOODPLAINS_PLAINS,10,0,1,
RANDOM_EVENT_FLOOD_1000_YEAR,YIELD_FOOD,FEATURE_FLOODPLAINS,45,0,1,
RANDOM_EVENT_FLOOD_1000_YEAR,YIELD_PRODUCTION,FEATURE_FLOODPLAINS,25,0,1,
RANDOM_EVENT_FLOOD_1000_YEAR,YIELD_FOOD,FEATURE_FLOODPLAINS_GRASSLAND,40,0,1,
RANDOM_EVENT_FLOOD_1000_YEAR,YIELD_PRODUCTION,FEATURE_FLOODPLAINS_GRASSLAND,40,0,1,
RANDOM_EVENT_FLOOD_1000_YEAR,YIELD_FOOD,FEATURE_FLOODPLAINS_PLAINS,60,0,1,
RANDOM_EVENT_FLOOD_1000_YEAR,YIELD_PRODUCTION,FEATURE_FLOODPLAINS_PLAINS,15,0,1,
RANDOM_EVENT_KILIMANJARO_GENTLE,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,50,1,1,
RANDOM_EVENT_KILIMANJARO_GENTLE,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,25,1,1,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,50,1,1,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,35,1,1,
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,YIELD_SCIENCE,FEATURE_VOLCANIC_SOIL,15,1,1,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,25,1,1,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,25,1,1,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,YIELD_SCIENCE,FEATURE_VOLCANIC_SOIL,25,1,1,
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,YIELD_CULTURE,FEATURE_VOLCANIC_SOIL,50,1,1,
RANDOM_EVENT_VOLCANO_GENTLE,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,35,1,1,
RANDOM_EVENT_VOLCANO_GENTLE,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,15,1,1,
RANDOM_EVENT_VOLCANO_CATASTROPHIC,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,50,1,1,
RANDOM_EVENT_VOLCANO_CATASTROPHIC,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,25,1,1,
RANDOM_EVENT_VOLCANO_CATASTROPHIC,YIELD_SCIENCE,FEATURE_VOLCANIC_SOIL,10,1,1,
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,YIELD_FOOD,FEATURE_VOLCANIC_SOIL,75,1,1,
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,YIELD_PRODUCTION,FEATURE_VOLCANIC_SOIL,35,1,1,
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,YIELD_SCIENCE,FEATURE_VOLCANIC_SOIL,15,1,1,
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,YIELD_FOOD,FEATURE_ICE,10,1,1,
RANDOM_EVENT_BLIZZARD_CRIPPLING,YIELD_FOOD,FEATURE_ICE,20,1,1,
RANDOM_EVENT_DUST_STORM_GRADIENT,YIELD_FOOD,FEATURE_ICE,10,1,1,
RANDOM_EVENT_DUST_STORM_GRADIENT,YIELD_PRODUCTION,FEATURE_ICE,20,1,1,
RANDOM_EVENT_DUST_STORM_HABOOB,YIELD_FOOD,FEATURE_ICE,20,1,1,
RANDOM_EVENT_DUST_STORM_HABOOB,YIELD_PRODUCTION,FEATURE_ICE,30,1,1,
RANDOM_EVENT_HURRICANE_CAT_4,YIELD_FOOD,FEATURE_ICE,30,1,1,
RANDOM_EVENT_HURRICANE_CAT_5,YIELD_FOOD,FEATURE_ICE,45,1,1,
RANDOM_EVENT_HURRICANE_CAT_5,YIELD_PRODUCTION,FEATURE_ICE,15,1,1,
RANDOM_EVENT_JUNGLE_FIRE,YIELD_FOOD,FEATURE_BURNING_JUNGLE,100,1,0,0.0
RANDOM_EVENT_JUNGLE_FIRE,YIELD_FOOD,FEATURE_BURNT_JUNGLE,100,1,1,2.0
RANDOM_EVENT_JUNGLE_FIRE,YIELD_PRODUCTION,FEATURE_JUNGLE,100,1,1,6.0
RANDOM_EVENT_FOREST_FIRE,YIELD_FOOD,FEATURE_BURNING_FOREST,100,1,0,0.0
