RandomEventType,Name,Description,LongDescription,EffectString,Severity,NaturalWonder,IceLoss,HaltsStormFertility,HaltsFloodFertility,FertilityRemovalChance,ClimateChangePoints,ChanceIncreasePerDegree,Hexes,Movement,Duration,Spacing,IconLarge,IconSmall,MinTurnAtRisk,MitigatedYieldReduction,EffectOperatorType,UnitTriggered,Global,AvoidTerritory,TargetCities
RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC,LOC_RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC_NAME,LOC_RANDOM_EVENT_EYJAFJALLAJOKULL_CATASTROPHIC_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,1,FEATURE_EYJAFJALLAJOKULL,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoActive,ClimateEventStat_Volcanoes,0,0,FEATURE,0,0,0,0
RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL,LOC_RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL_NAME,LOC_RANDOM_EVENT_EYJAFJALLAJOKULL_MEGACOLOSSAL_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,2,FEATURE_EYJAFJALLAJOKULL,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoActive,ClimateEventStat_Volcanoes,0,0,FEATURE,0,0,0,0
RANDOM_EVENT_FLOOD_MODERATE,LOC_RANDOM_EVENT_FLOOD_MODERATE_NAME,LOC_RANDOM_EVENT_FLOOD_MODERATE_DESCRIPTION,,LOC_RANDOM_EVENT_PROP_DAMAGE_FERTILITY,0,,0,0,0,0,0,20,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,50,FLOODPLAIN,0,0,0,0
RANDOM_EVENT_FLOOD_MAJOR,LOC_RANDOM_EVENT_FLOOD_MAJOR_NAME,LOC_RANDOM_EVENT_FLOOD_MAJOR_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,1,,0,0,0,0,0,20,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,50,FLOODPLAIN,0,0,0,0
RANDOM_EVENT_FLOOD_1000_YEAR,LOC_RANDOM_EVENT_FLOOD_1000_YEAR_NAME,LOC_RANDOM_EVENT_FLOOD_1000_YEAR_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,2,,0,0,0,0,0,20,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,50,FLOODPLAIN,0,0,0,0
RANDOM_EVENT_KILIMANJARO_GENTLE,LOC_RANDOM_EVENT_KILIMANJARO_GENTLE_NAME,LOC_RANDOM_EVENT_VOLCANO_GENTLE_DESCRIPTION,,LOC_RANDOM_EVENT_PROP_DAMAGE_FERTILITY,0,FEATURE_KILIMANJARO,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoInactive,ClimateEventStat_Volcanoes,0,0,FEATURE,0,0,0,0
RANDOM_EVENT_KILIMANJARO_CATASTROPHIC,LOC_RANDOM_EVENT_KILIMANJARO_CATASTROPHIC_NAME,LOC_RANDOM_EVENT_KILIMANJARO_CATASTROPHIC_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,1,FEATURE_KILIMANJARO,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoActive,ClimateEventStat_Volcanoes,0,0,FEATURE,0,0,0,0
RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL,LOC_RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL_NAME,LOC_RANDOM_EVENT_VESUVIUS_MEGACOLOSSAL_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,2,FEATURE_VESUVIUS,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoErupting,ClimateEventStat_Volcanoes,0,0,FEATURE,0,0,0,0
RANDOM_EVENT_VOLCANO_GENTLE,LOC_RANDOM_EVENT_VOLCANO_GENTLE_NAME,LOC_RANDOM_EVENT_VOLCANO_GENTLE_DESCRIPTION,,LOC_RANDOM_EVENT_PROP_DAMAGE_FERTILITY,0,,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoInactive,ClimateEventStat_Volcanoes,0,0,VOLCANO,0,0,0,0
RANDOM_EVENT_VOLCANO_CATASTROPHIC,LOC_RANDOM_EVENT_VOLCANO_CATASTROPHIC_NAME,LOC_RANDOM_EVENT_VOLCANO_CATASTROPHIC_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,1,,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoActive,ClimateEventStat_Volcanoes,0,0,VOLCANO,0,0,0,0
RANDOM_EVENT_VOLCANO_MEGACOLOSSAL,LOC_RANDOM_EVENT_VOLCANO_MEGACOLOSSAL_NAME,LOC_RANDOM_EVENT_VOLCANO_MEGACOLOSSAL_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,2,,0,0,0,0,0,0,0,0,0,0,ClimateEvent_VolcanoErupting,ClimateEventStat_Volcanoes,0,0,VOLCANO,0,0,0,0
RANDOM_EVENT_BLIZZARD_SIGNIFICANT,LOC_RANDOM_EVENT_BLIZZARD_SIGNIFICANT_NAME,LOC_RANDOM_EVENT_BLIZZARD_SIGNIFICANT_DESCRIPTION,,LOC_RANDOM_EVENT_PROP_DAMAGE_NO_FERTILITY,1,,0,0,0,0,0,0,7,8,3,15,ClimateEvent_Blizzard,ClimateEventStat_Blizzard,0,0,STORM,0,0,0,0
RANDOM_EVENT_BLIZZARD_CRIPPLING,LOC_RANDOM_EVENT_BLIZZARD_CRIPPLING_NAME,LOC_RANDOM_EVENT_BLIZZARD_CRIPPLING_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_NO_FERTILITY,2,,0,0,0,0,0,50,19,8,3,15,ClimateEvent_Blizzard,ClimateEventStat_Blizzard,0,0,STORM,0,0,0,0
RANDOM_EVENT_DUST_STORM_GRADIENT,LOC_RANDOM_EVENT_DUST_STORM_GRADIENT_NAME,LOC_RANDOM_EVENT_DUST_STORM_GRADIENT_DESCRIPTION,,LOC_RANDOM_EVENT_PROP_DAMAGE_FERTILITY,1,,0,0,0,0,0,0,3,8,3,15,ClimateEvent_DustStorm,ClimateEventStat_DustStorm,0,0,STORM,0,0,0,0
RANDOM_EVENT_DUST_STORM_HABOOB,LOC_RANDOM_EVENT_DUST_STORM_HABOOB_NAME,LOC_RANDOM_EVENT_DUST_STORM_HABOOB_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,2,,0,0,0,0,0,50,7,8,3,15,ClimateEvent_DustStorm,ClimateEventStat_DustStorm,0,0,STORM,0,0,0,0
RANDOM_EVENT_TORNADO_FAMILY,LOC_RANDOM_EVENT_TORNADO_FAMILY_NAME,LOC_RANDOM_EVENT_TORNADO_FAMILY_DESCRIPTION,,LOC_RANDOM_EVENT_PROP_DAMAGE_NO_FERTILITY,1,,0,0,0,0,0,0,1,8,3,15,ClimateEvent_Tornado,ClimateEventStat_Tornado,0,0,STORM,0,0,0,0
RANDOM_EVENT_TORNADO_OUTBREAK,LOC_RANDOM_EVENT_TORNADO_OUTBREAK_NAME,LOC_RANDOM_EVENT_TORNADO_OUTBREAK_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_NO_FERTILITY,2,,0,0,0,0,0,50,3,8,3,15,ClimateEvent_Tornado,ClimateEventStat_Tornado,0,0,STORM,0,0,0,0
RANDOM_EVENT_HURRICANE_CAT_4,LOC_RANDOM_EVENT_HURRICANE_CAT_4_NAME,LOC_RANDOM_EVENT_HURRICANE_CAT_4_DESCRIPTION,,LOC_RANDOM_EVENT_PROP_NAVAL_DAMAGE_FERTILITY,1,,0,0,0,0,0,0,7,8,3,15,ClimateEvent_Hurricane,ClimateEventStat_Storms,0,0,STORM,0,0,0,0
RANDOM_EVENT_HURRICANE_CAT_5,LOC_RANDOM_EVENT_HURRICANE_CAT_5_NAME,LOC_RANDOM_EVENT_HURRICANE_CAT_5_DESCRIPTION,,LOC_RANDOM_EVENT_ALL_DAMAGE_FERTILITY,2,,0,0,0,0,0,50,19,8,3,15,ClimateEvent_Hurricane,ClimateEventStat_Storms,0,0,STORM,0,0,0,0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR,LOC_RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR_NAME,LOC_RANDOM_EVENT_NUCLEAR_ACCIDENT_MINOR_DESCRIPTION,,,0,,0,0,0,0,0,0,0,0,0,0,ICON_NOTIFICATION_NUCLEAR_ACCIDENT_SEV0,ICON_NOTIFICATION_NUCLEAR_ACCIDENT_SEV0,10,0,NUCLEAR_ACCIDENT,0,0,0,0
RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR,LOC_RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR_NAME,LOC_RANDOM_EVENT_NUCLEAR_ACCIDENT_MAJOR_DESCRIPTION,,,1,,0,0,0,0,0,0,0,0,0,0,ICON_NOTIFICATION_NUCLEAR_ACCIDENT_SEV1,ICON_NOTIFICATION_NUCLEAR_ACCIDENT_SEV1,20,0,NUCLEAR_ACCIDENT,0,0,0,0
RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC,LOC_RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC_NAME,LOC_RANDOM_EVENT_NUCLEAR_ACCIDENT_CATASTROPHIC_DESCRIPTION,,,2,,0,0,0,0,0,0,0,0,0,0,ICON_NOTIFICATION_NUCLEAR_ACCIDENT_SEV2,ICON_NOTIFICATION_NUCLEAR_ACCIDENT_SEV2,30,0,NUCLEAR_ACCIDENT,0,0,0,0
RANDOM_EVENT_DROUGHT_MAJOR,LOC_RANDOM_EVENT_DROUGHT_MAJOR_NAME,LOC_RANDOM_EVENT_DROUGHT_MAJOR_DESCRIPTION,,LOC_RANDOM_EVENT_DROUGHT_DAMAGE,0,,0,0,0,0,0,0,7,0,5,15,ClimateEvent_Drought,ClimateEventStat_Drought,0,0,DROUGHT,0,0,0,0
RANDOM_EVENT_DROUGHT_EXTREME,LOC_RANDOM_EVENT_DROUGHT_EXTREME_NAME,LOC_RANDOM_EVENT_DROUGHT_EXTREME_DESCRIPTION,,LOC_RANDOM_EVENT_DROUGHT_DAMAGE,1,,0,0,0,0,0,50,7,0,10,15,ClimateEvent_Drought,ClimateEventStat_Drought,0,0,DROUGHT,0,0,0,0
RANDOM_EVENT_SEA_LEVEL_RISE1,LOC_RANDOM_EVENT_SEA_LEVEL_RISE1_NAME,LOC_RANDOM_EVENT_SEA_LEVEL_RISE1_DESCRIPTION,,,1,,10,0,0,0,2,0,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,0,SEA_LEVEL,0,0,0,0
RANDOM_EVENT_SEA_LEVEL_RISE2,LOC_RANDOM_EVENT_SEA_LEVEL_RISE2_NAME,LOC_RANDOM_EVENT_SEA_LEVEL_RISE2_DESCRIPTION,,,2,,20,0,0,0,3,0,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,0,SEA_LEVEL,0,0,0,0
RANDOM_EVENT_SEA_LEVEL_RISE3,LOC_RANDOM_EVENT_SEA_LEVEL_RISE3_NAME,LOC_RANDOM_EVENT_SEA_LEVEL_RISE3_DESCRIPTION,,,3,,30,0,0,0,4,0,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,0,SEA_LEVEL,0,0,0,0
RANDOM_EVENT_SEA_LEVEL_RISE4,LOC_RANDOM_EVENT_SEA_LEVEL_RISE4_NAME,LOC_RANDOM_EVENT_SEA_LEVEL_RISE4_DESCRIPTION,LOC_RANDOM_EVENT_SEA_LEVEL_RISE4_LONG_DESCRIPTION,,4,,40,1,1,0,5,0,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,0,SEA_LEVEL,0,0,0,0
RANDOM_EVENT_SEA_LEVEL_RISE5,LOC_RANDOM_EVENT_SEA_LEVEL_RISE5_NAME,LOC_RANDOM_EVENT_SEA_LEVEL_RISE5_DESCRIPTION,LOC_RANDOM_EVENT_SEA_LEVEL_RISE5_LONG_DESCRIPTION,,5,,55,1,1,15,6,0,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,0,SEA_LEVEL,0,0,0,0
RANDOM_EVENT_SEA_LEVEL_RISE6,LOC_RANDOM_EVENT_SEA_LEVEL_RISE6_NAME,LOC_RANDOM_EVENT_SEA_LEVEL_RISE6_DESCRIPTION,LOC_RANDOM_EVENT_SEA_LEVEL_RISE6_LONG_DESCRIPTION,,6,,70,1,1,30,7,0,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,0,SEA_LEVEL,0,0,0,0
RANDOM_EVENT_SEA_LEVEL_RISE7,LOC_RANDOM_EVENT_SEA_LEVEL_RISE7_NAME,LOC_RANDOM_EVENT_SEA_LEVEL_RISE7_DESCRIPTION,LOC_RANDOM_EVENT_SEA_LEVEL_RISE7_LONG_DESCRIPTION,,7,,85,1,1,45,8,0,0,0,0,0,ClimateEvent_Flood,ClimateEventStat_Flooding,0,0,SEA_LEVEL,0,0,0,0
RANDOM_EVENT_METEOR_SHOWER,LOC_RANDOM_EVENT_METEOR_SHOWER_NAME,LOC_RANDOM_EVENT_METEOR_SHOWER_DESCRIPTION,,LOC_RANDOM_EVENT_METEOR_SHOWER_EFFECT_DESCRIPTION,1,,0,0,0,0,0,0,1,0,0,0,ClimateEvent_MeteorShowers,ClimateEventStat_MeteorShowers,0,0,METEOR_SHOWER,0,0,1,0
RANDOM_EVENT_JUNGLE_FIRE,LOC_RANDOM_EVENT_FOREST_FIRE_NAME,LOC_RANDOM_EVENT_FOREST_FIRE_DESCRIPTION,,LOC_RANDOM_EVENT_FIRE_EFFECT_DESCRIPTION,1,,0,0,0,0,0,50,1,0,9,0,ClimateEvent_ForestFire,ClimateEventStat_ForestFire,0,0,FIRE,0,0,0,0
