ReligionType,Name,IconString,Pantheon,RequiresCustomName,Color
RELIGION_PANTHEON,LOC_RELIGION_PANTHEON,Pa,1,0,COLOR_RELIGION_PANTHEON
RELIGION_BUDDHISM,LOC_RELIGION_BUDDHISM,Bu,0,0,COLOR_RELIGION_BUDDHISM
RELIGION_CATHOLICISM,LOC_RELIGION_CATHOLICISM,Ca,0,0,COLOR_RELIGION_CATHOLICISM
RELIGION_CONFUCIANISM,LOC_RELIGION_CONFUCIANISM,Co,0,0,COLOR_RELIGION_CONFUCIANISM
RELIGION_HINDUISM,LOC_RELIGION_HINDUISM,Hi,0,0,COLOR_RELIGION_HINDUISM
RELIGION_ISLAM,LOC_RELIGION_ISLAM,Is,0,0,COLOR_RELIGION_ISLAM
RELIGION_JUDAISM,LOC_RELIGION_JUDAISM,Ju,0,0,COLOR_RELIGION_JUDAISM
RELIGION_ORTHODOXY,LOC_RELIGION_ORTHODOXY,Or,0,0,COLOR_RELIGION_ORTHODOXY
RELIGION_PROTESTANTISM,LOC_RELIGION_PROTESTANTISM,Pr,0,0,COLOR_RELIGION_PROTESTANTISM
RELIGION_SHINTO,LOC_RELIGION_SHINTO,Sh,0,0,COLOR_RELIGION_SHINTO
RELIGION_SIKHISM,LOC_RELIGION_SIKHISM,Si,0,0,COLOR_RELIGION_SIKHISM
RELIGION_TAOISM,LOC_RELIGION_TAOISM,Ta,0,0,COLOR_RELIGION_TAOISM
RELIGION_ZOROASTRIANISM,LOC_RELIGION_ZOROASTRIANISM,Zo,0,0,COLOR_RELIGION_ZOROASTRIANISM
RELIGION_CUSTOM_1,LOC_RELIGION_CUSTOM,1,0,1,COLOR_RELIGION_CUSTOM_1
RELIGION_CUSTOM_2,LOC_RELIGION_CUSTOM,2,0,1,COLOR_RELIGION_CUSTOM_2
RELIGION_CUSTOM_3,LOC_RELIGION_CUSTOM,3,0,1,COLOR_RELIGION_CUSTOM_3
RELIGION_CUSTOM_4,LOC_RELIGION_CUSTOM,4,0,1,COLOR_RELIGION_CUSTOM_4
RELIGION_CUSTOM_5,LOC_RELIGION_CUSTOM,5,0,1,COLOR_RELIGION_CUSTOM_5
RELIGION_CUSTOM_6,LOC_RELIGION_CUSTOM,6,0,1,COLOR_RELIGION_CUSTOM_6
RELIGION_CUSTOM_7,LOC_RELIGION_CUSTOM,7,0,1,COLOR_RELIGION_CUSTOM_7
RELIGION_CUSTOM_8,LOC_RELIGION_CUSTOM,8,0,1,COLOR_RELIGION_CUSTOM_8
RELIGION_CUSTOM_9,LOC_RELIGION_CUSTOM,9,0,1,COLOR_RELIGION_CUSTOM_9
RELIGION_CUSTOM_10,LOC_RELIGION_CUSTOM,10,0,1,COLOR_RELIGION_CUSTOM_10
RELIGION_CUSTOM_11,LOC_RELIGION_CUSTOM,11,0,1,COLOR_RELIGION_CUSTOM_11
RELIGION_CUSTOM_12,LOC_RELIGION_CUSTOM,12,0,1,COLOR_RELIGION_CUSTOM_12
