RequirementId,Name,Type,Value,Extra,SecondExtra
REQUIRES_PLAYER_DECLARED_SURPRISE_WAR,WarType,ARGTYPE_IDENTITY,SURPRISE_WAR,,
REQUIRES_PLAYER_DECLARED_SURPRISE_WAR,WhileMet,ARGTYPE_IDENTITY,1,,
REQUIRES_PLAYER_DECLARED_JOINT_WAR,WarType,ARGTYPE_IDENTITY,JOINT_WAR,,
REQUIRES_MET_10_TURNS_AGO,TurnsAgo,ARGTYPE_IDENTITY,10,,
REQUIRES_MET_30_TURNS_AGO,TurnsAgo,ARGTYPE_IDENTITY,30,,
REQUIRES_RELIGION_NOT_RECEIVED,FoundingDelay,ARGTYPE_IDENTITY,10,,
REQUIRES_LAGS_GREAT_PEOPLE,GreatPersonRatio,ARGTYPE_IDENTITY,-1.2,,
REQUIRES_LAGS_GREAT_PEOPLE,MinimumDelta,ARGTYPE_IDENTITY,2,,
REQUIRES_LEADS_GREAT_PEOPLE,GreatPersonRatio,ARGTYPE_IDENTITY,1.2,,
REQUIRES_LEADS_GREAT_PEOPLE,MinimumDelta,ARGTYPE_IDENTITY,2,,
REQUIRES_HAS_HIGH_CULTURE,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_HIGH_CULTURE,YieldType,ARGTYPE_IDENTITY,YIELD_CULTURE,,
REQUIRES_HAS_HIGH_CULTURE,YieldRatio,ARGTYPE_IDENTITY,1.15,,
REQUIRES_HAS_LOW_CULTURE,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_LOW_CULTURE,YieldType,ARGTYPE_IDENTITY,YIELD_CULTURE,,
REQUIRES_HAS_LOW_CULTURE,YieldRatio,ARGTYPE_IDENTITY,-1.15,,
REQUIRES_HIGH_CITY_STATE_PROTECTION,NoUpperBound,ARGTYPE_IDENTITY,1,,
REQUIRES_HIGH_CITY_STATE_PROTECTION,LowerBound,ARGTYPE_IDENTITY,2,,
REQUIRES_MED_CITY_STATE_PROTECTION,UpperBound,ARGTYPE_IDENTITY,1,,
REQUIRES_MED_CITY_STATE_PROTECTION,LowerBound,ARGTYPE_IDENTITY,1,,
REQUIRES_MED_CITY_STATE_AGGRESSION,UpperBound,ARGTYPE_IDENTITY,-1,,
REQUIRES_MED_CITY_STATE_AGGRESSION,LowerBound,ARGTYPE_IDENTITY,-1,,
REQUIRES_HIGH_CITY_STATE_AGGRESSION,NoLowerBound,ARGTYPE_IDENTITY,1,,
REQUIRES_HIGH_CITY_STATE_AGGRESSION,UpperBound,ARGTYPE_IDENTITY,-2,,
REQUIRES_HAS_HIGH_EXPLORATION,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_HIGH_EXPLORATION,ExplorationRatio,ARGTYPE_IDENTITY,1.1,,
REQUIRES_HAS_LOW_EXPLORATION,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_LOW_EXPLORATION,ExplorationRatio,ARGTYPE_IDENTITY,-1.1,,
REQUIRES_CLEARS_BARBARIAN_CAMPS,ClearedCampValue,ARGTYPE_IDENTITY,1,,
REQUIRES_CLEARS_BARBARIAN_CAMPS,IgnoredCampValue,ARGTYPE_IDENTITY,1,,
REQUIRES_CLEARS_BARBARIAN_CAMPS,CampToCityDistance,ARGTYPE_IDENTITY,10,,
REQUIRES_CLEARS_BARBARIAN_CAMPS,TotalScoreThreshold,ARGTYPE_IDENTITY,0,,
REQUIRES_IGNORES_BARBARIAN_CAMPS,ClearedCampValue,ARGTYPE_IDENTITY,1,,
REQUIRES_IGNORES_BARBARIAN_CAMPS,IgnoredCampValue,ARGTYPE_IDENTITY,1,,
REQUIRES_IGNORES_BARBARIAN_CAMPS,CampToCityDistance,ARGTYPE_IDENTITY,10,,
REQUIRES_IGNORES_BARBARIAN_CAMPS,TotalScoreThreshold,ARGTYPE_IDENTITY,1,,
REQUIRES_IGNORES_BARBARIAN_CAMPS,BelowThreshold,ARGTYPE_IDENTITY,1,,
REQUIRES_HAS_HIGH_FAITH,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_HIGH_FAITH,YieldType,ARGTYPE_IDENTITY,YIELD_FAITH,,
REQUIRES_HAS_HIGH_FAITH,YieldRatio,ARGTYPE_IDENTITY,1.15,,
REQUIRES_HAS_LOW_FAITH,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_LOW_FAITH,YieldType,ARGTYPE_IDENTITY,YIELD_FAITH,,
REQUIRES_HAS_LOW_FAITH,YieldRatio,ARGTYPE_IDENTITY,-1.15,,
REQUIRES_HAS_HIGH_INDUSTRY,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_HIGH_INDUSTRY,YieldType,ARGTYPE_IDENTITY,YIELD_PRODUCTION,,
REQUIRES_HAS_HIGH_INDUSTRY,YieldRatio,ARGTYPE_IDENTITY,1.15,,
REQUIRES_HAS_LOW_INDUSTRY,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_LOW_INDUSTRY,YieldType,ARGTYPE_IDENTITY,YIELD_PRODUCTION,,
REQUIRES_HAS_LOW_INDUSTRY,YieldRatio,ARGTYPE_IDENTITY,-1.15,,
REQUIRES_HAS_HIGH_SCIENCE,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_HIGH_SCIENCE,YieldType,ARGTYPE_IDENTITY,YIELD_SCIENCE,,
REQUIRES_HAS_HIGH_SCIENCE,YieldRatio,ARGTYPE_IDENTITY,1.15,,
REQUIRES_HAS_LOW_SCIENCE,MinimumDelta,ARGTYPE_IDENTITY,5,,
REQUIRES_HAS_LOW_SCIENCE,YieldType,ARGTYPE_IDENTITY,YIELD_SCIENCE,,
REQUIRES_HAS_LOW_SCIENCE,YieldRatio,ARGTYPE_IDENTITY,-1.15,,
REQUIRES_HAS_HIGH_HAPPINESS,MinimumDelta,ARGTYPE_IDENTITY,2,,
