RequirementSetId,RequirementId
PLAYER_DECLARES_SURPRISE_WAR,REQUIRES_PLAYER_DECLARED_SURPRISE_WAR
PLAYER_DECLARES_SURPRISE_WAR,REQUIRES_PLAYERS_HAVE_MET
PLAYER_DECLARES_SURPRISE_WAR,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_DECLARES_JOINT_WAR,REQUIRES_PLAYER_DECLARED_JOINT_WAR
PLAYER_DECLARES_JOINT_WAR,REQUIRES_PLAYERS_HAVE_MET
PLAYER_DECLARES_WAR,REQUIRES_PLAYER_DECLARED_WAR
PLAYER_DECLARES_WAR,REQUIRES_PLAYERS_HAVE_MET
PLAYER_DECLARES_WAR,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_IS_KNOWN_MAJOR_CIV_AT_WAR,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_IS_KNOWN_MAJOR_CIV_AT_WAR,REQUIRES_PLAYERS_HAVE_MET
PLAYER_IS_KNOWN_MAJOR_CIV_AT_WAR,REQUIRES_AT_WAR_AND_HAS_MET
PLAYER_IS_KNOWN_MAJOR_CIV_AT_WAR,REQUIRES_MET_10_TURNS_AGO
PLAYER_WITH_SHIELD_OR_ON_IT,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_WITH_SHIELD_OR_ON_IT,REQUIRES_PLAYERS_HAVE_MET
PLAYER_WITH_SHIELD_OR_ON_IT,REQUIRES_MET_10_TURNS_AGO
PLAYER_WITH_SHIELD_OR_ON_IT,REQUIRES_PLAYER_WITH_SHIELD_OR_ON_IT
PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,REQUIRES_MET_10_TURNS_AGO
PLAYER_IS_MAJOR_CIV_KNOWN_30_TURNS,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_IS_MAJOR_CIV_KNOWN_30_TURNS,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_DESIRED_LUXURY,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_DESIRED_LUXURY,REQUIRES_MET_10_TURNS_AGO
PLAYER_HAS_DESIRED_LUXURY,REQUIRES_HAS_DESIRED_LUXURY
PLAYER_HAS_NO_DESIRED_LUXURY,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_NO_DESIRED_LUXURY,REQUIRES_MET_10_TURNS_AGO
PLAYER_HAS_NO_DESIRED_LUXURY,REQUIRES_HAS_NO_DESIRED_LUXURY
PLAYER_ATTACKED_CONTINENT,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_ATTACKED_CONTINENT,REQUIRES_PLAYERS_HAVE_MET
PLAYER_ATTACKED_CONTINENT,REQUIRES_ATTACKED_CONTINENT
PLAYER_PEACEFUL_ON_CONTINENT,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_PEACEFUL_ON_CONTINENT,REQUIRES_MET_10_TURNS_AGO
PLAYER_PEACEFUL_ON_CONTINENT,REQUIRES_PEACEFUL_ON_CONTINENT
PLAYER_LAGS_GREAT_PEOPLE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_LAGS_GREAT_PEOPLE,REQUIRES_MET_10_TURNS_AGO
PLAYER_LAGS_GREAT_PEOPLE,REQUIRES_LAGS_GREAT_PEOPLE
PLAYER_LEADS_GREAT_PEOPLE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_LEADS_GREAT_PEOPLE,REQUIRES_MET_10_TURNS_AGO
PLAYER_LEADS_GREAT_PEOPLE,REQUIRES_LEADS_GREAT_PEOPLE
PLAYER_HAS_HIGH_CULTURE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_CULTURE,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_CULTURE,REQUIRES_HAS_HIGH_CULTURE
PLAYER_HAS_LOW_CULTURE,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_LOW_CULTURE,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_LOW_CULTURE,REQUIRES_HAS_LOW_CULTURE
PLAYER_HAS_HIGH_CITY_STATE_PROTECTION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_HIGH_CITY_STATE_PROTECTION,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_HIGH_CITY_STATE_PROTECTION,REQUIRES_HIGH_CITY_STATE_PROTECTION
PLAYER_HAS_MED_CITY_STATE_PROTECTION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_MED_CITY_STATE_PROTECTION,REQUIRES_MET_30_TURNS_AGO
PLAYER_HAS_MED_CITY_STATE_PROTECTION,REQUIRES_MED_CITY_STATE_PROTECTION
PLAYER_HAS_MED_CITY_STATE_AGGRESSION,REQUIRES_MAJOR_CIV_OPPONENT
PLAYER_HAS_MED_CITY_STATE_AGGRESSION,REQUIRES_MET_30_TURNS_AGO
