RequirementSetId,RequirementSetType
PLAYER_DECLARES_SURPRISE_WAR,REQUIREMENTSET_TEST_ALL
PLAYER_DECLARES_JOINT_WAR,REQUIREMENTSET_TEST_ALL
PLAYER_DECLARES_WAR,REQUIREMENTSET_TEST_ALL
PLAYER_IS_KNOWN_MAJOR_CIV_AT_WAR,REQUIREMENTSET_TEST_ALL
PLAYER_WITH_SHIELD_OR_ON_IT,REQUIREMENTSET_TEST_ALL
PLAYER_IS_MAJOR_CIV_KNOWN_10_TURNS,REQUIREMENTSET_TEST_ALL
PLAYER_IS_MAJOR_CIV_KNOWN_30_TURNS,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_DESIRED_LUXURY,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_NO_DESIRED_LUXURY,REQUIREMENTSET_TEST_ALL
PLAYER_ATTACKED_CONTINENT,REQUIREMENTSET_TEST_ALL
PLAYER_PEACEFUL_ON_CONTINENT,REQUIREMENTSET_TEST_ALL
PLAYER_LAGS_GREAT_PEOPLE,REQUIREMENTSET_TEST_ALL
PLAYER_LEADS_GREAT_PEOPLE,REQUIREMENTSET_TEST_ALL
PLAYER_LAGS_WONDERS,REQUIREMENTSET_TEST_ALL
PLAYER_LEADS_WONDERS,REQUIREMENTSET_TEST_ALL
PLAYER_LAGS_PROGRESS,REQUIREMENTSET_TEST_ALL
PLAYER_LEADS_PROGRESS,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_CULTURE,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_CULTURE,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_CITY_STATE_PROTECTION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_MED_CITY_STATE_PROTECTION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_MED_CITY_STATE_AGGRESSION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_CITY_STATE_AGGRESSION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_FAITH,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_FAITH,REQUIREMENTSET_TEST_ALL
PLAYER_CLEARS_BARBARIAN_CAMPS,REQUIREMENTSET_TEST_ALL
PLAYER_IGNORES_BARBARIAN_CAMPS,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_EXPLORATION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_EXPLORATION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_HAPPINESS,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_HAPPINESS,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_INCOME,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_INCOME,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_INDUSTRY,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_INDUSTRY,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_POPULATION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_POPULATION,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_SCIENCE,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_SCIENCE,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_STANDING_ARMY,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_STANDING_ARMY,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_AIRPOWER,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_AIRPOWER,REQUIREMENTSET_TEST_ALL
AGENDA_REQUIRE_PLAYER_HAS_SAME_GOVERNMENT,REQUIREMENTSET_TEST_ALL
AGENDA_REQUIRE_PLAYER_HAS_DIFFERENT_GOVERNMENT,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_HIGH_NUKE_LOVE,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_NUCLEAR_FISSION_REQUIREMENT,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_LOW_NUKE_LOVE,REQUIREMENTSET_TEST_ALL
PLAYER_NOT_WARMONGER_SUBJECT,REQUIREMENTSET_TEST_ALL
PLAYER_SAME_RELIGION,REQUIREMENTSET_TEST_ALL
PLAYER_ENCROACHING_RELIGION,REQUIREMENTSET_TEST_ALL
PLAYERS_ARE_NEIGHBORS,REQUIREMENTSET_TEST_ALL
PLAYERS_ARE_NOT_NEIGHBORS,REQUIREMENTSET_TEST_ALL
PLAYER_NOT_COMPETING_MINORS,REQUIREMENTSET_TEST_ALL
PLAYER_COMPETING_MINORS,REQUIREMENTSET_TEST_ALL
PLAYER_RELIGION_RECEIVED,REQUIREMENTSET_TEST_ALL
PLAYER_RELIGION_NOT_RECEIVED,REQUIREMENTSET_TEST_ALL
PLAYER_NOT_INVOLVED_MINORS,REQUIREMENTSET_TEST_ALL
PLAYER_CONQUERING_ALLYING_MINORS,REQUIREMENTSET_TEST_ALL
PLAYER_SAME_HOME_CONTINENT,REQUIREMENTSET_TEST_ALL
PLAYER_ON_NEW_CONTINENT,REQUIREMENTSET_TEST_ALL
CITY_FOLLOWS_PANTHEON_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
CITY_FOLLOWS_RELIGION_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
CITY_FOLLOWS_RELIGION_WITH_2 DISTRICTS_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
CITY_FOLLOWS_RELIGION_HAS_SHRINE,REQUIREMENTSET_TEST_ALL
CITY_FOLLOWS_RELIGION_HAS_TEMPLE,REQUIREMENTSET_TEST_ALL
CITY_FOLLOWS_RELIGION_HAS_STAVE,REQUIREMENTSET_TEST_ALL
CITY_HAS_0_SPECIALTY_DISTRICTS_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLAYER_FOUNDED_RELIGION_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
DEFENDER_OF_FAITH_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
JUST_WAR_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_HOLY_SITE_RIVER_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_REEDS_REQUIREMENTS,REQUIREMENTSET_TEST_ANY
PLOT_HAS_FISHINGBOATS_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_PASTURE_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_CAMP_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_QUARRY_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_BONUS_MINE_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_LUXURY_MINE_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_STRATEGIC_MINE_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_PLANTATION_TAG_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_PLANTATION_TAG2_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_EIGHT_INCLUDE_HOLY_SITE,REQUIREMENTSET_TEST_ALL
PLOT_ADJACENT_INCLUDE_HOLY_SITE,REQUIREMENTSET_TEST_ALL
PLAYER_HAS_PANTHEON_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_CHARMING_APPEAL,REQUIREMENTSET_TEST_ALL
RESOURCE_IS_RICE,REQUIREMENTSET_TEST_ALL
RESOURCE_IS_WHEAT,REQUIREMENTSET_TEST_ALL
CITY_HAS_CHICHEN_ITZA_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_JUNGLE_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
CITY_HAS_LIGHTHOUSE_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PLOT_HAS_COAST_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
PETRA_YIELD_MODIFIER_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
RUHR_VALLEY_PRODUCTION_MODIFIER_REQUIREMENTS,REQUIREMENTSET_TEST_ANY
CITY_HAS_SEAPORT_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
BARRACKS_UNIT_REQUIREMENTS,REQUIREMENTSET_TEST_ANY
STABLE_UNIT_REQUIREMENTS,REQUIREMENTSET_TEST_ANY
ARMORY_LAND_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
MILITARYACADEMY_XP_LAND_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
LIGHTHOUSE_SEA_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
SHIPYARD_SEA_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
SEAPORT_SEA_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
HANGAR_UNIT_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
AIRPORT_UNIT_REQUIREMENTS,REQUIREMENTSET_TEST_ALL
MOSQUE_RELIGIOUS_UNIT,REQUIREMENTSET_TEST_ALL
