RequirementId,RequirementType,Likeliness,Impact,Inverse,Reverse,Persistent,ProgressWeight,Triggered
REQUIRES_PLAYER_DECLARED_SURPRISE_WAR,REQUIREMENT_PLAYER_DECLARED_WAR,0,0,0,0,0,1,1
REQUIRES_PLAYER_DECLARED_JOINT_WAR,REQUIREMENT_PLAYER_DECLARED_WAR,0,0,0,0,0,1,0
REQUIRES_AT_WAR_AND_HAS_MET,REQUIREMENT_PLAYER_AT_WAR_AND_HAS_MET,0,0,1,0,0,1,0
REQUIRES_PLAYER_WITH_SHIELD_OR_ON_IT,REQUIREMENT_PLAYER_WITH_SHIELD_OR_ON_IT,0,0,0,0,0,1,0
REQUIRES_MET_10_TURNS_AGO,REQUIREMENT_PLAYER_MET_X_TURNS_AGO,0,0,0,0,0,1,0
REQUIRES_MET_30_TURNS_AGO,REQUIREMENT_PLAYER_MET_X_TURNS_AGO,0,0,0,0,0,1,0
REQUIRES_HAS_DESIRED_LUXURY,REQUIREMENT_PLAYER_HAS_DESIRED_LUXURY,0,0,0,0,0,1,0
REQUIRES_HAS_NO_DESIRED_LUXURY,REQUIREMENT_PLAYER_HAS_DESIRED_LUXURY,0,0,1,0,0,1,0
REQUIRES_ATTACKED_CONTINENT,REQUIREMENT_PLAYER_ATTACKED_CONTINENT,0,0,0,0,0,1,0
REQUIRES_NEIGHBOR_CIVS,REQUIREMENT_PLAYER_IS_NEIGHBOR,0,0,0,0,0,1,0
REQUIRES_NOT_NEIGHBOR_CIVS,REQUIREMENT_PLAYER_IS_NEIGHBOR,0,0,1,0,0,1,0
REQUIRES_PEACEFUL_ON_CONTINENT,REQUIREMENT_PLAYER_PEACEFUL_ON_CONTINENT,0,0,0,0,0,1,0
REQUIRES_LAGS_GREAT_PEOPLE,REQUIREMENT_PLAYER_GOT_GREAT_PERSON,0,0,0,0,0,1,0
REQUIRES_LEADS_GREAT_PEOPLE,REQUIREMENT_PLAYER_GOT_GREAT_PERSON,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_CULTURE,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_CULTURE,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
REQUIRES_HIGH_CITY_STATE_PROTECTION,REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,0,0,0,0,0,1,0
REQUIRES_MED_CITY_STATE_PROTECTION,REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,0,0,0,0,0,1,0
REQUIRES_MED_CITY_STATE_AGGRESSION,REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,0,0,0,0,0,1,0
REQUIRES_HIGH_CITY_STATE_AGGRESSION,REQUIREMENT_PLAYER_CITY_STATE_PROTECTOR,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_FAITH,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_FAITH,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
REQUIRES_CLEARS_BARBARIAN_CAMPS,REQUIREMENT_PLAYER_CIVILIZED,0,0,0,0,0,1,0
REQUIRES_IGNORES_BARBARIAN_CAMPS,REQUIREMENT_PLAYER_CIVILIZED,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_EXPLORATION,REQUIREMENT_PLAYER_EXPLORATION_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_EXPLORATION,REQUIREMENT_PLAYER_EXPLORATION_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_HIGH_INDUSTRY,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
REQUIRES_HAS_LOW_INDUSTRY,REQUIREMENT_PLAYER_YIELD_LEAD,0,0,0,0,0,1,0
