ResolutionEffectId,ResolutionType,WhichEffect,ModifierId
0,WC_RES_DIPLOVICTORY,1,APPLY_INCREASED_DIPLO_VP_TO_PLAYER
5,WC_RES_DIPLOVICTORY,2,APPLY_DECREASED_DIPLO_VP_TO_PLAYER
10,WC_RES_LUXURY,1,NO_CAP_LUXURY_RESOURCE
15,WC_RES_LUXURY,2,BAN_LUXURY_RESOURCE
20,WC_RES_TRADE_TREATY,1,APPLY_TARGET_FREE_TRADE_ROUTE
21,WC_RES_TRADE_TREATY,1,APPLY_INCREASES_TRADE_TO_GOLD_TO_PLAYER
25,WC_RES_TRADE_TREATY,2,APPLY_INTERNATIONAL_MAJOR_TRADE_ROUTES_DISABLED
30,WC_RES_WORLD_RELIGION,1,WC_RES_RELIGIOUS_UNITS_STRENGTH
35,WC_RES_WORLD_RELIGION,2,ANYONE_CONDEMNS_FOR_FAVOR
40,WC_RES_HERITAGE_ORG,1,ADD_TOURISM_FROM_GREAT_WORK_OBJECT
45,WC_RES_HERITAGE_ORG,2,NO_TOURISM_FROM_GREAT_WORK_OBJECT
50,WC_RES_DEFORESTATION_TREATY,1,WC_RES_DEFORESTATION_BAN
55,WC_RES_DEFORESTATION_TREATY,2,WC_RES_DEFORESTATION_GOLD
60,WC_RES_ARMS_CONTROL,1,WC_RES_MEET_WMD_TARGET
65,WC_RES_ARMS_CONTROL,2,WC_RES_WMD_BAN
70,WC_RES_WORLD_IDEOLOGY,1,GOVT_ADD_WILDCARD_SLOT
75,WC_RES_WORLD_IDEOLOGY,2,GOVT_LOSE_WILDCARD_SLOT
80,WC_RES_BORDER_CONTROL,1,APPLY_ALL_DISTRICTS_CULTURE_BOMB_TO_PLAYER
85,WC_RES_BORDER_CONTROL,2,APPLY_NO_CULTURE_BORDER_EXPANSION_TO_PLAYER
90,WC_RES_PUBLIC_WORKS,1,INCREASE_PROJECT_PRODUCTION
95,WC_RES_PUBLIC_WORKS,2,DECREASE_PROJECT_PRODUCTION
100,WC_RES_URBAN_DEVELOPMENT,1,INCREASE_DISTRICT_BUILDING_PRODUCTION
105,WC_RES_URBAN_DEVELOPMENT,2,BAN_DISTRICT_BUILDING
120,WC_RES_PATRONAGE,1,INCREASE_GREAT_PERSON_POINTS
125,WC_RES_PATRONAGE,2,NO_GREAT_PERSON_POINTS
140,WC_RES_GLOBAL_ENERGY_TREATY,1,WC_RES_BUILDING_PRODUCTION_BAN
145,WC_RES_GLOBAL_ENERGY_TREATY,2,WC_RES_BUILDING_PRODUCTION_BUFF
150,WC_RES_SOVEREIGNTY,1,WC_RES_MODIFY_CITY_STATE_TRADE_YIELD
155,WC_RES_SOVEREIGNTY,2,APPLY_DISABLE_UNIQUE_SUZERAIN_BONUS_TO_MINORCIVTYPES
160,WC_RES_MIGRATION_TREATY,1,APPLY_GROWTH_BONUS_TO_PLAYER
161,WC_RES_MIGRATION_TREATY,1,APPLY_LOYALTY_PENALTY_TO_PLAYER
165,WC_RES_MIGRATION_TREATY,2,APPLY_GROWTH_PENALTY_TO_PLAYER
166,WC_RES_MIGRATION_TREATY,2,APPLY_LOYALTY_BONUS_TO_PLAYER
170,WC_RES_MERCENARY_COMPANIES,1,WC_RES_UNIT_PRODUCTION_YIELD_DEBUFF
175,WC_RES_MERCENARY_COMPANIES,2,WC_RES_UNIT_PRODUCTION_YIELD_BUFF
180,WC_RES_PUBLIC_RELATIONS,1,APPLY_PLAYER_GRIEVANCES_BUFF
185,WC_RES_PUBLIC_RELATIONS,2,APPLY_PLAYER_GRIEVANCES_DEBUFF
190,WC_RES_ESPIONAGE_PACT,1,WC_RES_OPERATION_CHANCE_BUFF
195,WC_RES_ESPIONAGE_PACT,2,WC_RES_OPERATION_REMOVE
200,WC_RES_MILITARY_ADVISORY,1,APPLY_RES_UNIT_COMBAT_BUFF
205,WC_RES_MILITARY_ADVISORY,2,APPLY_RES_UNIT_COMBAT_DEBUFF
