ResolutionType,TargetKind,Name,Effect1Description,Effect2Description,ValidationLua,AITargetChooser,AILuaTargetChooser,InjectionOnly,EarliestEra,LatestEra
WC_RES_DIPLOVICTORY,PLAYER,LOC_RESOLUTION_DIPLOVICTORY_NAME,LOC_WORLD_CONGRESS_ADD_DIPLOVICTORY_DESC,LOC_WORLD_CONGRESS_SUBTRACT_DIPLOVICTORY_DESC,WC_Validate_DiploVictory,PlayerOrDiploLeader,,1,ERA_MODERN,
WC_RES_LUXURY,RESOURCE,LOC_WC_RES_LUXURY_NAME,LOC_WORLD_CONGRESS_IMPROVE_LUXURY_DESC,LOC_WORLD_CONGRESS_BAN_LUXURY_DESC,WC_Validate_LuxuryBan,MostCommonLuxury,,0,,
WC_RES_TRADE_TREATY,PLAYER,LOC_WC_RES_TRADE_TREATY_NAME,LOC_WORLD_CONGRESS_IMPROVE_TRADE_WTH_PLAYER_DESC,LOC_WORLD_CONGRESS_BAN_TRADE_WITH_PLAYER_DESC,WC_Validate_TradeTreaty,TradingPartners,,0,,
WC_RES_WORLD_RELIGION,RELIGION,LOC_WC_RES_WORLD_RELIGION_NAME,LOC_WORLD_CONGRESS_EMPOWER_RELIGION_DESC,LOC_WORLD_CONGRESS_BAN_RELIGION_DESC,WC_Validate_RegliousBan,ReligiousTarget,,0,,ERA_INDUSTRIAL
WC_RES_MERCENARY_COMPANIES,YIELD,LOC_WC_RES_MERCENARY_COMPANIES_NAME,LOC_WORLD_CONGRESS_BAN_PRODUCTION_YIELD_DESC,LOC_WORLD_CONGRESS_BUFF_PRODUCTION_YIELD_DESC,WC_Validate_YieldBan,UnitBuildYield,,0,,
WC_RES_ARMS_CONTROL,PLAYER,LOC_WC_RES_ARMS_CONTROL_NAME,LOC_WORLD_CONGRESS_BUFF_ARMS_CONTROL_DESC,LOC_WORLD_CONGRESS_NERF_ARMS_CONTROL_DESC,WC_Validate_ArmsControlTreaty,,,0,ERA_ATOMIC,
WC_RES_HERITAGE_ORG,GREATWORKOBJECT,LOC_WC_RES_HERITAGE_ORG_NAME,LOC_WORLD_CONGRESS_BUFF_WORK_TOURISM_DESC,LOC_WORLD_CONGRESS_NO_WORK_TOURISM_DESC,WC_Validate_GreatWorkObjects,GreatWorkObjects,,0,ERA_MODERN,
WC_RES_WORLD_IDEOLOGY,GOVERNMENT,LOC_WC_RES_WORLD_IDEOLOGY_NAME,LOC_WORLD_CONGRESS_GAIN_WILDCARD_DESC,LOC_WORLD_CONGRESS_LOSE_WILDCARD_DESC,WC_Validate_WorldIdeology,Government,,0,ERA_MODERN,
WC_RES_URBAN_DEVELOPMENT,DISTRICT,LOC_WC_RES_URBAN_DEVELOPMENT_NAME,LOC_WORLD_CONGRESS_DISTRICT_BUILDING_PRODUCTION_DESC,LOC_WORLD_CONGRESS_NO_DISTRICT_BUILDING_DESC,WC_Validate_UrbanDevelopment,District,,0,,ERA_MODERN
WC_RES_BORDER_CONTROL,PLAYER,LOC_WC_RES_BORDER_CONTROL_NAME,LOC_WORLD_CONGRESS_DISTRICTS_CULTURE_BOMB_DESC,LOC_WORLD_CONGRESS_NO_CULTURE_BORDER_GROWTH_DESC,WC_Validate_BorderControl,BorderControlTarget,,0,,ERA_MODERN
WC_RES_PUBLIC_WORKS,PROJECT,LOC_WC_RES_PUBLIC_WORKS_NAME,LOC_WORLD_CONGRESS_BUFF_PROJECT_PRODUCTION_DESC,LOC_WORLD_CONGRESS_BAN_PROJECT_DESC,WC_Validate_PublicWorks,Project,,0,ERA_ATOMIC,ERA_INFORMATION
WC_RES_PATRONAGE,GREATPERSONCLASS,LOC_WC_RES_PATRONAGE_NAME,LOC_WORLD_CONGRESS_BUFF_GP_POINTS_DESC,LOC_WORLD_CONGRESS_NO_GP_POINTS_DESC,WC_Validate_Patronage,GreatPersonPatronage,,0,,ERA_MODERN
