ResourceType,YieldType,Amount,PrereqTech
RESOURCE_BANANAS,YIELD_FOOD,20,TECH_IRRIGATION
RESOURCE_CATTLE,YIELD_FOOD,20,TECH_ANIMAL_HUSBANDRY
RESOURCE_COPPER,YIELD_GOLD,40,TECH_MINING
RESOURCE_CRABS,YIELD_GOLD,40,TECH_CELESTIAL_NAVIGATION
RESOURCE_DEER,YIELD_PRODUCTION,20,TECH_ANIMAL_HUSBANDRY
RESOURCE_FISH,YIELD_FOOD,20,TECH_CELESTIAL_NAVIGATION
RESOURCE_RICE,YIELD_FOOD,20,TECH_POTTERY
RESOURCE_SHEEP,YIELD_FOOD,20,TECH_ANIMAL_HUSBANDRY
RESOURCE_STONE,YIELD_PRODUCTION,20,TECH_MASONRY
RESOURCE_WHEAT,YIELD_FOOD,20,TECH_POTTERY
RESOURCE_MAIZE,YIELD_GOLD,40,TECH_POTTERY
