ResourceType,FeatureType
RESOURCE_BANANAS,FEATURE_JUNGLE
RESOURCE_DEER,FEATURE_FOREST
RESOURCE_RICE,FEATURE_MARSH
RESOURCE_WHEAT,FEATURE_FLOODPLAINS
RESOURCE_COCOA,FEATURE_JUNGLE
RESOURCE_COFFEE,FEATURE_JUNGLE
RESOURCE_COTTON,FEATURE_FLOODPLAINS
RESOURCE_DIAMONDS,FEATURE_JUNGLE
RESOURCE_DYES,FEATURE_JUNGLE
RESOURCE_DYES,FEATURE_FOREST
RESOURCE_FURS,FEATURE_FOREST
RESOURCE_IVORY,FEATURE_JUNGLE
RESOURCE_IVORY,FEATURE_FOREST
RESOURCE_SILK,FEATURE_FOREST
RESOURCE_SPICES,FEATURE_FOREST
RESOURCE_SPICES,FEATURE_JUNGLE
RESOURCE_SUGAR,FEATURE_FLOODPLAINS
RESOURCE_SUGAR,FEATURE_MARSH
RESOURCE_TOBACCO,FEATURE_FOREST
RESOURCE_TOBACCO,FEATURE_JUNGLE
RESOURCE_TRUFFLES,FEATURE_MARSH
RESOURCE_TRUFFLES,FEATURE_FOREST
RESOURCE_TRUFFLES,FEATURE_JUNGLE
RESOURCE_WINE,FEATURE_FOREST
RESOURCE_OIL,FEATURE_MARSH
RESOURCE_URANIUM,FEATURE_JUNGLE
RESOURCE_URANIUM,FEATURE_FOREST
RESOURCE_ANTIQUITY_SITE,FEATURE_OASIS
RESOURCE_ANTIQUITY_SITE,FEATURE_JUNGLE
RESOURCE_ANTIQUITY_SITE,FEATURE_FOREST
RESOURCE_ANTIQUITY_SITE,FEATURE_MARSH
RESOURCE_ANTIQUITY_SITE,FEATURE_FLOODPLAINS
RESOURCE_AMBER,FEATURE_JUNGLE
RESOURCE_AMBER,FEATURE_FOREST
RESOURCE_FISH,FEATURE_REEF
RESOURCE_TURTLES,FEATURE_REEF
RESOURCE_RICE,FEATURE_FLOODPLAINS_GRASSLAND
RESOURCE_WHEAT,FEATURE_FLOODPLAINS_PLAINS
RESOURCE_COTTON,FEATURE_FLOODPLAINS_GRASSLAND
RESOURCE_COTTON,FEATURE_FLOODPLAINS_PLAINS
RESOURCE_SUGAR,FEATURE_FLOODPLAINS_GRASSLAND
RESOURCE_SUGAR,FEATURE_FLOODPLAINS_PLAINS
RESOURCE_NITER,FEATURE_FLOODPLAINS_GRASSLAND
RESOURCE_NITER,FEATURE_FLOODPLAINS_PLAINS
RESOURCE_OIL,FEATURE_FLOODPLAINS
RESOURCE_ALUMINUM,FEATURE_JUNGLE
RESOURCE_COAL,FEATURE_FOREST
RESOURCE_ANTIQUITY_SITE,FEATURE_FLOODPLAINS_GRASSLAND
RESOURCE_ANTIQUITY_SITE,FEATURE_FLOODPLAINS_PLAINS
RESOURCE_MAIZE,FEATURE_FLOODPLAINS_GRASSLAND
RESOURCE_MAIZE,FEATURE_FLOODPLAINS_PLAINS
