ResourceType,TerrainType
RESOURCE_CATTLE,TERRAIN_GRASS
RESOURCE_COPPER,TERRAIN_DESERT_HILLS
RESOURCE_COPPER,TERRAIN_GRASS_HILLS
RESOURCE_COPPER,TERRAIN_PLAINS_HILLS
RESOURCE_COPPER,TERRAIN_SNOW_HILLS
RESOURCE_COPPER,TERRAIN_TUNDRA_HILLS
RESOURCE_CRABS,TERRAIN_COAST
RESOURCE_DEER,TERRAIN_TUNDRA
RESOURCE_DEER,TERRAIN_TUNDRA_HILLS
RESOURCE_FISH,TERRAIN_COAST
RESOURCE_SHEEP,TERRAIN_DESERT_HILLS
RESOURCE_SHEEP,TERRAIN_GRASS_HILLS
RESOURCE_SHEEP,TERRAIN_PLAINS_HILLS
RESOURCE_SHEEP,TERRAIN_TUNDRA_HILLS
RESOURCE_STONE,TERRAIN_GRASS
RESOURCE_STONE,TERRAIN_GRASS_HILLS
RESOURCE_RICE,TERRAIN_GRASS
RESOURCE_WHEAT,TERRAIN_PLAINS
RESOURCE_CITRUS,TERRAIN_GRASS
RESOURCE_CITRUS,TERRAIN_PLAINS
RESOURCE_COFFEE,TERRAIN_GRASS
RESOURCE_COTTON,TERRAIN_GRASS
RESOURCE_COTTON,TERRAIN_PLAINS
RESOURCE_DIAMONDS,TERRAIN_DESERT_HILLS
RESOURCE_DIAMONDS,TERRAIN_GRASS_HILLS
RESOURCE_DIAMONDS,TERRAIN_PLAINS_HILLS
RESOURCE_DIAMONDS,TERRAIN_TUNDRA_HILLS
RESOURCE_FURS,TERRAIN_TUNDRA
RESOURCE_GYPSUM,TERRAIN_DESERT_HILLS
RESOURCE_GYPSUM,TERRAIN_PLAINS_HILLS
RESOURCE_GYPSUM,TERRAIN_PLAINS
RESOURCE_GYPSUM,TERRAIN_TUNDRA_HILLS
RESOURCE_INCENSE,TERRAIN_DESERT
RESOURCE_INCENSE,TERRAIN_PLAINS
RESOURCE_IVORY,TERRAIN_DESERT
RESOURCE_IVORY,TERRAIN_PLAINS
RESOURCE_IVORY,TERRAIN_PLAINS_HILLS
RESOURCE_JADE,TERRAIN_GRASS
RESOURCE_JADE,TERRAIN_PLAINS
RESOURCE_JADE,TERRAIN_TUNDRA
RESOURCE_MARBLE,TERRAIN_GRASS
RESOURCE_MARBLE,TERRAIN_GRASS_HILLS
RESOURCE_MARBLE,TERRAIN_PLAINS_HILLS
RESOURCE_MERCURY,TERRAIN_PLAINS
RESOURCE_PEARLS,TERRAIN_COAST
RESOURCE_SALT,TERRAIN_DESERT
RESOURCE_SALT,TERRAIN_PLAINS
RESOURCE_SALT,TERRAIN_TUNDRA
RESOURCE_SILVER,TERRAIN_DESERT
RESOURCE_SILVER,TERRAIN_DESERT_HILLS
RESOURCE_SILVER,TERRAIN_TUNDRA
RESOURCE_SILVER,TERRAIN_TUNDRA_HILLS
RESOURCE_TEA,TERRAIN_GRASS
RESOURCE_TEA,TERRAIN_GRASS_HILLS
RESOURCE_TOBACCO,TERRAIN_GRASS
RESOURCE_TOBACCO,TERRAIN_PLAINS
RESOURCE_WHALES,TERRAIN_COAST
RESOURCE_WINE,TERRAIN_GRASS
RESOURCE_WINE,TERRAIN_PLAINS
RESOURCE_ALUMINUM,TERRAIN_DESERT
RESOURCE_ALUMINUM,TERRAIN_DESERT_HILLS
RESOURCE_ALUMINUM,TERRAIN_PLAINS
RESOURCE_COAL,TERRAIN_GRASS_HILLS
RESOURCE_COAL,TERRAIN_PLAINS_HILLS
RESOURCE_HORSES,TERRAIN_GRASS
RESOURCE_HORSES,TERRAIN_PLAINS
RESOURCE_IRON,TERRAIN_GRASS_HILLS
RESOURCE_IRON,TERRAIN_PLAINS_HILLS
RESOURCE_IRON,TERRAIN_DESERT_HILLS
RESOURCE_IRON,TERRAIN_TUNDRA_HILLS
RESOURCE_NITER,TERRAIN_GRASS
RESOURCE_NITER,TERRAIN_PLAINS
RESOURCE_NITER,TERRAIN_DESERT
RESOURCE_NITER,TERRAIN_TUNDRA
RESOURCE_OIL,TERRAIN_COAST
