ResourceType,YieldType,YieldChange
RESOURCE_BANANAS,YIELD_FOOD,1
RESOURCE_CATTLE,YIELD_FOOD,1
RESOURCE_COPPER,YIELD_GOLD,2
RESOURCE_CRABS,YIELD_GOLD,2
RESOURCE_DEER,YIELD_PRODUCTION,1
RESOURCE_FISH,YIELD_FOOD,1
RESOURCE_RICE,YIELD_FOOD,1
RESOURCE_SHEEP,YIELD_FOOD,1
RESOURCE_STONE,YIELD_PRODUCTION,1
RESOURCE_WHEAT,YIELD_FOOD,1
RESOURCE_CITRUS,YIELD_FOOD,2
RESOURCE_COCOA,YIELD_GOLD,3
RESOURCE_COFFEE,YIELD_CULTURE,1
RESOURCE_COTTON,YIELD_GOLD,3
RESOURCE_DIAMONDS,YIELD_GOLD,3
RESOURCE_DYES,YIELD_FAITH,1
RESOURCE_FURS,YIELD_FOOD,1
RESOURCE_FURS,YIELD_GOLD,1
RESOURCE_GYPSUM,YIELD_GOLD,1
RESOURCE_GYPSUM,YIELD_PRODUCTION,1
RESOURCE_INCENSE,YIELD_FAITH,1
RESOURCE_IVORY,YIELD_GOLD,1
RESOURCE_IVORY,YIELD_PRODUCTION,1
RESOURCE_JADE,YIELD_CULTURE,1
RESOURCE_MARBLE,YIELD_CULTURE,1
RESOURCE_MERCURY,YIELD_SCIENCE,1
RESOURCE_PEARLS,YIELD_FAITH,1
RESOURCE_SALT,YIELD_FOOD,1
RESOURCE_SALT,YIELD_GOLD,1
RESOURCE_SILK,YIELD_CULTURE,1
RESOURCE_SILVER,YIELD_GOLD,3
RESOURCE_SPICES,YIELD_FOOD,2
RESOURCE_SUGAR,YIELD_FOOD,2
RESOURCE_TEA,YIELD_SCIENCE,1
RESOURCE_TOBACCO,YIELD_FAITH,1
RESOURCE_TRUFFLES,YIELD_GOLD,3
RESOURCE_WHALES,YIELD_PRODUCTION,1
RESOURCE_WHALES,YIELD_GOLD,1
RESOURCE_WINE,YIELD_FOOD,1
RESOURCE_WINE,YIELD_GOLD,1
RESOURCE_ALUMINUM,YIELD_SCIENCE,1
RESOURCE_COAL,YIELD_PRODUCTION,2
RESOURCE_HORSES,YIELD_FOOD,1
RESOURCE_HORSES,YIELD_PRODUCTION,1
RESOURCE_IRON,YIELD_SCIENCE,1
RESOURCE_NITER,YIELD_FOOD,1
RESOURCE_NITER,YIELD_PRODUCTION,1
RESOURCE_OIL,YIELD_PRODUCTION,3
RESOURCE_URANIUM,YIELD_PRODUCTION,2
RESOURCE_AMBER,YIELD_CULTURE,1
RESOURCE_OLIVES,YIELD_GOLD,1
RESOURCE_OLIVES,YIELD_PRODUCTION,1
RESOURCE_TURTLES,YIELD_SCIENCE,1
RESOURCE_MAIZE,YIELD_GOLD,2
RESOURCE_HONEY,YIELD_FOOD,2
