ResourceType,Name,ResourceClassType,Happiness,NoRiver,RequiresRiver,Frequency,Clumped,PrereqTech,PrereqCivic,PeakEra,RevealedEra,LakeEligible,AdjacentToLand,SeaFrequency
RESOURCE_BANANAS,LOC_RESOURCE_BANANAS_NAME,RESOURCECLASS_BONUS,0,0,0,4,0,,,NO_ERA,1,1,0,0
RESOURCE_CATTLE,LOC_RESOURCE_CATTLE_NAME,RESOURCECLASS_BONUS,0,0,0,6,0,,,NO_ERA,1,1,0,0
RESOURCE_COPPER,LOC_RESOURCE_COPPER_NAME,RESOURCECLASS_BONUS,0,0,0,4,0,,,NO_ERA,1,1,0,0
RESOURCE_CRABS,LOC_RESOURCE_CRABS_NAME,RESOURCECLASS_BONUS,0,0,0,0,0,,,NO_ERA,1,1,0,17
RESOURCE_DEER,LOC_RESOURCE_DEER_NAME,RESOURCECLASS_BONUS,0,0,0,4,0,,,NO_ERA,1,1,0,0
RESOURCE_FISH,LOC_RESOURCE_FISH_NAME,RESOURCECLASS_BONUS,0,0,0,0,0,,,NO_ERA,1,1,0,23
RESOURCE_RICE,LOC_RESOURCE_RICE_NAME,RESOURCECLASS_BONUS,0,0,0,6,0,,,NO_ERA,1,1,0,0
RESOURCE_SHEEP,LOC_RESOURCE_SHEEP_NAME,RESOURCECLASS_BONUS,0,0,0,4,0,,,NO_ERA,1,1,0,0
RESOURCE_STONE,LOC_RESOURCE_STONE_NAME,RESOURCECLASS_BONUS,0,0,0,10,0,,,NO_ERA,1,1,0,0
RESOURCE_WHEAT,LOC_RESOURCE_WHEAT_NAME,RESOURCECLASS_BONUS,0,0,0,10,0,,,NO_ERA,1,1,0,0
RESOURCE_CITRUS,LOC_RESOURCE_CITRUS_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_COCOA,LOC_RESOURCE_COCOA_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_COFFEE,LOC_RESOURCE_COFFEE_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_COTTON,LOC_RESOURCE_COTTON_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_DIAMONDS,LOC_RESOURCE_DIAMONDS_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_DYES,LOC_RESOURCE_DYES_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_FURS,LOC_RESOURCE_FURS_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_GYPSUM,LOC_RESOURCE_GYPSUM_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_INCENSE,LOC_RESOURCE_INCENSE_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_IVORY,LOC_RESOURCE_IVORY_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_JADE,LOC_RESOURCE_JADE_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_MARBLE,LOC_RESOURCE_MARBLE_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_MERCURY,LOC_RESOURCE_MERCURY_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_PEARLS,LOC_RESOURCE_PEARLS_NAME,RESOURCECLASS_LUXURY,4,0,0,0,0,,,NO_ERA,1,1,0,1
RESOURCE_SALT,LOC_RESOURCE_SALT_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_SILK,LOC_RESOURCE_SILK_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_SILVER,LOC_RESOURCE_SILVER_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_SPICES,LOC_RESOURCE_SPICES_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_SUGAR,LOC_RESOURCE_SUGAR_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_TEA,LOC_RESOURCE_TEA_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_TOBACCO,LOC_RESOURCE_TOBACCO_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_TRUFFLES,LOC_RESOURCE_TRUFFLES_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_WHALES,LOC_RESOURCE_WHALES_NAME,RESOURCECLASS_LUXURY,4,0,0,0,0,,,NO_ERA,1,0,0,1
RESOURCE_WINE,LOC_RESOURCE_WINE_NAME,RESOURCECLASS_LUXURY,4,0,0,2,0,,,NO_ERA,1,1,0,0
RESOURCE_JEANS,LOC_RESOURCE_JEANS_NAME,RESOURCECLASS_LUXURY,4,0,0,0,0,,,NO_ERA,1,1,0,0
RESOURCE_PERFUME,LOC_RESOURCE_PERFUME_NAME,RESOURCECLASS_LUXURY,6,0,0,0,0,,,NO_ERA,1,1,0,0
RESOURCE_COSMETICS,LOC_RESOURCE_COSMETICS_NAME,RESOURCECLASS_LUXURY,4,0,0,0,0,,,NO_ERA,1,1,0,0
RESOURCE_TOYS,LOC_RESOURCE_TOYS_NAME,RESOURCECLASS_LUXURY,4,0,0,0,0,,,NO_ERA,1,1,0,0
RESOURCE_CINNAMON,LOC_RESOURCE_CINNAMON_NAME,RESOURCECLASS_LUXURY,6,0,0,0,0,,,NO_ERA,1,1,0,0
RESOURCE_CLOVES,LOC_RESOURCE_CLOVES_NAME,RESOURCECLASS_LUXURY,6,0,0,0,0,,,NO_ERA,1,1,0,0
RESOURCE_ALUMINUM,LOC_RESOURCE_ALUMINUM_NAME,RESOURCECLASS_STRATEGIC,0,0,0,7,0,TECH_RADIO,,NO_ERA,6,1,0,0
RESOURCE_COAL,LOC_RESOURCE_COAL_NAME,RESOURCECLASS_STRATEGIC,0,0,0,10,0,TECH_INDUSTRIALIZATION,,NO_ERA,5,1,0,0
RESOURCE_HORSES,LOC_RESOURCE_HORSES_NAME,RESOURCECLASS_STRATEGIC,0,0,0,11,0,TECH_ANIMAL_HUSBANDRY,,NO_ERA,1,1,0,0
