CategoryType,Name,Multiplier
CATEGORY_CIVICS,LOC_CATEGORY_CIVICS_NAME,1.0
CATEGORY_EMPIRE,LOC_CATEGORY_EMPIRE_NAME,1.0
CATEGORY_GREAT_PEOPLE,LOC_CATEGORY_GREAT_PEOPLE_NAME,1.0
CATEGORY_RELIGION,LOC_CATEGORY_RELIGION_NAME,1.0
CATEGORY_TECH,LOC_CATEGORY_TECH_NAME,1.0
CATEGORY_WONDER,LOC_CATEGORY_WONDER_NAME,1.0
CATEGORY_TRADE,LOC_CATEGORY_TRADE_NAME,0.0
CATEGORY_PILLAGE,LOC_CATEGORY_PILLAGE_NAME,0.0
CATEGORY_INCOME,LOC_CATEGORY_INCOME_NAME,0.0
CATEGORY_SCENARIO1,LOC_CATEGORY_SCENARIO1_NAME,0.0
CATEGORY_SCENARIO2,LOC_CATEGORY_SCENARIO2_NAME,0.0
CATEGORY_SCENARIO3,LOC_CATEGORY_SCENARIO3_NAME,0.0
CATEGORY_ERA_SCORE,LOC_CATEGORY_ERA_SCORE_NAME,1.0
