LineItemType,Name,Category,Multiplier,ScaleByCost,Civics,Cities,Districts,Population,GreatPeople,Techs,Wonders,Religion,Pillage,Trade,GoldPerTurn,TieBreakerPriority,ScoringScenario1,ScoringScenario2,ScoringScenario3,EraScore,Converted,Buildings
LINE_ITEM_CIVICS,LOC_LINE_ITEM_CIVICS_NAME,CATEGORY_CIVICS,3.0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
LINE_ITEM_CITIES,LOC_LINE_ITEM_CITIES_NAME,CATEGORY_EMPIRE,5.0,0,0,1,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
LINE_ITEM_DISTRICTS,LOC_LINE_ITEM_DISTRICTS_NAME,CATEGORY_EMPIRE,2.0,0,0,0,1,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
LINE_ITEM_POPULATION,LOC_LINE_ITEM_POPULATION_NAME,CATEGORY_EMPIRE,1.0,0,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,0
LINE_ITEM_GREAT_PEOPLE,LOC_LINE_ITEM_GREAT_PEOPLE_NAME,CATEGORY_GREAT_PEOPLE,5.0,0,0,0,0,0,1,0,0,0,0,0,0,60,0,0,0,0,0,0
LINE_ITEM_RELIGION,LOC_LINE_ITEM_RELIGION_NAME,CATEGORY_RELIGION,5.0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0
LINE_ITEM_TECHS,LOC_LINE_ITEM_TECHS_NAME,CATEGORY_TECH,2.0,1,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0
LINE_ITEM_WONDERS,LOC_LINE_ITEM_WONDERS_NAME,CATEGORY_WONDER,15.0,1,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0
LINE_ITEM_ERA_BUILDINGS,LOC_LINE_ITEM_ERA_BUILDINGS_NAME,CATEGORY_EMPIRE,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,1
LINE_ITEM_ERA_CONVERTED,LOC_LINE_ITEM_ERA_CONVERTED_NAME,CATEGORY_RELIGION,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,1,0
LINE_ITEM_ERA_SCORE,LOC_LINE_ITEM_ERA_SCORE_NAME,CATEGORY_ERA_SCORE,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0,1,0,0
