CivilizationType,FeatureType,Tier
CIVILIZATION_BRAZIL,FEATURE_JUNGLE,2
CIVILIZATION_EGYPT,FEATURE_FLOODPLAINS,2
CIVILIZATION_KONGO,FEATURE_JUNGLE,2
CIVILIZATION_KONGO,FEATURE_FOREST,2
CIVILIZATION_NORWAY,FEATURE_FOREST,5
CIVILIZATION_RAPA_NUI,FEATURE_VOLCANO,1
CIVILIZATION_EGYPT,FEATURE_FLOODPLAINS_GRASSLAND,2
CIVILIZATION_EGYPT,FEATURE_FLOODPLAINS_PLAINS,2
CIVILIZATION_SPAIN,FEATURE_GEOTHERMAL_FISSURE,3
CIVILIZATION_HUNGARY,FEATURE_GEOTHERMAL_FISSURE,5
CIVILIZATION_VIETNAM,FEATURE_JUNGLE,1
CIVILIZATION_VIETNAM,FEATURE_FOREST,1
CIVILIZATION_VIETNAM,FEATURE_MARSH,1
