CivilizationType,ResourceType,Tier
CIVILIZATION_SCYTHIA,RESOURCE_HORSES,2
CIVILIZATION_NUBIA,RESOURCE_COPPER,5
CIVILIZATION_NUBIA,RESOURCE_DIAMONDS,5
CIVILIZATION_NUBIA,RESOURCE_JADE,5
CIVILIZATION_NUBIA,RESOURCE_MERCURY,5
CIVILIZATION_NUBIA,RESOURCE_SALT,5
CIVILIZATION_NUBIA,RESOURCE_SILVER,5
CIVILIZATION_NUBIA,RESOURCE_ALUMINUM,5
CIVILIZATION_NUBIA,RESOURCE_COAL,5
CIVILIZATION_NUBIA,RESOURCE_IRON,5
CIVILIZATION_NUBIA,RESOURCE_NITER,5
CIVILIZATION_NUBIA,RESOURCE_URANIUM,5
CIVILIZATION_AUSTRALIA,RESOURCE_CATTLE,5
CIVILIZATION_AUSTRALIA,RESOURCE_HORSES,5
CIVILIZATION_AUSTRALIA,RESOURCE_SHEEP,5
CIVILIZATION_MONGOLIA,RESOURCE_HORSES,2
CIVILIZATION_ENGLAND,RESOURCE_COAL,5
CIVILIZATION_ENGLAND,RESOURCE_IRON,5
CIVILIZATION_MALI,RESOURCE_COPPER,5
CIVILIZATION_MALI,RESOURCE_DIAMONDS,5
CIVILIZATION_MALI,RESOURCE_JADE,5
CIVILIZATION_MALI,RESOURCE_MERCURY,5
CIVILIZATION_MALI,RESOURCE_SALT,5
CIVILIZATION_MALI,RESOURCE_SILVER,5
CIVILIZATION_MALI,RESOURCE_ALUMINUM,5
CIVILIZATION_MALI,RESOURCE_COAL,5
CIVILIZATION_MALI,RESOURCE_IRON,5
CIVILIZATION_MALI,RESOURCE_NITER,5
CIVILIZATION_OTTOMAN,RESOURCE_NITER,5
CIVILIZATION_MAYA,RESOURCE_CITRUS,2
CIVILIZATION_MAYA,RESOURCE_COFFEE,2
CIVILIZATION_MAYA,RESOURCE_COCOA,2
CIVILIZATION_MAYA,RESOURCE_COTTON,2
CIVILIZATION_MAYA,RESOURCE_DYES,2
CIVILIZATION_MAYA,RESOURCE_SILK,2
CIVILIZATION_MAYA,RESOURCE_SPICES,2
CIVILIZATION_MAYA,RESOURCE_SUGAR,2
CIVILIZATION_MAYA,RESOURCE_TEA,2
CIVILIZATION_MAYA,RESOURCE_TOBACCO,2
CIVILIZATION_MAYA,RESOURCE_WINE,2
CIVILIZATION_MAYA,RESOURCE_INCENSE,2
CIVILIZATION_MAYA,RESOURCE_OLIVES,2
CIVILIZATION_GAUL,RESOURCE_COPPER,2
CIVILIZATION_GAUL,RESOURCE_DIAMONDS,2
CIVILIZATION_GAUL,RESOURCE_JADE,2
CIVILIZATION_GAUL,RESOURCE_MERCURY,2
CIVILIZATION_GAUL,RESOURCE_SALT,2
CIVILIZATION_GAUL,RESOURCE_SILVER,2
CIVILIZATION_GAUL,RESOURCE_IRON,2
