CivilizationType,TerrainType,Tier
CIVILIZATION_ENGLAND,TERRAIN_COAST,3
CIVILIZATION_GREECE,TERRAIN_DESERT_HILLS,3
CIVILIZATION_GREECE,TERRAIN_GRASS_HILLS,3
CIVILIZATION_GREECE,TERRAIN_PLAINS_HILLS,3
CIVILIZATION_GREECE,TERRAIN_TUNDRA_HILLS,3
CIVILIZATION_JAPAN,TERRAIN_COAST,3
CIVILIZATION_NORWAY,TERRAIN_COAST,3
CIVILIZATION_RUSSIA,TERRAIN_TUNDRA,2
CIVILIZATION_RUSSIA,TERRAIN_TUNDRA_HILLS,2
CIVILIZATION_SCYTHIA,TERRAIN_GRASS,5
CIVILIZATION_SCYTHIA,TERRAIN_PLAINS,5
CIVILIZATION_LISBON,TERRAIN_COAST,1
CIVILIZATION_NAN_MADOL,TERRAIN_COAST,1
CIVILIZATION_INDONESIA,TERRAIN_COAST,2
CIVILIZATION_NUBIA,TERRAIN_DESERT,2
CIVILIZATION_NUBIA,TERRAIN_DESERT_HILLS,2
CIVILIZATION_AUSTRALIA,TERRAIN_COAST,2
CIVILIZATION_KOREA,TERRAIN_DESERT_HILLS,3
CIVILIZATION_KOREA,TERRAIN_GRASS_HILLS,3
CIVILIZATION_KOREA,TERRAIN_PLAINS_HILLS,3
CIVILIZATION_KOREA,TERRAIN_TUNDRA_HILLS,3
CIVILIZATION_NETHERLANDS,TERRAIN_COAST,4
CIVILIZATION_MAPUCHE,TERRAIN_DESERT_MOUNTAIN,3
CIVILIZATION_MAPUCHE,TERRAIN_GRASS_MOUNTAIN,3
CIVILIZATION_MAPUCHE,TERRAIN_PLAINS_MOUNTAIN,3
CIVILIZATION_MAPUCHE,TERRAIN_TUNDRA_MOUNTAIN,3
CIVILIZATION_NAZCA,TERRAIN_DESERT,1
CIVILIZATION_RAPA_NUI,TERRAIN_COAST,1
CIVILIZATION_CANADA,TERRAIN_TUNDRA,1
CIVILIZATION_CANADA,TERRAIN_TUNDRA_HILLS,1
CIVILIZATION_CANADA,TERRAIN_SNOW,5
CIVILIZATION_CANADA,TERRAIN_SNOW_HILLS,5
CIVILIZATION_INCA,TERRAIN_DESERT_MOUNTAIN,2
CIVILIZATION_INCA,TERRAIN_GRASS_MOUNTAIN,2
CIVILIZATION_INCA,TERRAIN_PLAINS_MOUNTAIN,2
CIVILIZATION_INCA,TERRAIN_TUNDRA_MOUNTAIN,5
CIVILIZATION_INCA,TERRAIN_SNOW_MOUNTAIN,5
CIVILIZATION_MALI,TERRAIN_DESERT,1
CIVILIZATION_MALI,TERRAIN_DESERT_HILLS,1
CIVILIZATION_PHOENICIA,TERRAIN_COAST,2
CIVILIZATION_AMERICA,TERRAIN_DESERT_MOUNTAIN,5
CIVILIZATION_AMERICA,TERRAIN_GRASS_MOUNTAIN,3
CIVILIZATION_AMERICA,TERRAIN_PLAINS_MOUNTAIN,3
CIVILIZATION_AMERICA,TERRAIN_TUNDRA_MOUNTAIN,5
CIVILIZATION_MAYA,TERRAIN_GRASS,1
CIVILIZATION_MAYA,TERRAIN_PLAINS,1
CIVILIZATION_MAYA,TERRAIN_GRASS_HILLS,1
CIVILIZATION_MAYA,TERRAIN_PLAINS_HILLS,1
CIVILIZATION_MAYA,TERRAIN_DESERT,3
CIVILIZATION_MAYA,TERRAIN_SNOW,3
CIVILIZATION_MAYA,TERRAIN_TUNDRA,3
CIVILIZATION_MAYA,TERRAIN_DESERT_HILLS,3
CIVILIZATION_MAYA,TERRAIN_SNOW_HILLS,3
CIVILIZATION_MAYA,TERRAIN_TUNDRA_HILLS,3
CIVILIZATION_MAYA,TERRAIN_DESERT_MOUNTAIN,3
CIVILIZATION_MAYA,TERRAIN_SNOW_MOUNTAIN,3
CIVILIZATION_MAYA,TERRAIN_TUNDRA_MOUNTAIN,3
CIVILIZATION_ETHIOPIA,TERRAIN_DESERT_HILLS,2
CIVILIZATION_ETHIOPIA,TERRAIN_GRASS_HILLS,2
CIVILIZATION_ETHIOPIA,TERRAIN_PLAINS_HILLS,2
CIVILIZATION_ETHIOPIA,TERRAIN_TUNDRA_HILLS,2
CIVILIZATION_PORTUGAL,TERRAIN_COAST,1
