Technology,Era
TECH_CELESTIAL_NAVIGATION,ERA_CLASSICAL
TECH_HORSEBACK_RIDING,ERA_CLASSICAL
TECH_IRON_WORKING,ERA_CLASSICAL
TECH_MILITARY_TACTICS,ERA_MEDIEVAL
TECH_APPRENTICESHIP,ERA_MEDIEVAL
TECH_EDUCATION,ERA_MEDIEVAL
TECH_CARTOGRAPHY,ERA_RENAISSANCE
TECH_MASS_PRODUCTION,ERA_RENAISSANCE
TECH_BANKING,ERA_RENAISSANCE
TECH_SCIENTIFIC_THEORY,ERA_INDUSTRIAL
TECH_BALLISTICS,ERA_INDUSTRIAL
TECH_MILITARY_SCIENCE,ERA_INDUSTRIAL
TECH_RIFLING,ERA_INDUSTRIAL
TECH_FLIGHT,ERA_MODERN
TECH_REPLACEABLE_PARTS,ERA_MODERN
TECH_STEEL,ERA_MODERN
TECH_COMBINED_ARMS,ERA_ATOMIC
TECH_PLASTICS,ERA_ATOMIC
TECH_COMPUTERS,ERA_ATOMIC
TECH_GUIDANCE_SYSTEMS,ERA_INFORMATION
TECH_REFINING,ERA_MODERN
