Building,Era,District,MinorOnly,MinDifficulty
BUILDING_WALLS,ERA_ANCIENT,DISTRICT_CITY_CENTER,1,DIFFICULTY_IMMORTAL
BUILDING_MONUMENT,ERA_MEDIEVAL,DISTRICT_CITY_CENTER,0,
BUILDING_GRANARY,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,0,
BUILDING_LIBRARY,ERA_RENAISSANCE,DISTRICT_CAMPUS,0,
BUILDING_SHRINE,ERA_RENAISSANCE,DISTRICT_HOLY_SITE,0,
BUILDING_WALLS,ERA_RENAISSANCE,DISTRICT_CITY_CENTER,0,
BUILDING_ARENA,ERA_INDUSTRIAL,DISTRICT_ENTERTAINMENT_COMPLEX,0,
BUILDING_LIGHTHOUSE,ERA_INDUSTRIAL,DISTRICT_HARBOR,0,
BUILDING_MARKET,ERA_INDUSTRIAL,DISTRICT_COMMERCIAL_HUB,0,
BUILDING_TEMPLE,ERA_INDUSTRIAL,DISTRICT_HOLY_SITE,0,
BUILDING_AMPHITHEATER,ERA_INDUSTRIAL,DISTRICT_THEATER,0,
BUILDING_CASTLE,ERA_MODERN,DISTRICT_CITY_CENTER,0,
BUILDING_UNIVERSITY,ERA_MODERN,DISTRICT_CAMPUS,0,
BUILDING_WORKSHOP,ERA_MODERN,DISTRICT_INDUSTRIAL_ZONE,0,
BUILDING_STAR_FORT,ERA_ATOMIC,DISTRICT_CITY_CENTER,0,
BUILDING_BANK,ERA_ATOMIC,DISTRICT_COMMERCIAL_HUB,0,
BUILDING_SHIPYARD,ERA_ATOMIC,DISTRICT_HARBOR,0,
BUILDING_SEWER,ERA_INFORMATION,DISTRICT_CITY_CENTER,0,
BUILDING_ZOO,ERA_INFORMATION,DISTRICT_ENTERTAINMENT_COMPLEX,0,
BUILDING_FERRIS_WHEEL,ERA_INFORMATION,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,0,
BUILDING_AQUARIUM,ERA_INFORMATION,DISTRICT_WATER_ENTERTAINMENT_COMPLEX,0,
BUILDING_GROVE,ERA_RENAISSANCE,DISTRICT_PRESERVE,0,
BUILDING_CONSULATE,ERA_INDUSTRIAL,DISTRICT_DIPLOMATIC_QUARTER,0,
BUILDING_CHANCERY,ERA_ATOMIC,DISTRICT_DIPLOMATIC_QUARTER,0,
