StrategyType,VictoryType,NumConditionsNeeded
VICTORY_STRATEGY_CULTURAL_VICTORY,VICTORY_CULTURE,3
VICTORY_STRATEGY_MILITARY_VICTORY,VICTORY_CONQUEST,3
VICTORY_STRATEGY_RELIGIOUS_VICTORY,VICTORY_RELIGIOUS,2
VICTORY_STRATEGY_SCIENCE_VICTORY,VICTORY_TECHNOLOGY,3
STRATEGY_EARLY_EXPLORATION,,1
STRATEGY_RAPID_EXPANSION,,3
STRATEGY_NAVAL,,1
STRATEGY_CLASSICAL_CHANGES,,1
STRATEGY_MEDIEVAL_CHANGES,,1
STRATEGY_RENAISSANCE_CHANGES,,1
STRATEGY_INDUSTRIAL_CHANGES,,1
STRATEGY_MODERN_CHANGES,,1
STRATEGY_WONDER_OBSESSED,,2
STRATEGY_DARKAGE,,1
VICTORY_STRATEGY_DIPLOMATIC_VICTORY,VICTORY_DIPLOMATIC,2
STRATEGY_ANCIENT_CHANGES,,1
