StrategyType,ConditionFunction,StringValue,ThresholdValue,Forbidden,Disqualifier,Exclusive
VICTORY_STRATEGY_CULTURAL_VICTORY,Good Culture,,50,0,0,0
VICTORY_STRATEGY_CULTURAL_VICTORY,Has Great Writer,,1,0,0,0
VICTORY_STRATEGY_CULTURAL_VICTORY,Has Great Artist,,1,0,0,0
VICTORY_STRATEGY_CULTURAL_VICTORY,Has Great Musician,,1,0,0,0
VICTORY_STRATEGY_CULTURAL_VICTORY,Has Great Works,,3,0,0,0
VICTORY_STRATEGY_CULTURAL_VICTORY,Is Not Major,,0,0,1,0
VICTORY_STRATEGY_CULTURAL_VICTORY,Tourists Taken,,75,0,0,1
VICTORY_STRATEGY_MILITARY_VICTORY,Has Taken Capital,,1,0,0,0
VICTORY_STRATEGY_MILITARY_VICTORY,Has Opponents,,2,0,0,0
VICTORY_STRATEGY_MILITARY_VICTORY,Leads Military,,25,0,0,0
VICTORY_STRATEGY_MILITARY_VICTORY,Leads Score,,10,0,0,0
VICTORY_STRATEGY_MILITARY_VICTORY,Next Lower Score,,100,0,0,0
VICTORY_STRATEGY_MILITARY_VICTORY,Has Taken Capital,,2,0,0,1
VICTORY_STRATEGY_MILITARY_VICTORY,Is Not Major,,0,0,1,0
VICTORY_STRATEGY_RELIGIOUS_VICTORY,Good Faith City,,1,0,0,0
VICTORY_STRATEGY_RELIGIOUS_VICTORY,Founded Religion,,0,0,0,0
VICTORY_STRATEGY_RELIGIOUS_VICTORY,Unconverted Cities,,2,0,0,0
VICTORY_STRATEGY_RELIGIOUS_VICTORY,Cannot Found Religion,,0,0,1,0
VICTORY_STRATEGY_RELIGIOUS_VICTORY,Religion Destroyed,,0,0,1,0
VICTORY_STRATEGY_RELIGIOUS_VICTORY,Is Not Major,,0,0,1,0
VICTORY_STRATEGY_SCIENCE_VICTORY,Good Tech City,,1,0,0,0
VICTORY_STRATEGY_SCIENCE_VICTORY,Is Renaissance,,1,0,0,0
VICTORY_STRATEGY_SCIENCE_VICTORY,Has Science Wonders,,2,0,0,0
VICTORY_STRATEGY_SCIENCE_VICTORY,Has Tech Lead,,33,0,0,0
VICTORY_STRATEGY_SCIENCE_VICTORY,Lags Military,,33,0,0,0
VICTORY_STRATEGY_SCIENCE_VICTORY,Finished Space Project,,1,0,0,0
VICTORY_STRATEGY_SCIENCE_VICTORY,Finished Space Project,,2,0,0,1
VICTORY_STRATEGY_SCIENCE_VICTORY,Is Not Major,,0,0,1,0
STRATEGY_EARLY_EXPLORATION,Is Not Major,,0,0,1,0
STRATEGY_EARLY_EXPLORATION,Fewer Cities,,1,0,0,0
STRATEGY_RAPID_EXPANSION,Has Settle Spot,,0,0,0,0
STRATEGY_RAPID_EXPANSION,Cities Under Threat,,1,0,0,0
STRATEGY_RAPID_EXPANSION,Major Civ Wars,,1,0,0,0
STRATEGY_RAPID_EXPANSION,Is Not Major,,0,0,1,0
STRATEGY_RAPID_EXPANSION,Handicap at or below,,2,0,1,0
STRATEGY_NAVAL,Is On Island,,0,0,0,0
STRATEGY_WONDER_OBSESSED,Has Agenda,AGENDA_WONDER_OBSESSED,0,0,0,0
STRATEGY_WONDER_OBSESSED,Is Industrial,AGENDA_WONDER_OBSESSED,0,0,0,0
STRATEGY_CLASSICAL_CHANGES,Is Classical,,0,0,0,0
STRATEGY_CLASSICAL_CHANGES,Is Not Major,,0,0,1,0
STRATEGY_MEDIEVAL_CHANGES,Is Medieval,,0,0,0,0
STRATEGY_MEDIEVAL_CHANGES,Is Not Major,,0,0,1,0
STRATEGY_RENAISSANCE_CHANGES,Is Renaissance,,0,0,0,0
STRATEGY_RENAISSANCE_CHANGES,Is Not Major,,0,0,1,0
STRATEGY_INDUSTRIAL_CHANGES,Is Industrial,,0,0,0,0
STRATEGY_INDUSTRIAL_CHANGES,Is Not Major,,0,0,1,0
STRATEGY_MODERN_CHANGES,Is Modern,,0,0,0,0
STRATEGY_MODERN_CHANGES,Is Not Major,,0,0,1,0
STRATEGY_DARKAGE,Is Not Major,,0,0,1,0
STRATEGY_DARKAGE,Is In Dark Age,,1,0,0,0
STRATEGY_RAPID_EXPANSION,Is In Dark Age,,0,1,0,0
VICTORY_STRATEGY_DIPLOMATIC_VICTORY,Has Diplomatic Victory Points,,1,0,0,0
VICTORY_STRATEGY_DIPLOMATIC_VICTORY,Leads Diplomatic Victory Points,,1,0,0,0
VICTORY_STRATEGY_DIPLOMATIC_VICTORY,Percentage Diplomatic Victory Points,,25,0,0,0
VICTORY_STRATEGY_DIPLOMATIC_VICTORY,Percentage Diplomatic Victory Points,,60,0,0,1
VICTORY_STRATEGY_DIPLOMATIC_VICTORY,Is Not Major,,0,0,1,0
STRATEGY_ANCIENT_CHANGES,Is Ancient,,0,0,0,0
STRATEGY_ANCIENT_CHANGES,Is Not Major,,0,0,1,0
