StrategyType,ListType
STRATEGY_NAVAL,NavalUnitPreferences
STRATEGY_NAVAL,NavalSettlementPreferences
STRATEGY_NAVAL,NavalSettlementBoost
STRATEGY_NAVAL,NavalPreferredTechs
STRATEGY_EARLY_EXPLORATION,EarlyExplorationBoost
STRATEGY_RAPID_EXPANSION,ExpansionSettlementBoost
STRATEGY_RAPID_EXPANSION,ExpansionSettlementPreferences
STRATEGY_RAPID_EXPANSION,ExpansionUnitPreferences
STRATEGY_CLASSICAL_CHANGES,ClassicalPseudoYields
STRATEGY_CLASSICAL_CHANGES,ClassicalYields
STRATEGY_CLASSICAL_CHANGES,ClassicalDistricts
STRATEGY_MEDIEVAL_CHANGES,MedievalYields
STRATEGY_MEDIEVAL_CHANGES,MedievalPseudoYields
STRATEGY_RENAISSANCE_CHANGES,RenaissanceYields
STRATEGY_RENAISSANCE_CHANGES,RenaissancePseudoYields
STRATEGY_INDUSTRIAL_CHANGES,IndustrialYields
STRATEGY_INDUSTRIAL_CHANGES,IndustrialPseudoYields
STRATEGY_MODERN_CHANGES,ModernYields
STRATEGY_MODERN_CHANGES,ModernPseudoYields
STRATEGY_WONDER_OBSESSED,WonderObsessedIndustrialBonus
VICTORY_STRATEGY_CULTURAL_VICTORY,CultureVictoryPseudoYields
VICTORY_STRATEGY_CULTURAL_VICTORY,CultureVictoryYields
VICTORY_STRATEGY_MILITARY_VICTORY,MilitaryVictoryPseudoYields
VICTORY_STRATEGY_MILITARY_VICTORY,MilitaryVictoryYields
VICTORY_STRATEGY_MILITARY_VICTORY,MilitaryVictoryOperations
VICTORY_STRATEGY_RELIGIOUS_VICTORY,ReligiousVictoryBehaviors
VICTORY_STRATEGY_RELIGIOUS_VICTORY,ReligiousVictoryDiplomacy
VICTORY_STRATEGY_RELIGIOUS_VICTORY,ReligiousVictoryPseudoYields
VICTORY_STRATEGY_RELIGIOUS_VICTORY,ReligiousVictoryYields
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceVictoryDistricts
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceVictoryProjects
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceVictoryPseudoYields
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceVictoryTechs
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceVictoryYields
VICTORY_STRATEGY_CULTURAL_VICTORY,CultureVictoryFavoredCommemorations
VICTORY_STRATEGY_MILITARY_VICTORY,MilitaryVictoryFavoredCommemorations
VICTORY_STRATEGY_RELIGIOUS_VICTORY,ReligiousVictoryFavoredCommemorations
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceVictoryFavoredCommemorations
STRATEGY_DARKAGE,AvoidDarkAges
STRATEGY_CLASSICAL_CHANGES,ClassicalSensitivity
STRATEGY_MEDIEVAL_CHANGES,MedievalSensitivity
STRATEGY_MODERN_CHANGES,ModernSensitivity
VICTORY_STRATEGY_CULTURAL_VICTORY,CultureSensitivity
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceSensitivity
VICTORY_STRATEGY_CULTURAL_VICTORY,CultureVictoryAgendas
VICTORY_STRATEGY_MILITARY_VICTORY,MilitaryVictoryAgendas
VICTORY_STRATEGY_RELIGIOUS_VICTORY,ReligiousVictoryAgendas
VICTORY_STRATEGY_SCIENCE_VICTORY,ScienceVictoryAgendas
VICTORY_STRATEGY_DIPLOMATIC_VICTORY,DiplomaticPseudoYieldPreferences
STRATEGY_ANCIENT_CHANGES,AncientPseudoYields
