Tag,Vocabulary
INFLUENCE_REQUIREMENT,TAG_REQUIREMENT
DIPLOMACY_MODIFIER,TAG_MODIFIER
CLASS_FOOD,RESOURCE_CLASS
CLASS_CULTURE,RESOURCE_CLASS
CLASS_GOLD,RESOURCE_CLASS
CLASS_PRODUCTION,RESOURCE_CLASS
CLASS_SCIENCE,RESOURCE_CLASS
CLASS_ORAL_TRADITION,RESOURCE_CLASS
CLASS_GODDESS_OF_FESTIVALS,RESOURCE_CLASS
CLASS_SEA,RESOURCE_CLASS
CLASS_ALL_UNITS,ABILITY_CLASS
CLASS_ALL_COMBAT_UNITS,ABILITY_CLASS
CLASS_ALL_ERAS,ABILITY_CLASS
CLASS_LANDCIVILIAN,ABILITY_CLASS
CLASS_RECON,ABILITY_CLASS
CLASS_BUILDER,ABILITY_CLASS
CLASS_MELEE,ABILITY_CLASS
CLASS_RANGED,ABILITY_CLASS
CLASS_SIEGE,ABILITY_CLASS
CLASS_HEAVY_CAVALRY,ABILITY_CLASS
CLASS_LIGHT_CAVALRY,ABILITY_CLASS
CLASS_RANGED_CAVALRY,ABILITY_CLASS
CLASS_ANTI_CAVALRY,ABILITY_CLASS
CLASS_HEAVY_CHARIOT,ABILITY_CLASS
CLASS_LIGHT_CHARIOT,ABILITY_CLASS
CLASS_BATTERING_RAM,ABILITY_CLASS
CLASS_NAVAL_MELEE,ABILITY_CLASS
CLASS_NAVAL_RANGED,ABILITY_CLASS
CLASS_NAVAL_RAIDER,ABILITY_CLASS
CLASS_NAVAL_CARRIER,ABILITY_CLASS
CLASS_SIEGE_TOWER,ABILITY_CLASS
CLASS_MEDIC,ABILITY_CLASS
CLASS_TRADER,ABILITY_CLASS
CLASS_RELIGIOUS,ABILITY_CLASS
CLASS_INQUISITOR,ABILITY_CLASS
CLASS_MISSIONARY,ABILITY_CLASS
CLASS_RELIGIOUS_ALL,ABILITY_CLASS
CLASS_RELIGIOUS_SPREAD,ABILITY_CLASS
CLASS_WARRIOR_MONK,ABILITY_CLASS
CLASS_OBSERVATION,ABILITY_CLASS
CLASS_FORWARD_OBSERVER,ABILITY_CLASS
CLASS_AIRCRAFT,ABILITY_CLASS
CLASS_AIR_BOMBER,ABILITY_CLASS
CLASS_AIR_FIGHTER,ABILITY_CLASS
CLASS_ARCHAEOLOGIST,ABILITY_CLASS
CLASS_STEALTH,ABILITY_CLASS
CLASS_REVEAL_STEALTH,ABILITY_CLASS
CLASS_SPY,ABILITY_CLASS
CLASS_LONGSHIP,ABILITY_CLASS
CLASS_MELEE_BERSERKER,ABILITY_CLASS
CLASS_CAPTURE_SHIPS,ABILITY_CLASS
CLASS_CAPTURE_WORKER,ABILITY_CLASS
CLASS_COSSACK,ABILITY_CLASS
CLASS_REDCOAT,ABILITY_CLASS
CLASS_ANTI_AIR,ABILITY_CLASS
CLASS_VARU,ABILITY_CLASS
CLASS_NAGAO,ABILITY_CLASS
CLASS_CONQUISTADOR,ABILITY_CLASS
CLASS_GARDE,ABILITY_CLASS
CLASS_HOPLITE,ABILITY_CLASS
CLASS_HELICOPTER,ABILITY_CLASS
CLASS_UBOAT,ABILITY_CLASS
CLASS_ROUGH_RIDER,ABILITY_CLASS
CLASS_MUSTANG,ABILITY_CLASS
CLASS_MAMLUK,ABILITY_CLASS
CLASS_WAR_CART,ABILITY_CLASS
CLASS_SAMURAI,ABILITY_CLASS
CLASS_PUSHBACK,ABILITY_CLASS
CLASS_DIGGER,ABILITY_CLASS
CLASS_SIEGE_SETUP,ABILITY_CLASS
CLASS_MOBILE_RANGED,ABILITY_CLASS
CLASS_SUPPORT,ABILITY_CLASS
CLASS_LEGION,ABILITY_CLASS
CLASS_JONG,ABILITY_CLASS
CLASS_HYPASPIST,ABILITY_CLASS
CLASS_HETAIROI,ABILITY_CLASS
CLASS_IMMORTAL,ABILITY_CLASS
CLASS_PARADROP,ABILITY_CLASS
CLASS_SNIPER,ABILITY_CLASS
CLASS_DRONE,ABILITY_CLASS
CLASS_TARGETTING_ASSIST,ABILITY_CLASS
CLASS_FIELD_SETUP,ABILITY_CLASS
CLASS_SCOTTISH_HIGHLANDER,ABILITY_CLASS
CLASS_DUTCH_ZEVEN_PROVINCIEN,ABILITY_CLASS
CLASS_MONGOLIAN_KESHIG,ABILITY_CLASS
CLASS_GEORGIAN_KHEVSURETI,ABILITY_CLASS
CLASS_MAPUCHE_MALON_RAIDER,ABILITY_CLASS
CLASS_CREE_OKIHTCITAW,ABILITY_CLASS
CLASS_ZULU_IMPI,ABILITY_CLASS
CLASS_LOGISTIC_MOVEMENT,ABILITY_CLASS
CLASS_FLOODPLAINS,FEATURE_CLASS
CLASS_POWER_CONVERSION_NUCLEAR,POWER_CONVERSION_CLASS
CLASS_SETTLER,ABILITY_CLASS
CLASS_GURU,ABILITY_CLASS
CLASS_ROCK_BAND,ABILITY_CLASS
CLASS_GIANT_DEATH_ROBOT,ABILITY_CLASS
CLASS_BIREME,ABILITY_CLASS
CLASS_BLACK_ARMY,ABILITY_CLASS
CLASS_HUSZAR,ABILITY_CLASS
CLASS_MOUNTIE,ABILITY_CLASS
CLASS_MANDEKALU,ABILITY_CLASS
CLASS_JANISSARY,ABILITY_CLASS
CLASS_WARAKAQ,ABILITY_CLASS
CLASS_TOA,ABILITY_CLASS
CLASS_CAROLEAN,ABILITY_CLASS
CLASS_CORSAIR,ABILITY_CLASS
CLASS_MAYAN_HULCHE,ABILITY_CLASS
CLASS_LAHORE_NIHANG,ABILITY_CLASS
CLASS_COLOMBIAN_LLANERO,ABILITY_CLASS
CLASS_DROMON,ABILITY_CLASS
CLASS_TAGMA,ABILITY_CLASS
CLASS_GAESATAE,ABILITY_CLASS
CLASS_VOI_CHIEN,ABILITY_CLASS
CLASS_ETHIOPIAN_OROMO_CAVALRY,ABILITY_CLASS
CLASS_VAMPIRE,ABILITY_CLASS
CLASS_CULTIST,ABILITY_CLASS
CLASS_SABUM_KIBITTUM_ANTI_CAVALRY,ABILITY_CLASS
CLASS_HERO_ANANSI,ABILITY_CLASS
CLASS_HERO_ARTHUR,ABILITY_CLASS
CLASS_HERO_BEOWULF,ABILITY_CLASS
CLASS_HERO_HERCULES,ABILITY_CLASS
CLASS_HERO_HIMIKO,ABILITY_CLASS
CLASS_HERO_HIPPOLYTA,ABILITY_CLASS
