TechnologyType,Name,Cost,Repeatable,EmbarkUnitType,EmbarkAll,Description,EraType,Critical,BarbarianFree,UITreeRow,AdvisorType
TECH_POTTERY,LOC_TECH_POTTERY_NAME,25,0,,0,LOC_TECH_POTTERY_DESCRIPTION,ERA_ANCIENT,0,0,0,ADVISOR_GENERIC
TECH_ANIMAL_HUSBANDRY,LOC_TECH_ANIMAL_HUSBANDRY_NAME,25,0,,0,LOC_TECH_ANIMAL_HUSBANDRY_DESCRIPTION,ERA_ANCIENT,0,0,1,ADVISOR_GENERIC
TECH_MINING,LOC_TECH_MINING_NAME,25,0,,0,LOC_TECH_MINING_DESCRIPTION,ERA_ANCIENT,0,0,3,ADVISOR_GENERIC
TECH_SAILING,LOC_TECH_SAILING_NAME,50,0,UNIT_BUILDER,0,LOC_TECH_SAILING_DESCRIPTION,ERA_ANCIENT,0,1,-3,ADVISOR_GENERIC
TECH_ASTROLOGY,LOC_TECH_ASTROLOGY_NAME,50,0,,0,,ERA_ANCIENT,0,0,-2,ADVISOR_RELIGIOUS
TECH_IRRIGATION,LOC_TECH_IRRIGATION_NAME,50,0,,0,LOC_TECH_IRRIGATION_DESCRIPTION,ERA_ANCIENT,0,0,-1,ADVISOR_GENERIC
TECH_ARCHERY,LOC_TECH_ARCHERY_NAME,50,0,,0,,ERA_ANCIENT,0,0,1,ADVISOR_CONQUEST
TECH_WRITING,LOC_TECH_WRITING_NAME,50,0,,0,,ERA_ANCIENT,0,0,0,ADVISOR_TECHNOLOGY
TECH_MASONRY,LOC_TECH_MASONRY_NAME,80,0,,0,LOC_TECH_MASONRY_DESCRIPTION,ERA_ANCIENT,0,0,2,ADVISOR_GENERIC
TECH_BRONZE_WORKING,LOC_TECH_BRONZE_WORKING_NAME,80,0,,0,LOC_TECH_BRONZE_WORKING_DESCRIPTION,ERA_ANCIENT,0,1,3,ADVISOR_CONQUEST
TECH_THE_WHEEL,LOC_TECH_THE_WHEEL_NAME,80,0,,0,,ERA_ANCIENT,0,0,4,ADVISOR_CONQUEST
TECH_CELESTIAL_NAVIGATION,LOC_TECH_CELESTIAL_NAVIGATION_NAME,120,0,UNIT_TRADER,0,LOC_TECH_CELESTIAL_NAVIGATION_DESCRIPTION,ERA_CLASSICAL,0,0,-2,ADVISOR_GENERIC
TECH_CURRENCY,LOC_TECH_CURRENCY_NAME,120,0,,0,,ERA_CLASSICAL,0,0,0,ADVISOR_GENERIC
TECH_HORSEBACK_RIDING,LOC_TECH_HORSEBACK_RIDING_NAME,120,0,,0,,ERA_CLASSICAL,0,0,1,ADVISOR_CONQUEST
TECH_IRON_WORKING,LOC_TECH_IRON_WORKING_NAME,120,0,,0,,ERA_CLASSICAL,0,0,3,ADVISOR_CONQUEST
TECH_SHIPBUILDING,LOC_TECH_SHIPBUILDING_NAME,200,0,,1,LOC_TECH_SHIPBUILDING_DESCRIPTION,ERA_CLASSICAL,0,1,-3,ADVISOR_GENERIC
TECH_MATHEMATICS,LOC_TECH_MATHEMATICS_NAME,200,0,,0,LOC_TECH_MATHEMATICS_DESCRIPTION,ERA_CLASSICAL,0,0,-1,ADVISOR_GENERIC
TECH_CONSTRUCTION,LOC_TECH_CONSTRUCTION_NAME,200,0,,0,,ERA_CLASSICAL,0,0,2,ADVISOR_CONQUEST
TECH_ENGINEERING,LOC_TECH_ENGINEERING_NAME,200,0,,0,,ERA_CLASSICAL,0,0,4,ADVISOR_CONQUEST
TECH_MILITARY_TACTICS,LOC_TECH_MILITARY_TACTICS_NAME,300,0,,0,,ERA_MEDIEVAL,0,0,-2,ADVISOR_CONQUEST
TECH_APPRENTICESHIP,LOC_TECH_APPRENTICESHIP_NAME,300,0,,0,LOC_TECH_APPRENTICESHIP_DESCRIPTION,ERA_MEDIEVAL,0,0,0,ADVISOR_GENERIC
TECH_MACHINERY,LOC_TECH_MACHINERY_NAME,300,0,,0,,ERA_MEDIEVAL,0,0,4,ADVISOR_CONQUEST
TECH_EDUCATION,LOC_TECH_EDUCATION_NAME,390,0,,0,,ERA_MEDIEVAL,0,0,-1,ADVISOR_TECHNOLOGY
