TechnologyType,ModifierId
TECH_MATHEMATICS,MATHEMATICS_ADJUST_SEA_MOVEMENT
TECH_CARTOGRAPHY,CARTOGRAPHY_GRANT_OCEAN_NAVIGATION
TECH_SQUARE_RIGGING,SQUARE_RIGGING_ADJUST_EMBARKED_MOVEMENT
TECH_STEAM_POWER,STEAM_POWER_ADJUST_EMBARKED_MOVEMENT
TECH_COMBUSTION,COMBUSTION_ADJUST_EMBARKED_MOVEMENT
TECH_PRINTING,PRINTING_ADD_DIPLO_VISIBILITY
TECH_COMPUTERS,TECH_GRANT_SPY
TECH_PRINTING,PRINTING_BOOST_WRITING_TOURISM
TECH_COMPUTERS,COMPUTERS_BOOST_ALL_TOURISM
TECH_STEEL,STEEL_UNLOCK_URBAN_DEFENSES
TECH_ADVANCED_AI,GDR_AA_DEFENSE_UPGRADE
TECH_ADVANCED_POWER_CELLS,GDR_SIEGE_LASER_UPGRADE
TECH_ADVANCED_POWER_CELLS,UNIT_CO2_REDUCTION
TECH_CYBERNETICS,GDR_BONUS_MOVEMENT_UPGRADE
TECH_SMART_MATERIALS,GDR_ARMOR_UPGRADE
TECH_SEASTEADS,TECH_SEASTEADS_DIPLOVP
TECH_FUTURE_TECH,FUTURE_TECH_PROJECT_PRODUCTION
