Technology,PrereqTech
TECH_ARCHERY,TECH_ANIMAL_HUSBANDRY
TECH_WRITING,TECH_POTTERY
TECH_IRRIGATION,TECH_POTTERY
TECH_MASONRY,TECH_MINING
TECH_BRONZE_WORKING,TECH_MINING
TECH_THE_WHEEL,TECH_MINING
TECH_SHIPBUILDING,TECH_SAILING
TECH_CELESTIAL_NAVIGATION,TECH_SAILING
TECH_CELESTIAL_NAVIGATION,TECH_ASTROLOGY
TECH_CURRENCY,TECH_WRITING
TECH_HORSEBACK_RIDING,TECH_ARCHERY
TECH_IRON_WORKING,TECH_BRONZE_WORKING
TECH_MATHEMATICS,TECH_CURRENCY
TECH_CONSTRUCTION,TECH_MASONRY
TECH_CONSTRUCTION,TECH_HORSEBACK_RIDING
TECH_ENGINEERING,TECH_THE_WHEEL
TECH_MILITARY_TACTICS,TECH_MATHEMATICS
TECH_APPRENTICESHIP,TECH_CURRENCY
TECH_APPRENTICESHIP,TECH_HORSEBACK_RIDING
TECH_STIRRUPS,TECH_HORSEBACK_RIDING
TECH_MACHINERY,TECH_IRON_WORKING
TECH_MACHINERY,TECH_ENGINEERING
TECH_EDUCATION,TECH_MATHEMATICS
TECH_EDUCATION,TECH_APPRENTICESHIP
TECH_CASTLES,TECH_CONSTRUCTION
TECH_MILITARY_ENGINEERING,TECH_CONSTRUCTION
TECH_MASS_PRODUCTION,TECH_EDUCATION
TECH_BANKING,TECH_EDUCATION
TECH_BANKING,TECH_STIRRUPS
TECH_GUNPOWDER,TECH_APPRENTICESHIP
TECH_GUNPOWDER,TECH_STIRRUPS
TECH_GUNPOWDER,TECH_MILITARY_ENGINEERING
TECH_PRINTING,TECH_MACHINERY
TECH_SQUARE_RIGGING,TECH_CARTOGRAPHY
TECH_ASTRONOMY,TECH_EDUCATION
TECH_METAL_CASTING,TECH_GUNPOWDER
TECH_SIEGE_TACTICS,TECH_CASTLES
TECH_INDUSTRIALIZATION,TECH_SQUARE_RIGGING
TECH_INDUSTRIALIZATION,TECH_MASS_PRODUCTION
TECH_SCIENTIFIC_THEORY,TECH_ASTRONOMY
TECH_SCIENTIFIC_THEORY,TECH_BANKING
TECH_ECONOMICS,TECH_SCIENTIFIC_THEORY
TECH_ECONOMICS,TECH_METAL_CASTING
TECH_MILITARY_SCIENCE,TECH_SIEGE_TACTICS
TECH_MILITARY_SCIENCE,TECH_PRINTING
TECH_STEAM_POWER,TECH_INDUSTRIALIZATION
TECH_SANITATION,TECH_SCIENTIFIC_THEORY
TECH_BALLISTICS,TECH_METAL_CASTING
TECH_RIFLING,TECH_BALLISTICS
TECH_RIFLING,TECH_MILITARY_SCIENCE
TECH_FLIGHT,TECH_INDUSTRIALIZATION
TECH_FLIGHT,TECH_SCIENTIFIC_THEORY
TECH_REPLACEABLE_PARTS,TECH_ECONOMICS
TECH_STEEL,TECH_RIFLING
TECH_ELECTRICITY,TECH_STEAM_POWER
TECH_RADIO,TECH_STEAM_POWER
TECH_RADIO,TECH_FLIGHT
TECH_CHEMISTRY,TECH_SANITATION
TECH_COMBUSTION,TECH_STEEL
TECH_COMPUTERS,TECH_ELECTRICITY
TECH_COMPUTERS,TECH_RADIO
TECH_ADVANCED_FLIGHT,TECH_RADIO
TECH_ROCKETRY,TECH_RADIO
TECH_ROCKETRY,TECH_CHEMISTRY
TECH_ADVANCED_BALLISTICS,TECH_REPLACEABLE_PARTS
TECH_ADVANCED_BALLISTICS,TECH_STEEL
TECH_COMBINED_ARMS,TECH_STEEL
TECH_COMBINED_ARMS,TECH_COMBUSTION
TECH_NUCLEAR_FISSION,TECH_ADVANCED_BALLISTICS
TECH_NUCLEAR_FISSION,TECH_COMBINED_ARMS
TECH_PLASTICS,TECH_COMBUSTION
TECH_SYNTHETIC_MATERIALS,TECH_PLASTICS
TECH_TELECOMMUNICATIONS,TECH_COMPUTERS
TECH_ROBOTICS,TECH_COMPUTERS
TECH_SATELLITES,TECH_ADVANCED_FLIGHT
TECH_SATELLITES,TECH_ROCKETRY
TECH_GUIDANCE_SYSTEMS,TECH_ROCKETRY
TECH_GUIDANCE_SYSTEMS,TECH_ADVANCED_BALLISTICS
TECH_LASERS,TECH_NUCLEAR_FISSION
TECH_COMPOSITES,TECH_SYNTHETIC_MATERIALS
TECH_STEALTH_TECHNOLOGY,TECH_SYNTHETIC_MATERIALS
TECH_NANOTECHNOLOGY,TECH_COMPOSITES
TECH_NUCLEAR_FUSION,TECH_LASERS
TECH_BUTTRESS,TECH_SHIPBUILDING
TECH_BUTTRESS,TECH_MATHEMATICS
TECH_STIRRUPS,TECH_APPRENTICESHIP
TECH_REFINING,TECH_RIFLING
TECH_COMBUSTION,TECH_REFINING
TECH_CARTOGRAPHY,TECH_BUTTRESS
TECH_MASS_PRODUCTION,TECH_BUTTRESS
TECH_MASS_PRODUCTION,TECH_MILITARY_TACTICS
TECH_CHEMISTRY,TECH_REPLACEABLE_PARTS
TECH_ROBOTICS,TECH_SATELLITES
TECH_ROBOTICS,TECH_GUIDANCE_SYSTEMS
TECH_ROBOTICS,TECH_LASERS
